User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
MeBeMe,6443,2017,130,127,1,86,1080,25332,362,1731
asid61,1072,2013,879,1101,1,287,2025,31644,362,1505
Ryan_Dognaux,1720,2001,3131,639,4,407,2123,38615,362,1718
kgzak,None,None,29,444,1,21,3959,65712,362,
billjester3,4027,,5,0,2,7,2324,33193,362,1593
nmcallister,1678,,60,45,0,10,1475,22705,362,1887
rkap51,422,2016,176,462,0,55,1249,19961,362,1568
Xand10,1023,2012,9,121,0,8,2026,35258,362,1767
nuclearnerd,5406,2014,914,1541,6,293,1548,28164,361,1810
AustinShalit,WPILib,2008,277,92,4,140,2747,24713,361,
Thequackmaster,107,2017,1198,1112,11,2282,3101,60513,361,1719
Oblarg,449,2008,1048,344,5,490,1511,20933,361,1611
samthesnake,2767,2015,175,128,0,66,2338,36432,361,1813
Caleb_Sykes,0,2009,1552,123,14,286,1659,32306,361,
josesantos,687,2011,10,7,0,13,2271,36588,361,1646
MCarroll94,6800,2009,4,169,0,8,1720,28739,361,1567
Gdeaver,1640,2001,68,1,2,54,574,8242,361,1672
jlmcmchl,,2011,201,418,0,128,3803,59787,361,
ClayTownR,100,2015,410,422,6,97,2166,35539,361,1499
Ryan_S,1902,2013,25,1370,2,9,1561,23483,361,1599
Nikita_Nekrasov,2579,2013,20,13,0,14,2134,30044,361,1481
Boganafogansee,1768,2015,136,279,2,53,1884,32354,361,1666
Akod,5511,2017,484,644,1,148,2426,51978,361,1611
scottyoung,4909,2015,0,2,0,0,2038,39496,360,1659
PatrickW,2910,2009,891,359,5,146,1773,27920,360,1944
Danny_Faryna,5406,2013,13,480,0,1,2685,50805,360,1810
Brandon_Holley,125,2001,770,48,3,51,1386,23989,360,1733
Lil_Lavery,1712,2003,2307,1073,16,635,2462,46810,360,1678
bkahl,None,None,568,265,1,65,2256,42931,360,
Ali_M,,2003,0,0,0,0,839,18284,360,
boof19,4537,2016,6,0,0,2,2548,35519,360,1527
Mitch_Stokes,0,2014,11,0,0,1,461,2957,360,
Jon_Stratis,2177,2006,1799,6,3,662,1954,24835,360,1563
Sagi,0,2012,0,5,0,0,1393,21621,360,
SnapDragon,1403,2017,213,383,5,105,2118,25307,359,1589
Situs84,1902,2018,61,205,1,23,1935,25760,359,1599
Lidor51,1577,2008,215,93,5,66,2202,31978,359,1650
Strategos,5511,2016,142,345,3,30,1399,32994,359,1611
Swyft_Robotics,0,,26,10,4,12,1752,24507,359,
maccopacco,,2016,48,1432,0,77,4771,57857,359,
wgorgen,1533,2014,1029,642,9,573,1474,21987,358,1631
wil,,2016,32,145,1,14,1538,24801,358,
ktorrico,2910,2005,0,1,0,0,1761,30525,358,1944
Holtzman,2056,2003,331,3,2,12,2962,39910,358,1950
Hallry,1676,2010,911,334,40,57,1528,21457,358,1752
Daler99,5813,2008,166,2087,0,66,1994,36924,357,1575
ShelbyA,1619,,22,394,0,2,1280,23452,357,1833
PleaseWait,2813,2017,58,91,0,45,2035,37620,357,1422
Alak,0,None,13,0,0,8,2681,42897,357,
bstew,3928 (Alum),2015,12,184,0,3,2854,61348,357,
Bruce_Newendorp,525,2001,2,3,0,1,1773,33532,357,1766
VRoom,1730,,19,3,0,8,2117,37344,357,1688
Garrison,3128,2010,0,2,0,0,2521,50217,357,1723
Phil_McJoe,4192,2017,126,75,17,114,1560,27458,357,1568
Tomker,1690,2010,45,1,2,5,1691,24202,357,1822
nowireless,3081,2012,0,30,0,0,2443,27998,356,1497
Mark_McLeod,358,2001,143,22,1,191,2036,32145,356,1554
lurker,1241,2014,196,166,0,37,1750,29900,356,1757
alst,830,,6,69,0,10,1784,30638,356,1497
Nick_Lipcsik,862,2017,26,28,0,10,3046,54423,356,1675
pKlopp,100,2017,22,33,0,7,1820,28885,356,1499
BCR-Jim,6886,2015,144,39,24,88,2734,50784,356,1593
GeeTwo,0,2013,1701,300,11,1811,2818,46615,356,
page2067,2067,2008,74,3,2,42,2590,46591,356,1641
gerthworm,1736,2015,1408,926,15,657,2240,29841,356,1583
Tyler_Olds,0,2001,1769,154,92,434,1715,16431,356,
dirtbikerxz,364,2012,650,338,5,123,2379,34431,356,1860
sjcbulldog,1425,,16,4,3,29,1697,21352,356,1640
notmattlythgoe,2363,2009,905,44,4,100,756,9914,356,1658
Sai,None,None,5,66,0,6,2875,59312,356,
Evan_Schimmel,2410,2016,138,143,4,74,2368,48809,356,1686
marshall,900,2003,4602,1307,5,596,1918,34525,356,1453
akhilpothineni,2976,2017,10,12,0,1,1955,38253,356,1662
kaliken,294,2005,40,3,0,9,1474,22214,355,1718
s_forbes,842,2006,402,37,0,56,1486,26045,355,1708
Matthew_Lang,610,2011,1,55,0,0,2787,50735,355,1751
TimO,4662,2013,3,0,0,4,1469,23615,354,1567
Spencer_Macturk,540,2016,0,763,0,0,1955,37094,354,1569
Conallking,865,2018,162,316,0,49,1909,33138,354,1578
BitSentinel,3322,2017,74,1762,2,63,2391,33668,354,1552
Humzah,1138,Deep Space,50,54,4,58,2586,31571,354,1569
mjoy0210,6908,2018,15,107,1,16,3242,36266,354,1512
Ty_Tremblay,319,2004,636,135,5,110,977,14289,353,1756
Andrew_Duerner,5818,2012,351,56,3,116,2010,43153,353,1679
dodar,1251,2007,88,34,0,37,955,17563,353,1546
jedgar6,0,,19,8,0,14,3550,52637,353,
Nick.kremer,3512,2011,338,201,1,147,1929,31363,353,1634
PeterR,4293,2018,377,257,3,143,2091,32896,353,1589
pabeekm,1700 (Mentor), 900 (Alum),2012,2,3,0,0,281,4464,352,
BordomBeThyName,2102,2007,3714,2194,3,849,2545,48119,352,1700
Cyberphil,272,2007,670,1568,4,239,2899,54024,352,1612
efoote868,,2005,255,148,5,199,568,11507,352,
Andrew_Schreiber,0,2000,1497,132,3,305,1512,23163,352,
