User,Team #,Rookie Year,Likes Recieved,Likes Given,Topics,Replies,Viewed,Read,Visits,Elo
pjh970,157,2008,14,4,1,6,679,11489,146,1540
PatrickM,0,,0,4,0,0,1017,15268,146,
Kaseyforsythe,6974,2017,32,75,0,1,856,11685,146,1528
JSMITH,1024,2003,0,0,0,0,323,4284,146,1641
Foster,8081,2005,127,77,5,32,371,6584,146,
wald,3132,None,0,0,0,0,72,1571,146,1637
CowCakc,3374,2010,4,0,1,7,1002,7396,145,1538
twcarp1214-3196,3196,2018,0,0,0,0,589,8769,145,1677
gafftron,1153,2006,5,6,0,2,924,20915,145,1646
Starlight220,6738,2019,99,66,7,158,1342,17515,145,1582
KaranY,2791,2016,153,241,1,86,228,4567,145,1742
Gino,195,2006,0,0,0,0,135,2046,145,1784
Nick_Kieft,1339,2019,11,26,5,3,639,7130,144,1551
Gijs_Landwehr,418,2013,0,0,0,0,191,3374,144,1557
theTreena,2643,None,0,0,0,0,238,4481,144,1470
Taylor,3487,2006,495,300,4,111,1081,16412,144,1488
Richard_McCann,1678,2012,530,655,0,165,499,9860,144,1887
sarah.c,1868,2019,0,0,0,0,802,12663,144,1661
nickcin-the-nerd,6506,2018,43,120,0,12,677,11671,144,1467
Nadeem,7237,None,27,2,9,26,605,8655,144,1452
Veqic,None,2017,7,0,1,4,213,2799,144,
keco185,484,2012,54,35,2,39,591,5760,143,1589
Why_Not,4564,2016,25,153,2,11,665,11883,143,1649
rleve2,4810,,5,2,0,5,710,10202,143,1545
slike62,1410,2017,2,6,0,0,1048,16191,142,1652
ttldomination,0000,2007,43,1,6,8,309,6100,142,
RoboChair,1678,2005,484,191,0,93,353,6958,142,1887
KPSch,1987,2013,18,0,0,10,299,3271,142,1636
REM,,,234,194,0,490,75,7680,142,
Manectric22,3824,2018,3,1,0,1,269,3076,142,1594
Zstack836,836,2002,6,6,0,3,618,8728,142,1729
wsh32,4201,2014,15,8,0,2,549,5743,142,1650
slibert,2465,2005,40,0,2,34,250,3685,142,1490
KitKat217,4522,,17,133,0,36,460,6349,142,1620
TheIsaacMurrin,5811,2014,34,27,3,10,721,12327,142,1549
WillM1369,1369,2018,0,5,0,0,489,10185,142,1646
Antonio,4680,2016,12,4,0,0,476,6891,142,1605
CBryan,148,2011,15,8,0,5,382,6754,142,1838
rod1,3711,2014,5,4,2,1,276,3061,142,1614
mateonsilver,1306,2018,0,3,0,0,1155,17043,142,1557
JReid,3688,2014,0,2,1,3,1160,10172,141,1626
Dave_Flowerday,111,1995,0,0,0,0,108,2350,141,1721
Sumifairy,2412,2020,11,21,5,32,407,3717,141,1614
sticky_1629,1629,2016,25,5,5,8,417,5593,141,1661
Craig_Roys,1718,2001,40,4,0,9,375,9976,141,1702
_mT,7285 6409,2017 Steamworks,11,30,4,4,1191,16149,141,
Chris_Yu,5026,2017,1,11,2,6,142,2117,140,1637
whizzer,4637,2017,49,4,0,3,260,2699,140,1550
DL1505,2522,2016,112,248,1,102,446,6039,140,1653
MSherman,250,2018,3,7,0,1,250,2630,140,1570
NRoot,None,2019,7,5,0,0,637,9325,140,
SVanNess,1720,2010,6,6,0,2,125,2525,140,1718
Boomaa,5818,2018,5,0,2,3,709,5535,140,1679
to_good_4_yogi,696,2018,0,1,1,0,549,9085,139,1600
dwfunk4475,3735,2017,13,1,1,4,176,2142,139,1610
Ivan_Helmrich,0,2006,0,0,0,1,1142,22002,139,
MrSmith4810,4810,,2,2,1,2,539,10021,139,1545
ErinF17,4946,2016,35,355,1,73,728,10669,139,1663
nviatella,1678,2018,0,0,0,0,737,8524,139,1887
Danimal,6413,2012,525,46,5,74,281,3721,139,1320
RRShel,1710,None,0,0,0,0,343,9216,139,1566
joseppi,2539,None,0,1,0,0,255,3606,139,1741
fruity_1868,1868,2012,0,0,0,0,99,1136,139,1661
Adam_Freeman,67,2005,63,46,0,7,554,12103,139,1713
mott,1619,2008,2,0,1,1,384,6942,139,1833
firstrobotcoach,0,2012,2,0,3,2,269,2220,139,
MVande,360,2018,12,166,1,19,456,4037,139,1662
JamieSinn,1334,2009,24,2,0,12,168,2230,139,1479
wrightty,6323,2017,1,6,0,7,810,11344,138,1503
SenpaiYoshi,Alumni,2017,28,4,0,10,471,4983,138,
dheadley,None,None,57,4,2,35,644,14650,138,
ryan_browne_772,772,2019,0,0,0,0,540,6687,138,1561
donnie99,237,2010,10,4,0,5,490,3418,138,1646
jonahb55,6328,None,38,2,1,3,332,3375,138,1473
bto,0,None,0,1,0,0,2017,27225,138,
LucasBrunner,1557,2018,46,3,2,16,1668,20723,137,1519
Murrman1,4639,2019,0,2,0,0,1027,12844,137,1493
Trebor_Knight,4311/6529M,18,2,3,0,3,518,6327,137,
kornblau,1690,,83,12,2,23,330,4202,137,1822
apm4242,4242,,36,63,2,24,824,11513,137,1598
krabb,5805,2016,4,119,2,4,531,7729,137,1525
AnthonyC,997,2013,61,102,2,39,615,9209,137,1680
Quillewd,7265,2018,4,14,1,13,976,8586,137,1469
RubyRoboKing,3182|3461,2018,95,142,5,70,191,2520,137,
couvillion,,2011,6,1,1,4,256,4412,137,
ravstuff,4500,2018,0,0,0,0,834,15241,136,1590
echen01,694,2017,39,15,1,3,356,4804,136,1737
Stgd21,2367,,0,8,0,0,261,1989,136,1489
Iliyan_Stoyanov,1983,2014,17,58,0,11,1009,13277,136,1729
Brit_Ben,5549,2017,5,0,2,7,623,11403,136,1451
ExultedOne,2534,2018,24,68,0,10,506,6137,136,1724
bsmo,8044 Mentor - 2992 Alum,2016,4,35,0,5,436,7236,136,
qhdwight,8,2016,9,26,2,15,559,7070,136,1572
haya,6897,2018,5,5,0,5,539,7066,136,1493
jscheider,5690,2015,1,0,2,7,334,5301,136,1548
dtk,469,1998,0,0,0,0,468,8072,136,1509
buchanan,2077,2007,7,7,1,8,280,3858,136,1612
csj1232,8114,2020,49,2,1,53,804,11585,136,
Achierius,299,2013,66,35,1,39,438,5691,135,1442
Tejas_Vinod,1403,2018,1,9,0,6,548,7306,135,1589
Bochek,2200,2007,80,33,6,18,699,9009,135,1754
wsk798,6394,2017,8,1,0,2,547,8726,135,
Rick,78,2001,13,31,0,7,304,7716,135,1841
icesquared,2470,2015,0,0,0,0,351,6776,135,1413
randomstring,2930,2018,14,46,3,33,506,5642,135,1730
sinful,1164,2020,14,13,0,7,510,4728,135,1511
Steve_Kaneb,190,2006,0,0,0,0,189,2802,135,1648
frcdoodles,5406,2018,48,20,1,5,456,6312,134,1810
TimV,5927,2018,0,0,0,0,621,8828,134,1654
valyrin,68,2012,11,2,0,11,698,13068,134,1482
64bitGPU,6854,2018,20,3,2,37,493,3530,134,1500
keval_shah,1899,2018,4,2,0,6,896,9029,134,1508
Dana,5409,2018,17,26,0,10,206,3273,134,1507
Schroedes23,1625,2012,0,0,0,0,670,9323,134,1633
Jackflef,3641,2014,24,104,0,12,605,11029,134,1766
dasevo,5996,,11,1,1,7,594,7148,134,1410
j.wong,111,2016,10,29,0,6,355,6536,134,1721
k.aylee2412,2412,2018,257,675,0,367,108,20415,133,1614
lnex1357,2168,2004,10,0,1,0,153,2800,133,1779
curiousdragon49,4215,,0,0,0,0,442,5426,133,1486
keviny203,None,2017,0,1,0,0,268,4400,133,
churley,862,2014,0,3,0,0,1136,15577,133,1675
DEiTYY1511,1511,2017,0,58,0,1,416,4341,132,1641
OfekHarel,3339,2019,12,2,6,6,237,2022,132,1607
5407Jaiden,5407,2015,102,206,0,26,384,4882,132,1678
dardeshna,8,2015,8,6,0,2,312,4763,132,1572
Shahil_FRC,176,2004,7,18,0,12,763,12527,131,1793
khatrimuk,2262,2019,1,26,0,1,609,9388,131,1512
avanboekel,5934,2010,1,8,0,1,641,10561,131,1600
JAWind,5401,2009,0,1,0,0,165,3064,131,1677
adiggity,6914,2015,2,2,0,1,575,5538,131,1491
Arevan,0,2008,30,54,1,5,479,7128,131,
Karaoke,4272,2019,178,598,5,217,967,21662,131,1716
agunal,None,None,93,627,25,197,2827,44849,131,
Mr.Paulson,4539,2010,16,1,0,1,478,7839,130,1674
Usernameistaken,1296,2014,0,3,0,0,1253,20643,130,1608
rtomp,2168,2012,141,534,1,32,409,10168,130,1779
Shay,88,2018,11,69,0,10,259,6596,130,1697
MisterShadow,5654,2015,1,2,2,6,215,1633,130,1567
2056alum,None,None,0,0,0,0,154,2635,130,
Tristan_Lall,188,1999,31,14,0,7,342,8447,130,1690
JimWright949,(949, 1294)->4542->(4089, 2980),2003,65,3,8,34,761,6307,130,
Bill_Klein,3688,2011,0,1,0,0,892,13322,130,1626
JakeLoten,2200,2014,65,14,1,9,295,6133,130,1754
R_Hybrid,7486,2019,6,80,1,23,477,11608,129,1503
jakezamani,230,,0,0,0,0,565,10113,129,1729
astro70,4188,2009,43,2,3,4,239,3933,129,1548
gzajac8,8,2018,0,4,0,0,174,5290,129,1572
FreezeKnight,4561,2018,1,3,0,2,260,3826,129,1634
MaggieR,5638,2015,0,0,0,0,109,2115,129,1529
Tio,0,,4,0,1,3,353,5747,128,
BenjaminWard,5549,2014,42,12,1,16,144,3065,128,1451
aidanh010,1533,2016,27,60,1,19,514,7661,128,1631
TA5R,2367,2016,1,0,0,1,573,8349,128,1489
supermcmatrix,346,2019,11,27,0,21,416,3546,128,1810
DieseldanM,3201,2019,0,32,0,3,993,16249,128,1537
Jeanne_Boyarsky,694,2010,41,29,1,18,268,5107,128,1737
RaMoore,3005,2001,43,62,0,9,556,9824,128,1655
MazerRackham,,2011,12,116,0,4,339,6030,128,
Mattm2000,1511,2017,30,3,0,10,632,7375,127,1641
CalebS,4810,2017,2,28,1,2,1526,17283,127,1545
LunarBuggy,3206,2017,0,3,0,0,531,9195,127,1588
Greg_Young,587,2001,0,0,0,0,228,4620,127,1596
Daniel_LaFleur,2040,2003,28,3,0,15,1053,19446,127,1649
jgallina3015,3015,2009,0,0,0,0,144,2100,127,1760
A_A,1038,2018,0,0,0,0,302,1850,127,1578
Libby_K,1923,1992,107,26,0,12,337,8397,127,1692
wmarshall11,2399,2011,0,0,0,0,510,7767,126,1619
shreyasprasad,263,2017,0,2,0,0,1410,17954,126,1589
TFP_Alpha,None,None,30,1,0,1,125,2014,126,
BananaBoy,972,2018,0,31,0,0,310,5372,126,1517
BigBen,3494,2013,8,63,0,6,680,13142,126,1600
Greg_H,None,None,0,3,0,0,378,5530,126,
st0p47,2638,2018,0,1,0,0,1030,10010,126,1649
Austin_Plummer,2377,2013,15,3,1,11,638,7773,126,1580
Aaron.Graeve,,2012,0,18,0,0,262,4597,126,
howlongismyname,7461,2017,65,13,1,17,321,4188,126,1473
anonymous_7476,7476,2019,90,25,8,85,615,10204,126,1523
BrianK,1622,2012,0,0,0,1,221,1320,126,1539
coach7318,7318,None,4,19,6,5,611,8511,125,1445
Jacob_Paikoff,0,2007,0,2,0,0,213,3566,125,
AgentSmith451,451,2007,55,18,1,38,558,8092,125,1442
Slashley,3196,2017,0,0,0,0,423,5792,125,1677
LatheMaster219,219/6943,2011,32,67,0,8,377,5323,125,
Everett_Buck,3674,2014,0,20,0,0,174,5339,125,1762
Jayd009,5332,2016,1,1,0,1,276,3578,125,1553
stevene17,2834,2018,18,34,2,8,396,2977,125,1747
jdunston94,3357,2011,1,1,1,3,252,4638,125,1696
Clonegree,6174,2016,0,12,0,0,601,7322,125,1480
gayatri,422,2017,0,5,0,0,355,4983,125,1568
FishChicken7577,6574,2019,0,12,0,3,421,9457,125,1577
hrench,1108,2010,152,208,2,58,627,10519,125,1436
Aree_Vanier,2708,2016,4,44,1,2,460,4618,125,1464
dwodrich,1706,,10,0,0,5,671,12015,125,1521
RishabRao,2974,None,33,15,0,23,407,4030,124,1759
Jason2073,2073,2017,1,4,1,3,1062,9278,124,1724
Alan,6941,2017,75,6,7,44,1175,21541,124,1557
moler,772,,0,1,0,0,942,11826,124,1561
joemost,0,2012,21,1,42,92,335,2613,124,
Danielm55t,7427,2014,0,0,0,0,242,3205,124,1526
ShaneP,330,2005,10,0,0,0,233,2535,124,1841
thegreatshea,2614,2017,1,0,1,0,288,3214,124,1592
ttnn58,4586,,1,1,0,1,995,7614,124,1578
Left_To_Beaver,2363,2012,129,36,2,35,554,12207,124,1658
ParthLetap,610,2007,21,9,0,6,629,8478,124,1751
Robocoder2,4451,2012,0,0,0,0,382,5213,124,1690
JakeFromStateFarm,223,None,0,10,0,0,439,6264,124,1661
David_Guzman,1251,2004,0,2,0,0,323,3690,124,1546
cjdenio,6763,2017,206,106,6,75,403,4750,124,1545
nhos,5338,2015,11,50,0,7,697,8368,124,1631
rfolea,0,2005,28,1,4,21,222,2939,124,
Karibou,341,2008,37,18,0,21,726,11073,124,1598
JohnA,1323,2015,0,6,0,0,111,1797,124,1917
Happycowdance,2412,20XX,134,8,0,65,781,16341,123,1614
RoboChick_1319,1319,2004,3,16,0,6,314,5076,123,1509
Lytigas,114,,126,1,1,29,1106,16450,123,1641
Jonathan_Ryan145,145,None,1,0,0,4,130,2455,123,1637
BASE,1310,2012,6,8,0,1,239,3725,123,1701
MarcS,1922,2015,0,1,0,0,266,2989,123,1601
AlexanderTheOK,0,2012,14,1,0,8,231,2291,123,
Eli_Uva_3255,3255,2017,51,177,2,17,442,5503,123,1626
Zachch1902,1902,2011,34,48,0,9,268,4010,123,1599
Jean_Tenca,4488,2002,24,23,3,4,203,3574,123,1784
Hope,4311,2019,46,9,8,38,407,4388,123,1629
ColbyG,1777,2018,3,283,3,16,828,10977,122,1480
ido0546,5987,2018,10,5,1,2,290,1964,122,1507
Strat_Master,5199,2018,5,0,0,1,308,4194,122,1741
Trying_to_Help,1729,2009,42,38,0,19,235,5142,122,1636
rocknthehawk,1768,2004,46,58,0,5,632,13622,122,1666
arnuvperi,2976,2018,0,1,0,0,332,5448,122,1662
ToddF,2363,2011,273,55,5,53,510,10916,122,1658
President17,4330,2018,0,1,0,1,372,5140,122,1439
Shivam,5962,2016,42,124,8,23,791,11965,122,1518
smjones64,8232,,4,1,1,1,206,2265,122,
katelynn,342,2018,0,100,0,0,611,14362,122,1678
Azure,4946,2018,0,30,0,1,657,7527,121,1663
dusty_aembot,6443,2016,5,5,1,2,244,2957,121,1731
Quijas,7426,2005,0,3,0,0,777,12822,121,1698
6.God,6,6,0,1,0,0,261,3127,121,
JonUren1684,1684,2005,6,1,0,4,498,8895,121,1659
MrP_Hack,3414,2013,2,1,0,4,533,14069,121,1663
nuttle,,2009,70,47,2,69,357,9513,121,
rbhog,4099,2018,0,10,0,0,300,4472,121,1566
holygrail,1939,2007,39,11,4,7,205,2964,120,1634
thirstyRobot76,,2019,2,0,14,2,557,4870,120,
brandonc2021,1339,2018,0,0,0,0,317,3810,120,1551
JacobS,5511,2018-2019,1,6,0,1,363,6207,120,1611
drphiltron,4504,None,5,19,3,10,582,6828,120,1590
LowkeyLoki,1259,2019,55,123,0,10,309,2094,120,1693
YaBoiScarce,5190,2016,3,27,0,2,211,2134,120,1787
Kavar918,6908,2018,26,29,1,5,339,5172,120,1512
juchong,2655,2007,37,5,0,35,121,1359,120,1643
little.g.ban,3926,None,37,8,1,5,429,5947,120,1548
PMotor,694,2015,2,10,0,0,419,4513,119,1737
Jill_ls101,1646,2009,74,3,0,8,245,4129,119,1637
Oregano,639, 5951,2013,44,10,0,8,720,12690,119,
EOpel21,6381,2018,0,2,0,2,727,12607,119,1481
Dizzy,148,2009,13,22,0,2,177,4774,119,1838
DBrew3488,3488,None,2,0,2,11,810,13550,119,1556
techplex,4909,2007,37,10,3,9,333,3806,119,1659
dmpage318,1533,2012,0,0,0,0,307,3567,119,1631
Johnynho,1156,2019,19,49,4,10,520,6313,119,1543
buildupon,7461,2019,9,10,0,4,206,1908,119,1473
NAellen,2491,2008,0,22,0,2,1398,23567,119,1482
Nate342,342,2018,18,7,1,6,260,2951,119,1678
ExplosivesTR,4191,2019,4,1,2,4,391,2701,118,1478
elisexu4444,503,,10,55,1,6,249,2420,118,1598
drshrey,None,None,0,1,0,1,882,12512,118,
kuraikou,4183,2013,53,11,0,2,363,4300,118,1597
_Tomer,,2019,3,7,8,10,550,3444,118,
SoftwareBug2.0,1425,2004,37,4,1,20,247,4824,118,1640
zboy_zboy,422,2020,24,30,0,12,757,14947,118,1568
Ben_Lemke,865,2017,28,1,1,7,252,7499,118,1578
KaitlynLiveoak7191,7191,None,0,0,0,0,673,9699,117,1454
sagi346,2231,2013,2,1,1,2,248,3082,117,1696
ornateOmnivore,None,this year (rip us),81,12,15,50,904,12072,117,
thefro526,5895,2005,41,5,0,16,152,2370,117,1672
RBTC,2084,None,42,23,0,23,1216,11874,117,1516
Ethan.Ma,1746,2018,0,8,0,0,285,2665,117,1605
Bhaskar,6897,2017 - 2018,0,0,1,8,177,2539,117,1493
tm1287,1100,2004,1,23,0,1,360,2390,117,1645
krispehkiwi,2412,2020,40,122,0,6,221,3342,117,1614
Nolo,2481,2009,0,1,0,0,233,3691,117,1802
Simon-Pease,5071,2014,0,0,0,0,191,872,117,1448
chandrew,,2013,2,11,0,2,116,1292,117,
Ashish,5511,2018,0,352,0,0,297,4524,117,1611
Modelmat,4739,2019,0,4,0,0,336,3834,117,1450
Annika,7619,2019,0,0,0,0,525,7825,117,1451
rsegrest,2582,2008,36,4,1,14,361,4777,117,1656
william_h,2521,2017,3,22,0,6,522,4977,116,1641
NewtonCrosby,1895,2012,108,2,6,250,1217,12271,116,1575
Robert3683,None,2015,0,0,0,0,769,8854,116,
suttonrc,3799,2013,0,20,0,0,344,7267,116,1506
B_T-S,3461,2016,12,4,3,13,562,8783,116,1622
Royce,2910,2012,10,4,0,6,500,6688,116,1944
bobtheblb,955,2018,1,1,6,40,774,8901,116,1457
jcm2201,2438,2018,5,249,0,7,579,4741,116,1610
Nathan_Rossi,0,2010,0,0,0,0,179,3610,116,
LeafGold,74,,0,1,0,0,604,8625,116,1644
tim-tim,836,2004,177,26,1,18,246,4446,115,1729
Alpha_Cyclone24,3991,2017,0,62,0,1,240,2529,115,1440
DeMentor,4068,2003,20,73,1,11,218,5465,115,1482
Chuck-Eng_8002,8002,2020,56,11,4,19,406,7465,115,
JoeWoe44,2539,2017,8,7,0,7,289,5665,115,1741
merelephant,2485,2019,74,143,1,53,1493,25446,114,1591
Corybarnett4688,4688,2018,0,0,0,0,396,7851,114,1637
Carrington,1625,2008,21,1,1,1,391,5282,114,1633
taytay63,,2003,29,18,1,8,221,2175,114,
abrown,3847,2019,4,1,0,1,289,2415,114,1726
ProjectPickUp,None,None,0,1,1,0,270,4487,114,
thomas_the_choo,3674,2019,20,59,0,27,181,3149,114,1762
fllthenfrc,4783,2009,2,4,0,4,197,6153,114,1545
rwodonnell,2876,2011,0,0,0,0,170,5448,114,1516
JeffB,5052,2014,148,18,0,155,402,4860,114,1541
liz,2582,None,0,7,0,0,370,6838,114,1656
OccamzRazor,3506,2003,39,7,0,42,290,6348,114,1566
Rogereth000,5411,,4,27,5,12,431,5460,114,1611
corellian,587,2000,3,38,1,11,370,6258,114,1596
JCook,4999,2017,0,4,0,3,531,7043,114,1390
Zack-5421,5421,2015,6,8,0,8,261,1676,113,1501
MikeHallack,4419,2015,4,116,1,6,743,13837,113,
KueZ,4065,None,1,0,0,1,633,5517,113,1454
Josh_Fritsch,27,2001,0,0,0,0,448,5976,113,1736
Ev_n,3937,2017,2,3,0,1,940,14040,113,1702
peytonfitz,125,2015,4,0,0,1,250,2049,113,1733
LMoose,1391,,2,8,3,11,562,3740,113,1638
tekunalogy,3647,2015,10,12,0,3,286,2218,113,1719
Footie,2102,2006,279,44,0,74,534,10239,113,1700
GHill,587,2015,0,0,0,0,1240,18008,113,1596
AlexTruski,3750,,130,117,13,138,1009,15845,112,1670
zarsbars,3792,2017,21,12,4,13,930,13303,112,1506
mfbrechting,4967,2007,13,51,0,17,649,10482,112,1594
Travis_Covington,254,1998,108,4,0,4,187,4631,112,1869
SimonG,2702,2018,18,47,0,5,409,5830,112,1618
devitrify,846,2003,13,5,1,2,186,4458,112,1729
its.baniel.boys,5549,2018,4,4,3,9,225,2142,112,1451
meb,0,,0,0,0,1,163,2818,112,
aoberai,8,None,0,38,0,1,724,11135,112,1572
T.Krauter,4783,2014,3,0,1,0,178,875,112,1545
gburlison,662,2000,6,0,0,4,564,11308,112,1560
atar137h,696,2019,0,5,3,2,447,3067,112,1600
RufflesRidge,0,,1,0,0,4,329,4995,112,
sagefrom4572,4572,None,10,5,1,9,427,3785,111,1489
arshonb,624,2019,5,6,1,14,651,6159,111,1682
Low3arth0rbit,599,2018,91,38,14,225,1176,14217,111,1624
Fanny_Z,865,2012,0,0,0,0,486,6142,111,1578
TNorris,2423,,0,3,0,0,310,4383,111,1476
JishTheFish,4135,,0,12,0,0,439,4023,111,1514
Kaleb_Team1557,1557,2018,1,24,1,6,139,1290,111,1519
ABoredIdiot,4026,2012,0,4,0,0,216,3179,111,1683
Jackson_803,5822,2016,0,2,0,0,418,5921,111,1573
lucho,4153,None,0,0,0,0,162,2177,111,1614
jordanayan,6132,2018,0,0,0,1,349,7206,111,1526
IDProgrammer,4482,2012,5,0,0,5,207,1145,111,1534
Whitley,842,,7,8,0,2,213,1828,111,1708
Arthur2259,2259,2007,1,14,0,1,875,13722,110,1388
knxtdoor,4026,2012,0,0,0,0,279,1833,110,1683
archangel,3925,,12,0,1,10,415,4120,110,1539
Hjelstrom,987,2005,24,38,0,17,444,8987,110,1821
Splash3015,3015,2019,37,53,1,15,463,5522,110,1760
Porcupine,58,2016,3,0,0,1,317,6390,110,1629
cycloidal,5885,,0,1,0,0,336,6937,110,1608
bebement,2834,2014,5,1,1,14,137,2483,110,1747
Emiliano6181,254,2018,74,421,3,22,419,11027,110,1869
MattR501,4613,2016,0,11,0,0,184,2739,110,1707
KingSpoof,3322,2018,1,8,1,2,691,7523,109,1552
uynitsuj,3128,2015,10,9,1,7,510,6739,109,1723
JohnBoucher,0,2003,110,21,2,17,223,2857,109,
Greeneh,4272,2014,21,637,0,13,330,4992,109,1716
CharlesD5822,5822,2016,0,0,0,0,232,1853,109,1573
bretcobrageek,4488,,0,0,0,1,356,8210,109,1784
TreborKnight,4311,2018,4,2,2,6,385,4672,109,1629
LeapsAndBowns,,2009,8,13,0,2,316,7079,109,
mobius911,6418,2017,14,16,1,11,803,16385,108,1605
wgardner,0,2012,4,3,0,2,79,981,108,
potterlambert,11201,,1,0,5,5,165,2168,108,
mortog,1885,2011,2,0,1,0,130,2168,108,1681
Smtopps,4152,,8,0,5,20,679,10179,108,1612
shintyl,6829,2017,0,12,0,0,193,2904,108,1639
J_Beta,6832,2018,7,32,0,6,305,3800,108,
OmerAB,1690,2015,14,9,1,5,426,6049,108,1822
Brandon_Jahn,4009,2017,15,0,0,17,220,1624,108,1639
mrhelland,1359,,10,7,0,6,221,3030,108,1472
silverD,2052,2007,0,0,0,2,709,12441,108,1715
blturner,5013,2006,18,30,1,24,203,3543,108,1573
Robby_Unruh,3266,2010,0,17,0,4,616,5298,108,1500
cghercoias,20,1992,0,2,0,5,73,1197,107,1811
Mullen,7769,2002,0,2,0,1,306,6025,107,1537
Arete,,2014,320,301,0,824,172,23298,107,
Daniel4547,4547,2014,15,2,0,2,295,6024,107,1476
andrewthomas,1619,2014,0,0,0,0,458,7488,107,1833
S.P.A.M.er_17,,2009,4,0,1,1,442,5841,107,
BJT,876,2005,25,10,0,14,250,4168,107,1637
Galactic3D,2992,2019,0,2,0,0,660,6581,107,1632
VanJoel,4910,2011,16,2,1,1,319,4973,107,1747
Astro6647,6647 ,2018,0,7,0,6,226,2999,106,
SplashBro,2630,None,0,0,0,0,217,2301,106,1633
Gabriellemm,5687,2018,0,127,0,0,420,3960,106,1821
Nate_Johansen,,2013,16,129,0,9,2121,41563,106,
Jonny_Jee,3250,2012,2,9,0,4,252,3730,106,1532
Bethdad,967,None,1,0,0,0,169,4332,106,1685
LukeBronx,498,2010,0,5,0,0,380,5853,106,1625
vmm,0,2016,10,74,0,3,270,7150,106,
WStech,5019,2014,0,0,3,3,386,3574,106,1447
pufame,4027,2005,0,0,0,0,171,2218,106,1593
Cassie4575,4575,2015,13,3,0,5,367,3793,106,1499
IntenseHairball,4256,2016,40,32,0,13,214,4024,106,1674
KelleyCook,2834,2010,43,20,2,21,411,6482,106,1747
StevenSpangler,1189,2019,76,12,5,32,229,1910,106,1582
purple_turtle987,987,2012,0,15,0,0,205,2171,106,1821
StormN,236,2001,9,0,3,6,455,5958,105,1633
mustangtech,670,,13,18,1,5,583,7121,105,1557
Daniel_Ascencio,5012,2017,1,55,0,0,159,2489,105,1662
Malik,114,2019,5,25,0,2,95,1676,105,1641
rmccawley,708,2011,1,1,0,1,254,3241,105,1590
hopelessdiamond2412,2412,,220,311,0,276,100,14482,105,1614
S.Vance,None,None,0,24,0,0,519,9352,105,
traxxasracr1,3255,2013,5,0,1,0,330,4542,105,1626
afk7890,7890,2019,2,0,0,5,1181,22558,105,1614
Struyker_4678,4678,2017,0,0,0,1,252,3739,105,1597
jlangaas77,5172,2014,15,7,1,0,487,7642,105,1861
jasonbishop4909,4909,2017,0,0,0,0,537,4317,105,1659
JustinMo,6341,2017,12,1,0,3,513,7674,105,1508
Jackarivera,2264,2019,1,1,1,7,562,5292,105,1502
dhruvloke,2468,2017,3,0,1,3,265,2353,105,1744
mwibbels,2122,2007,0,1,0,0,161,2329,105,1735
chauser,4061,None,17,0,3,31,708,7701,105,1600
epic_ziver_D,5038,2017,21,3,0,13,140,1327,105,1531
Zentangle,4239,2017,51,98,2,40,351,6561,104,1550
Pickleb,5549 - Mechanical Captain,2018,43,314,6,26,827,11545,104,
Thermosman,3623,,0,0,0,0,225,3132,104,1488
rocpe,1626,2009,5,1,0,3,891,14776,104,1569
alanm,599,2020,0,1,0,0,576,9397,104,1624
GodCed,4952,2013,11,14,0,15,616,4620,104,1570
Zach_O,0,2009,66,61,2,9,433,4419,104,
Octopus118,118,2019,5,129,0,44,285,4427,104,1765
AVHon,3494,2019,20,48,0,18,864,12514,103,1600
MrT8,2386,2008,0,0,0,8,1073,15318,103,1641
Mahim,4571,2016,2,11,5,12,219,1688,103,1584
andrew4130,4130,2010,24,25,0,12,840,14027,103,1608
ogaragang,272,,0,6,0,0,308,3848,103,1612
Scott_Duhaime,226,2002,0,1,0,0,193,2049,103,1679
gingerschmidt,971,2014,15,13,0,3,151,2059,103,1853
donutjonut,4645,2020,2,5,0,1,431,5645,103,1484
Smoosh,None,None,230,159,0,174,458,10201,103,
dougwilliams,2053,2013,7,0,0,1,500,4923,102,1558
JohnGilb,488,2003,13,10,0,21,491,4942,102,1616
Rainclaw,0,2014,40,9,0,12,253,3409,102,
iwilcove,7308,2017,30,78,4,23,867,11680,102,1508
JeremyB27,3824,None,1,0,0,1,451,5335,102,1594
feverittm,997,2010,2,0,2,4,473,6804,102,1680
BlueStriker95,None,None,3,4,0,4,335,2749,101,
acastagna,1493,,5,1,6,25,596,4290,101,1712
Kunalp,846,2017,7,0,1,4,463,6749,101,1729
justlexi93,None,None,31,10,0,32,83,672,101,
HenryM,7419,2018,0,31,0,0,100,1231,101,1616
boliverselle,3310,2015,2,26,0,2,594,11463,101,1762
Eaz3,1188,2016,19,45,1,2,604,8010,101,1644
HolyDollar,5053,2014,27,182,0,11,336,7352,101,1607
Dylan_Watson,3481,2014,3,2,4,5,321,2833,101,1514
Nick_Seidl,2867,2000,3,2,0,4,439,5300,101,1572
Kusha,1745,2010,30,42,0,10,848,11711,101,1483
b_marap,7285,,5,5,1,12,466,4847,101,
rmaffeo,5827,2016,2,1,0,5,227,3300,101,1666
Peter_Matteson,177,2003,37,25,0,16,363,5899,101,1704
JohnRRRR,2590,2015,15,14,0,7,290,4508,101,1662
cpezza99,484,,0,0,0,2,681,7784,101,1589
