1,1560
4,1557
8,1572
11,1591
16,1724
20,1811
21,1546
23,1577
25,1655
27,1736
28,1454
31,1501
33,1817
34,1566
41,1666
45,1601
48,1582
51,1661
56,1706
58,1629
59,1679
60,1555
61,1625
63,1528
66,1623
67,1713
68,1482
69,1652
70,1591
71,1631
74,1644
75,1634
78,1841
79,1467
81,1421
85,1639
86,1705
87,1443
88,1697
93,1568
94,1529
95,1641
97,1481
100,1499
101,1575
102,1640
103,1669
107,1719
108,1594
111,1721
114,1641
115,1733
116,1563
117,1497
118,1765
120,1530
121,1563
122,1576
123,1548
125,1733
126,1674
128,1447
131,1560
133,1792
135,1661
136,1443
138,1574
141,1530
144,1636
145,1637
148,1838
151,1550
155,1480
156,1521
157,1540
159,1517
166,1568
167,1610
171,1524
172,1697
173,1670
175,1576
176,1793
177,1704
178,1652
179,1848
180,1729
181,1589
188,1690
190,1648
191,1569
192,1541
193,1561
195,1784
199,1493
201,1594
203,1562
204,1536
207,1677
213,1524
216,1501
217,1725
219,1560
222,1712
223,1661
224,1548
225,1827
226,1679
228,1630
229,1546
230,1729
231,1710
233,1613
234,1758
236,1633
237,1646
238,1683
240,1499
244,1526
245,1735
246,1502
247,1528
250,1570
253,1622
254,1869
256,1443
263,1589
269,1531
271,1651
272,1612
279,1529
280,1505
281,1572
283,1480
287,1595
288,1564
291,1577
292,1471
293,1541
294,1718
296,1505
299,1442
302,1702
303,1755
308,1657
313,1468
314,1557
316,1631
319,1756
321,1623
322,1341
323,1595
329,1650
330,1841
333,1556
334,1545
335,1411
337,1526
339,1583
340,1762
341,1598
342,1678
343,1558
346,1810
348,1461
352,1381
353,1502
354,1592
358,1554
359,1746
360,1662
364,1860
365,1659
368,1717
371,1591
378,1591
379,1653
383,1538
384,1633
386,1638
395,1469
399,1518
401,1676
418,1557
422,1568
423,1454
433,1622
435,1500
442,1418
447,1509
449,1611
451,1442
453,1494
456,1676
457,1492
461,1687
467,1504
468,1493
469,1509
484,1589
486,1591
488,1616
492,1640
494,1697
496,1389
498,1625
501,1549
503,1598
509,1641
514,1489
522,1397
525,1766
527,1600
533,1505
537,1514
538,1525
539,1549
540,1569
545,1391
547,1449
548,1692
554,1573
555,1544
558,1645
564,1522
568,1442
569,1400
571,1646
573,1656
578,1576
580,1447
581,1492
585,1368
587,1596
589,1490
590,1359
597,1610
599,1624
601,1482
604,1807
606,1358
610,1751
611,1560
612,1605
614,1661
617,1369
619,1688
620,1588
623,1555
624,1682
639,1553
640,1418
647,1444
648,1477
649,1753
653,1385
662,1560
663,1560
668,1443
670,1557
677,1493
686,1528
687,1646
691,1526
694,1737
695,1420
696,1600
698,1455
701,1558
702,1599
703,1550
704,1465
706,1528
708,1590
709,1579
714,1506
716,1579
743,1491
744,1690
746,1525
747,1670
751,1473
752,1469
753,1528
766,1465
771,1520
772,1561
773,1394
781,1444
801,1448
806,1475
810,1519
811,1518
812,1571
815,1524
816,1504
818,1543
829,1693
830,1497
832,1557
834,1597
835,1492
836,1729
839,1449
840,1401
841,1501
842,1708
846,1729
847,1560
848,1454
852,1517
854,1534
857,1535
858,1512
862,1675
865,1578
867,1480
868,1666
870,1772
871,1542
876,1637
877,1421
884,1450
885,1555
888,1575
894,1483
900,1453
904,1615
907,1571
910,1774
919,1336
930,1753
931,1522
932,1621
935,1593
937,1407
938,1415
945,1506
948,1680
949,1426
955,1457
957,1572
967,1685
968,1518
971,1853
972,1517
973,1836
977,1657
980,1463
987,1821
988,1352
991,1575
996,1482
997,1680
999,1529
1002,1559
1011,1633
1014,1493
1018,1577
1023,1767
1024,1641
1025,1760
1027,1504
1038,1578
1051,1562
1056,1535
1058,1612
1065,1550
1071,1673
1072,1505
1073,1641
1075,1519
1076,1610
1080,1503
1086,1503
1089,1619
