TeamLat,TeamLng,EventLat,EventLng
-111.905,33.522,-112.128912,33.5102029,0
-110.922,32.247,-112.128912,33.5102029,0
-111.71,33.278,-112.128912,33.5102029,0
-112.207,33.631,-112.128912,33.5102029,0
-111.815,33.335,-112.128912,33.5102029,0
-111.889,33.321,-112.128912,33.5102029,0
-111.92,33.336,-112.128912,33.5102029,0
-112.056,33.562,-112.128912,33.5102029,0
-111.859,33.251,-112.128912,33.5102029,0
-111.635,33.343,-112.128912,33.5102029,0
-111.177,32.337,-112.128912,33.5102029,0
-116.294,43.574,-123.3605947,48.4315616,0
-157.828,21.294,-123.3605947,48.4315616,0
-158.127,21.577,-123.3605947,48.4315616,0
-80.403,33.125,-123.3605947,48.4315616,0
-114.116,51.062,-123.3605947,48.4315616,0
-114.2,51.042,-123.3605947,48.4315616,0
-113.988,51.28,-123.3605947,48.4315616,0
-114.2,51.042,-123.3605947,48.4315616,0
-123.191,49.34,-123.3605947,48.4315616,0
-122.733,49.171,-123.3605947,48.4315616,0
-122.863,49.323,-123.3605947,48.4315616,0
-122.873,49.189,-123.3605947,48.4315616,0
-122.733,49.171,-123.3605947,48.4315616,0
-122.6,49.048,-123.3605947,48.4315616,0
-123.4,48.499,-123.3605947,48.4315616,0
-123.527,48.479,-123.3605947,48.4315616,0
-124.936,49.683,-123.3605947,48.4315616,0
-122.517,49.29,-123.3605947,48.4315616,0
-123.067,49.279,-123.3605947,48.4315616,0
-123.419,48.45,-123.3605947,48.4315616,0
-81.535,28.501,-118.0705664,34.6813619,0
-117.878,34.713,-118.0705664,34.6813619,0
-118.205,34.222,-118.0705664,34.6813619,0
-117.412,33.931,-118.0705664,34.6813619,0
-118.539,34.201,-118.0705664,34.6813619,0
-118.369,34.747,-118.0705664,34.6813619,0
-118.341,34.866,-118.0705664,34.6813619,0
9.005,47.025,-118.0705664,34.6813619,0
-117.302,34.422,-118.0705664,34.6813619,0
-114.972,36.036,-118.0705664,34.6813619,0
-121.966,37.814,-121.7595864,38.5418888,0
-121.989,38.385,-121.7595864,38.5418888,0
-122.026,37.95,-121.7595864,38.5418888,0
-122.097,37.633,-121.7595864,38.5418888,0
-122.247,38.105,-121.7595864,38.5418888,0
-120.805,38.719,-121.7595864,38.5418888,0
-121.291,38.894,-121.7595864,38.5418888,0
-121.53,38.496,-121.7595864,38.5418888,0
-121.493,38.557,-121.7595864,38.5418888,0
-119.76,36.795,-121.7595864,38.5418888,0
-120.948,37.672,-121.7595864,38.5418888,0
-121.47,39.488,-121.7595864,38.5418888,0
-121.377,38.588,-121.7595864,38.5418888,0
-121.329,38.566,-121.7595864,38.5418888,0
-121.329,38.566,-121.7595864,38.5418888,0
-121.741,38.681,-121.7595864,38.5418888,0
-119.837,39.535,-121.7595864,38.5418888,0
-121.954,38.348,-121.7595864,38.5418888,0
-119.235,39.602,-121.7595864,38.5418888,0
-121.968,38.532,-121.7595864,38.5418888,0
-114.782,42.601,-121.7595864,38.5418888,0
-122.036,38.267,-121.7595864,38.5418888,0
-121.776,37.966,-121.7595864,38.5418888,0
-121.268,38.814,-121.7595864,38.5418888,0
-122.639,38.459,-121.7595864,38.5418888,0
-122.256,38.455,-121.7595864,38.5418888,0
-121.975,37.958,-121.7595864,38.5418888,0
-122.036,38.267,-121.7595864,38.5418888,0
-122.026,37.95,-121.7595864,38.5418888,0
-121.384,38.624,-121.7595864,38.5418888,0
-122.0,37.307,-119.784965,36.735006,0
-120.082,36.94,-119.784965,36.735006,0
-120.465,35.166,-119.784965,36.735006,0
-119.766,36.858,-119.784965,36.735006,0
-121.742,38.554,-119.784965,36.735006,0
-119.999,36.649,-119.784965,36.735006,0
-121.128,37.749,-119.784965,36.735006,0
-119.652,36.843,-119.784965,36.735006,0
-116.295,43.633,-119.784965,36.735006,0
-122.639,38.459,-119.784965,36.735006,0
-120.465,37.298,-119.784965,36.735006,0
-119.759,36.888,-119.784965,36.735006,0
-119.306,36.311,-119.784965,36.735006,0
-120.603,37.349,-119.784965,36.735006,0
-120.725,37.376,-119.784965,36.735006,0
-119.68,36.825,-119.784965,36.735006,0
-119.32,36.626,-119.784965,36.735006,0
-118.351,33.811,-118.2695624,34.0403207,0
-118.43,34.003,-118.2695624,34.0403207,0
-118.412,33.924,-118.2695624,34.0403207,0
-115.567,32.789,-118.2695624,34.0403207,0
-118.349,33.914,-118.2695624,34.0403207,0
-112.069,33.456,-118.2695624,34.0403207,0
