2872,4
2.01,10.34,1538834475.9
2.00,10.33,1538834476.0
1.95,10.31,1538834476.1
1.86,10.29,1538834476.2
1.81,10.27,1538834476.3
1.76,10.24,1538834476.4
1.75,10.20,1538834476.5
1.79,10.15,1538834476.6
1.84,10.12,1538834476.7
1.89,10.08,1538834476.8
1.92,10.06,1538834476.9
1.95,10.06,1538834477.0
1.90,10.08,1538834477.1
1.83,10.13,1538834477.2
1.81,10.16,1538834477.3
1.80,10.20,1538834477.4
1.80,10.23,1538834477.5
1.80,10.26,1538834477.6
1.80,10.26,1538834477.7
1.86,10.24,1538834477.8
1.88,10.24,1538834477.9
1.90,10.25,1538834478.0
1.89,10.26,1538834478.1
1.88,10.25,1538834478.2
1.91,10.25,1538834478.3
1.90,10.28,1538834478.4
1.94,10.31,1538834478.5
2.06,10.31,1538834478.6
2.20,10.31,1538834478.7
2.44,10.34,1538834478.8
2.76,10.36,1538834478.9
3.10,10.36,1538834479.0
3.32,10.29,1538834479.1
3.54,10.35,1538834479.2
3.79,10.44,1538834479.3
3.94,10.52,1538834479.4
4.04,10.60,1538834479.5
4.11,10.67,1538834479.6
4.22,10.82,1538834479.7
4.27,10.89,1538834479.8
4.25,10.94,1538834479.9
4.27,11.02,1538834480.0
4.29,11.17,1538834480.1
4.30,11.38,1538834480.2
4.30,11.69,1538834480.3
4.33,12.03,1538834480.4
4.45,12.42,1538834480.5
4.53,12.83,1538834480.6
4.61,13.25,1538834480.7
4.73,13.71,1538834480.8
4.90,14.13,1538834480.9
5.09,14.55,1538834481.0
5.31,15.02,1538834481.1
5.51,15.49,1538834481.2
5.74,15.99,1538834481.3
5.93,16.51,1538834481.4
6.09,17.07,1538834481.5
6.20,17.63,1538834481.6
6.28,18.16,1538834481.7
6.40,18.66,1538834481.8
6.48,19.12,1538834481.9
6.58,19.52,1538834482.0
6.73,19.82,1538834482.1
6.88,20.02,1538834482.2
6.97,20.16,1538834482.3
7.06,20.23,1538834482.4
7.10,20.28,1538834482.5
7.13,20.28,1538834482.6
7.10,20.25,1538834482.7
7.09,20.17,1538834482.8
7.22,20.06,1538834482.9
7.41,19.93,1538834483.0
7.67,19.75,1538834483.1
7.93,19.57,1538834483.2
8.34,19.42,1538834483.3
8.80,19.32,1538834483.4
9.17,19.21,1538834483.5
9.41,19.12,1538834483.6
9.61,19.08,1538834483.7
9.82,19.07,1538834483.8
9.89,19.04,1538834483.9
9.91,19.01,1538834484.0
9.89,19.03,1538834484.1
9.89,19.08,1538834484.2
9.93,19.09,1538834484.3
9.99,19.10,1538834484.4
10.04,19.09,1538834484.5
10.05,19.08,1538834484.6
10.06,19.07,1538834484.7
10.07,19.08,1538834484.8
10.03,19.12,1538834484.9
9.98,19.14,1538834485.0
9.97,19.18,1538834485.1
9.93,19.20,1538834485.2
9.89,19.22,1538834485.3
9.89,19.23,1538834485.4
9.92,19.21,1538834485.5
9.94,19.16,1538834485.6
9.89,19.14,1538834485.7
9.92,19.12,1538834485.8
9.95,19.12,1538834485.9
9.96,19.11,1538834486.0
9.95,19.13,1538834486.1
9.95,19.15,1538834486.2
10.00,19.13,1538834486.3
9.98,19.15,1538834486.4
9.97,19.13,1538834486.5
9.95,19.14,1538834486.6
9.90,19.12,1538834486.7
9.84,19.14,1538834486.8
9.77,19.17,1538834486.9
9.79,19.19,1538834487.0
9.78,19.25,1538834487.1
9.79,19.25,1538834487.2
9.83,19.26,1538834487.3
9.85,19.28,1538834487.4
9.89,19.28,1538834487.5
9.82,19.27,1538834487.6
9.78,19.24,1538834487.7
9.77,19.23,1538834487.8
9.77,19.22,1538834487.9
9.82,19.19,1538834488.0
9.89,19.17,1538834488.1
9.97,19.13,1538834488.2
10.06,19.06,1538834488.3
10.09,19.00,1538834488.4
10.09,18.95,1538834488.5
10.04,18.98,1538834488.6
9.97,19.02,1538834488.7
9.89,19.08,1538834488.8
9.83,19.18,1538834488.9
9.81,19.26,1538834489.0
9.80,19.25,1538834489.1
9.87,19.21,1538834489.2
9.92,19.18,1538834489.3
9.97,19.13,1538834489.4
9.98,19.09,1538834489.5
9.97,19.05,1538834489.6
9.99,19.06,1538834489.7
9.91,19.09,1538834489.8
9.88,19.08,1538834489.9
9.85,19.09,1538834490.0
9.85,19.08,1538834490.1
9.89,19.07,1538834490.2
9.86,19.09,1538834490.3
9.88,19.08,1538834490.4
9.89,19.08,1538834490.5
9.91,19.05,1538834490.6
9.94,19.09,1538834490.7
9.95,19.09,1538834490.8
9.93,19.07,1538834490.9
9.89,19.08,1538834491.0
9.91,19.08,1538834491.1
9.92,19.11,1538834491.2
9.91,19.13,1538834491.3
9.90,19.15,1538834491.4
9.95,19.15,1538834491.5
10.02,19.10,1538834491.6
10.02,19.07,1538834491.7
10.03,19.04,1538834491.8
10.02,18.97,1538834491.9
10.00,18.95,1538834492.0
9.98,18.96,1538834492.1
9.93,19.00,1538834492.2
9.89,19.05,1538834492.3
9.84,19.10,1538834492.4
9.83,19.13,1538834492.5
9.81,19.13,1538834492.6
9.82,19.14,1538834492.7
9.82,19.15,1538834492.8
9.83,19.13,1538834492.9
9.85,19.12,1538834493.0
9.86,19.12,1538834493.1
9.94,19.10,1538834493.2
10.01,19.05,1538834493.3
10.08,19.02,1538834493.4
10.18,19.06,1538834493.5
10.26,19.07,1538834493.6
10.30,19.08,1538834493.7
10.29,19.08,1538834493.8
10.22,19.08,1538834493.9
10.13,19.08,1538834494.0
10.02,19.05,1538834494.1
9.94,19.03,1538834494.2
9.91,19.02,1538834494.3
9.86,19.04,1538834494.4
9.89,19.07,1538834494.5
9.90,19.12,1538834494.6
9.90,19.11,1538834494.7
9.86,19.11,1538834494.8
9.81,19.12,1538834494.9
9.77,19.13,1538834495.0
9.72,19.14,1538834495.1
9.70,19.09,1538834495.2
9.68,19.09,1538834495.3
9.64,19.07,1538834495.4
9.59,19.08,1538834495.5
9.55,19.08,1538834495.6
9.50,19.05,1538834495.7
9.46,19.04,1538834495.8
9.53,19.02,1538834495.9
9.61,19.01,1538834496.0
9.70,19.00,1538834496.1
9.75,18.97,1538834496.2
9.77,18.97,1538834496.3
9.72,18.98,1538834496.4
9.54,19.01,1538834496.5
9.30,19.02,1538834496.6
9.04,19.07,1538834496.7
8.67,19.10,1538834496.8
8.24,19.14,1538834496.9
7.81,19.15,1538834497.0
7.35,19.13,1538834497.1
6.90,19.13,1538834497.2
6.41,19.03,1538834497.3
5.96,19.14,1538834497.4
5.64,19.11,1538834497.5
5.40,19.06,1538834497.6
5.25,18.97,1538834497.7
5.19,18.83,1538834497.8
5.21,18.73,1538834497.9
5.34,18.38,1538834498.0
5.45,18.09,1538834498.1
5.64,17.78,1538834498.2
5.89,17.49,1538834498.3
6.09,17.26,1538834498.4
6.29,16.99,1538834498.5
6.49,16.78,1538834498.6
6.71,16.66,1538834498.7
6.83,16.57,1538834498.8
6.89,16.49,1538834498.9
6.96,16.39,1538834499.0
7.06,16.30,1538834499.1
7.14,16.22,1538834499.2
7.18,16.12,1538834499.3
7.24,16.05,1538834499.4
7.29,16.02,1538834499.5
7.34,16.00,1538834499.6
7.36,16.00,1538834499.7
7.35,16.01,1538834499.8
7.31,16.04,1538834499.9
7.27,16.06,1538834500.0
7.23,16.06,1538834500.1
7.21,16.05,1538834500.2
7.20,16.02,1538834500.3
7.26,16.00,1538834500.4
7.33,16.01,1538834500.5
7.33,15.97,1538834500.6
7.30,15.95,1538834500.7
7.30,15.96,1538834500.8
7.33,16.00,1538834500.9
7.30,16.08,1538834501.0
7.30,16.14,1538834501.1
7.36,16.22,1538834501.2
7.44,16.30,1538834501.3
7.47,16.32,1538834501.4
7.47,16.30,1538834501.5
7.47,16.21,1538834501.6
7.46,16.10,1538834501.7
7.49,15.97,1538834501.8
7.48,15.86,1538834501.9
7.50,15.77,1538834502.0
7.53,15.69,1538834502.1
7.54,15.62,1538834502.2
7.55,15.55,1538834502.3
7.52,15.50,1538834502.4
7.54,15.47,1538834502.5
7.50,15.45,1538834502.6
7.49,15.44,1538834502.7
7.50,15.43,1538834502.8
7.52,15.43,1538834502.9
7.52,15.43,1538834503.0
7.50,15.41,1538834503.1
7.54,15.39,1538834503.2
7.54,15.39,1538834503.3
7.50,15.38,1538834503.4
7.51,15.37,1538834503.5
7.52,15.34,1538834503.6
7.50,15.38,1538834503.7
7.40,15.50,1538834503.8
7.27,15.67,1538834503.9
7.13,15.93,1538834504.0
6.95,16.24,1538834504.1
6.77,16.60,1538834504.2
6.62,16.89,1538834504.3
6.47,17.12,1538834504.4
6.43,17.24,1538834504.5
6.45,17.25,1538834504.6
6.49,17.15,1538834504.7
6.58,16.93,1538834504.8
6.71,16.65,1538834504.9
6.90,16.30,1538834505.0
7.01,15.91,1538834505.1
7.14,15.57,1538834505.2
7.23,15.25,1538834505.3
7.27,14.98,1538834505.4
7.28,14.75,1538834505.5
7.29,14.56,1538834505.6
7.29,14.41,1538834505.7
7.24,14.25,1538834505.8
7.23,14.16,1538834505.9
7.23,14.09,1538834506.0
7.23,14.01,1538834506.1
7.22,13.92,1538834506.2
7.20,13.83,1538834506.3
7.17,13.73,1538834506.4
7.10,13.58,1538834506.5
7.04,13.41,1538834506.6
6.95,13.26,1538834506.7
6.91,13.25,1538834506.8
6.93,13.31,1538834506.9
6.94,13.38,1538834507.0
6.97,13.52,1538834507.1
7.02,13.70,1538834507.2
7.04,13.93,1538834507.3
7.07,14.05,1538834507.4
7.09,14.10,1538834507.5
7.15,14.18,1538834507.6
7.20,14.18,1538834507.7
7.24,14.11,1538834507.8
7.35,13.95,1538834507.9
7.45,13.81,1538834508.0
7.50,13.68,1538834508.1
7.56,13.56,1538834508.2
7.61,13.45,1538834508.3
7.66,13.35,1538834508.4
7.68,13.28,1538834508.5
7.64,13.21,1538834508.6
7.60,13.12,1538834508.7
7.55,13.05,1538834508.8
7.51,12.97,1538834508.9
7.46,12.90,1538834509.0
7.43,12.82,1538834509.1
7.41,12.72,1538834509.2
7.43,12.63,1538834509.3
7.46,12.51,1538834509.4
7.50,12.34,1538834509.5
7.57,12.16,1538834509.6
7.64,11.97,1538834509.7
7.72,11.80,1538834509.8
7.81,11.62,1538834509.9
7.90,11.46,1538834510.0
7.95,11.39,1538834510.1
7.95,11.34,1538834510.2
7.97,11.29,1538834510.3
8.00,11.17,1538834510.4
8.00,11.03,1538834510.5
8.00,10.85,1538834510.6
8.01,10.67,1538834510.7
8.03,10.48,1538834510.8
8.03,10.34,1538834510.9
8.00,10.24,1538834511.0
7.99,10.22,1538834511.1
8.00,10.19,1538834511.2
8.00,10.16,1538834511.3
7.99,10.13,1538834511.4
8.00,10.10,1538834511.5
8.06,10.09,1538834511.6
8.02,10.02,1538834511.7
8.00,10.00,1538834511.8
7.98,9.97,1538834511.9
7.98,9.85,1538834512.0
7.94,9.76,1538834512.1
7.85,9.66,1538834512.2
7.66,9.62,1538834512.3
7.67,9.50,1538834512.4
7.70,9.39,1538834512.5
7.75,9.35,1538834512.6
7.81,9.33,1538834512.7
7.88,9.32,1538834512.8
8.14,9.29,1538834512.9
8.16,9.25,1538834513.0
8.13,9.20,1538834513.1
8.06,9.19,1538834513.2
7.98,9.18,1538834513.3
7.91,9.18,1538834513.4
7.82,9.21,1538834513.5
7.76,9.28,1538834513.6
7.77,9.34,1538834513.7
7.79,9.37,1538834513.8
7.84,9.36,1538834513.9
7.89,9.34,1538834514.0
7.95,9.30,1538834514.1
7.96,9.27,1538834514.2
7.96,9.26,1538834514.3
7.95,9.25,1538834514.4
7.95,9.25,1538834514.5
7.94,9.24,1538834514.6
7.94,9.22,1538834514.7
7.97,9.21,1538834514.8
8.01,9.19,1538834514.9
8.05,9.16,1538834515.0
8.04,9.12,1538834515.1
8.04,9.11,1538834515.2
8.05,9.12,1538834515.3
8.06,9.13,1538834515.4
8.01,9.15,1538834515.5
