353,4
0.95,4.15,1538834475.6
0.96,4.19,1538834475.7
1.01,4.21,1538834475.8
1.05,4.22,1538834475.9
1.06,4.21,1538834476.0
1.06,4.22,1538834476.1
1.02,4.19,1538834476.2
1.01,4.14,1538834476.3
0.99,4.09,1538834476.4
0.97,4.03,1538834476.5
0.96,4.02,1538834476.6
0.96,4.02,1538834476.7
0.97,4.01,1538834476.8
0.98,4.01,1538834476.9
0.96,4.03,1538834477.0
0.92,4.07,1538834477.1
0.88,4.07,1538834477.2
0.84,4.07,1538834477.3
0.86,4.07,1538834477.4
0.87,4.07,1538834477.5
0.88,4.07,1538834477.6
0.95,4.09,1538834477.7
1.00,4.10,1538834477.8
1.04,4.11,1538834477.9
1.03,4.13,1538834478.0
1.04,4.14,1538834478.1
1.04,4.15,1538834478.2
0.98,4.14,1538834478.3
1.00,4.15,1538834478.4
1.05,4.15,1538834478.5
1.08,4.14,1538834478.6
1.09,4.14,1538834478.7
1.12,4.14,1538834478.8
1.14,4.15,1538834478.9
1.14,4.13,1538834479.0
1.12,4.11,1538834479.1
1.10,4.08,1538834479.2
1.10,4.04,1538834479.3
1.12,4.00,1538834479.4
1.12,3.92,1538834479.5
1.11,3.86,1538834479.6
1.10,3.82,1538834479.7
1.11,3.81,1538834479.8
1.12,3.81,1538834479.9
1.12,3.80,1538834480.0
1.15,3.83,1538834480.1
1.21,3.90,1538834480.2
1.31,3.94,1538834480.3
1.42,3.99,1538834480.4
1.55,4.05,1538834480.5
1.71,4.15,1538834480.6
1.87,4.25,1538834480.7
2.00,4.31,1538834480.8
2.10,4.36,1538834480.9
2.18,4.40,1538834481.0
2.24,4.44,1538834481.1
2.28,4.46,1538834481.2
2.33,4.45,1538834481.3
2.40,4.47,1538834481.4
2.51,4.53,1538834481.5
2.67,4.57,1538834481.6
2.89,4.61,1538834481.7
3.18,4.61,1538834481.8
3.46,4.65,1538834481.9
3.79,4.69,1538834482.0
4.18,4.72,1538834482.1
4.61,4.77,1538834482.2
5.02,4.81,1538834482.3
5.42,4.91,1538834482.4
5.87,4.95,1538834482.5
6.30,5.02,1538834482.6
6.72,5.14,1538834482.7
7.11,5.28,1538834482.8
7.54,5.46,1538834482.9
7.99,5.63,1538834483.0
8.43,5.86,1538834483.1
8.76,6.01,1538834483.2
8.97,6.07,1538834483.3
9.18,6.13,1538834483.4
9.38,6.14,1538834483.5
9.44,6.13,1538834483.6
9.43,6.09,1538834483.7
9.48,6.09,1538834483.8
9.52,6.07,1538834483.9
9.57,6.07,1538834484.0
9.50,6.03,1538834484.1
9.48,6.02,1538834484.2
9.55,6.07,1538834484.3
9.59,6.13,1538834484.4
9.69,6.24,1538834484.5
9.67,6.28,1538834484.6
9.75,6.35,1538834484.7
9.79,6.39,1538834484.8
9.79,6.39,1538834484.9
9.78,6.38,1538834485.0
9.76,6.36,1538834485.1
9.75,6.34,1538834485.2
9.73,6.34,1538834485.3
9.73,6.35,1538834485.4
9.75,6.37,1538834485.5
9.79,6.36,1538834485.6
9.82,6.38,1538834485.7
9.85,6.43,1538834485.8
9.90,6.44,1538834485.9
9.90,6.44,1538834486.0
9.89,6.43,1538834486.1
9.89,6.43,1538834486.2
9.91,6.43,1538834486.3
9.92,6.43,1538834486.4
9.91,6.39,1538834486.5
9.91,6.38,1538834486.6
9.90,6.43,1538834486.7
9.89,6.49,1538834486.8
9.87,6.51,1538834486.9
9.86,6.49,1538834487.0
9.86,6.52,1538834487.1
9.89,6.56,1538834487.2
9.92,6.56,1538834487.3
9.92,6.54,1538834487.4
9.95,6.54,1538834487.5
9.99,6.57,1538834487.6
10.05,6.62,1538834487.7
10.06,6.63,1538834487.8
10.08,6.67,1538834487.9
10.09,6.71,1538834488.0
10.12,6.73,1538834488.1
10.16,6.75,1538834488.2
10.16,6.73,1538834488.3
10.10,6.68,1538834488.4
10.00,6.59,1538834488.5
9.92,6.51,1538834488.6
9.83,6.43,1538834488.7
9.73,6.37,1538834488.8
9.64,6.32,1538834488.9
9.63,6.34,1538834489.0
9.66,6.37,1538834489.1
9.71,6.39,1538834489.2
9.75,6.43,1538834489.3
9.78,6.46,1538834489.4
9.80,6.47,1538834489.5
9.79,6.46,1538834489.6
9.75,6.45,1538834489.7
9.72,6.45,1538834489.8
9.70,6.44,1538834489.9
9.69,6.45,1538834490.0
9.69,6.45,1538834490.1
9.69,6.44,1538834490.2
9.71,6.45,1538834490.3
9.72,6.45,1538834490.4
9.71,6.44,1538834490.5
9.72,6.40,1538834490.6
9.74,6.38,1538834490.7
9.78,6.37,1538834490.8
9.82,6.36,1538834490.9
9.86,6.37,1538834491.0
9.90,6.37,1538834491.1
9.92,6.38,1538834491.2
9.96,6.39,1538834491.3
9.96,6.41,1538834491.4
9.95,6.42,1538834491.5
9.94,6.41,1538834491.6
9.89,6.39,1538834491.7
9.84,6.36,1538834491.8
9.76,6.32,1538834491.9
9.73,6.31,1538834492.0
9.73,6.32,1538834492.1
9.74,6.34,1538834492.2
9.78,6.38,1538834492.3
9.83,6.44,1538834492.4
9.92,6.51,1538834492.5
9.96,6.51,1538834492.6
9.98,6.49,1538834492.7
9.99,6.46,1538834492.8
9.97,6.43,1538834492.9
9.95,6.40,1538834493.0
9.90,6.37,1538834493.1
9.90,6.38,1538834493.2
9.88,6.41,1538834493.3
9.88,6.44,1538834493.4
9.90,6.47,1538834493.5
9.94,6.48,1538834493.6
9.96,6.48,1538834493.7
9.95,6.46,1538834493.8
9.94,6.43,1538834493.9
9.93,6.40,1538834494.0
9.92,6.38,1538834494.1
9.89,6.36,1538834494.2
9.88,6.34,1538834494.3
9.89,6.35,1538834494.4
9.91,6.37,1538834494.5
9.92,6.39,1538834494.6
9.92,6.41,1538834494.7
9.94,6.45,1538834494.8
9.94,6.47,1538834494.9
9.94,6.51,1538834495.0
9.92,6.49,1538834495.1
9.93,6.49,1538834495.2
9.94,6.48,1538834495.3
9.93,6.47,1538834495.4
9.92,6.48,1538834495.5
9.92,6.44,1538834495.6
9.93,6.41,1538834495.7
9.92,6.40,1538834495.8
9.90,6.38,1538834495.9
9.89,6.35,1538834496.0
9.90,6.33,1538834496.1
9.93,6.35,1538834496.2
9.95,6.39,1538834496.3
9.96,6.40,1538834496.4
9.99,6.39,1538834496.5
10.00,6.39,1538834496.6
9.96,6.40,1538834496.7
9.93,6.39,1538834496.8
9.95,6.42,1538834496.9
9.97,6.47,1538834497.0
9.98,6.50,1538834497.1
10.01,6.54,1538834497.2
10.06,6.56,1538834497.3
10.03,6.56,1538834497.4
10.00,6.56,1538834497.5
9.96,6.55,1538834497.6
9.94,6.55,1538834497.7
9.93,6.57,1538834497.8
9.92,6.56,1538834497.9
9.96,6.54,1538834498.0
9.96,6.50,1538834498.1
9.97,6.46,1538834498.2
9.97,6.38,1538834498.3
9.93,6.27,1538834498.4
9.94,6.24,1538834498.5
9.94,6.24,1538834498.6
9.93,6.25,1538834498.7
9.90,6.24,1538834498.8
9.88,6.27,1538834498.9
9.87,6.30,1538834499.0
9.84,6.30,1538834499.1
9.81,6.27,1538834499.2
9.77,6.24,1538834499.3
9.69,6.19,1538834499.4
9.53,6.12,1538834499.5
9.33,6.05,1538834499.6
9.14,6.02,1538834499.7
8.97,5.98,1538834499.8
8.82,5.97,1538834499.9
8.72,5.98,1538834500.0
8.74,6.04,1538834500.1
8.79,6.06,1538834500.2
8.82,6.05,1538834500.3
8.82,6.07,1538834500.4
8.83,6.07,1538834500.5
8.82,6.05,1538834500.6
8.84,6.05,1538834500.7
8.91,6.03,1538834500.8
9.02,5.93,1538834500.9
9.20,5.75,1538834501.0
9.41,5.50,1538834501.1
9.70,5.20,1538834501.2
10.02,4.92,1538834501.3
10.34,4.64,1538834501.4
10.65,4.38,1538834501.5
10.97,4.11,1538834501.6
11.30,3.91,1538834501.7
11.68,3.70,1538834501.8
12.05,3.35,1538834501.9
12.45,3.01,1538834502.0
12.89,2.70,1538834502.1
13.39,2.57,1538834502.2
13.99,2.48,1538834502.3
14.59,2.44,1538834502.4
15.20,2.68,1538834502.5
15.87,2.90,1538834502.6
16.55,2.98,1538834502.7
17.25,3.00,1538834502.8
17.89,2.98,1538834502.9
18.53,2.98,1538834503.0
19.12,2.80,1538834503.1
19.67,2.74,1538834503.2
20.17,2.85,1538834503.3
20.64,2.97,1538834503.4
21.05,3.10,1538834503.5
21.36,3.21,1538834503.6
21.56,3.31,1538834503.7
21.70,3.39,1538834503.8
21.81,3.43,1538834503.9
21.84,3.42,1538834504.0
21.80,3.39,1538834504.1
21.74,3.37,1538834504.2
21.70,3.36,1538834504.3
21.66,3.36,1538834504.4
21.61,3.36,1538834504.5
21.59,3.37,1538834504.6
21.59,3.37,1538834504.7
21.60,3.37,1538834504.8
21.60,3.34,1538834504.9
21.60,3.31,1538834505.0
21.62,3.29,1538834505.1
21.63,3.27,1538834505.2
21.65,3.29,1538834505.3
21.67,3.28,1538834505.4
21.72,3.28,1538834505.5
21.74,3.30,1538834505.6
21.73,3.33,1538834505.7
21.72,3.38,1538834505.8
21.72,3.40,1538834505.9
21.73,3.47,1538834506.0
21.75,3.53,1538834506.1
21.75,3.56,1538834506.2
21.77,3.58,1538834506.3
21.79,3.60,1538834506.4
21.78,3.60,1538834506.5
21.81,3.59,1538834506.6
21.85,3.61,1538834506.7
21.92,3.64,1538834506.8
22.00,3.68,1538834506.9
22.06,3.71,1538834507.0
22.09,3.76,1538834507.1
22.13,3.81,1538834507.2
22.18,3.87,1538834507.3
22.29,3.94,1538834507.4
22.43,4.02,1538834507.5
22.62,4.15,1538834507.6
22.85,4.29,1538834507.7
23.09,4.44,1538834507.8
23.30,4.55,1538834507.9
23.45,4.67,1538834508.0
23.57,4.76,1538834508.1
23.61,4.77,1538834508.2
23.63,4.76,1538834508.3
23.65,4.75,1538834508.4
23.65,4.73,1538834508.5
23.69,4.71,1538834508.6
23.72,4.67,1538834508.7
23.80,4.69,1538834508.8
23.84,4.77,1538834508.9
23.83,4.84,1538834509.0
23.87,4.87,1538834509.1
23.85,4.85,1538834509.2
23.77,4.85,1538834509.3
23.70,4.80,1538834509.4
23.64,4.71,1538834509.5
23.60,4.59,1538834509.6
23.54,4.52,1538834509.7
23.50,4.46,1538834509.8
23.44,4.42,1538834509.9
23.36,4.40,1538834510.0
23.29,4.38,1538834510.1
23.25,4.39,1538834510.2
23.16,4.37,1538834510.3
23.10,4.29,1538834510.4
22.94,4.17,1538834510.5
22.73,4.02,1538834510.6
22.52,3.85,1538834510.7
22.23,3.63,1538834510.8
21.93,3.44,1538834510.9
21.59,3.34,1538834511.0
21.42,3.26,1538834511.1
21.30,3.20,1538834511.2
21.20,3.21,1538834511.3
21.22,3.28,1538834511.4
21.32,3.36,1538834511.5
21.40,3.37,1538834511.6
21.42,3.42,1538834511.7
21.39,3.45,1538834511.8
21.37,3.42,1538834511.9
21.26,3.38,1538834512.0
21.14,3.34,1538834512.1
21.09,3.32,1538834512.2
21.08,3.26,1538834512.3
21.09,3.21,1538834512.4
21.14,3.22,1538834512.5
21.22,3.17,1538834512.6
21.29,3.13,1538834512.7
21.36,3.15,1538834512.8
21.45,3.19,1538834512.9
21.55,3.24,1538834513.0
21.61,3.28,1538834513.1
21.65,3.37,1538834513.2
21.70,3.48,1538834513.3
21.76,3.57,1538834513.4
21.86,3.67,1538834513.5
22.03,3.81,1538834513.6
22.27,3.97,1538834513.7
22.54,4.14,1538834513.8
22.81,4.26,1538834513.9
23.05,4.39,1538834514.0
23.26,4.50,1538834514.1
23.35,4.54,1538834514.2
23.36,4.52,1538834514.3
23.30,4.44,1538834514.4
23.18,4.36,1538834514.5
23.04,4.26,1538834514.6
22.83,4.16,1538834514.7
22.64,4.06,1538834514.8
22.44,3.93,1538834514.9
22.26,3.82,1538834515.0
22.09,3.74,1538834515.1
21.96,3.66,1538834515.2
21.88,3.58,1538834515.3
21.81,3.53,1538834515.4
21.76,3.50,1538834515.5
21.73,3.48,1538834515.6
21.73,3.48,1538834515.7
21.70,3.45,1538834515.8
21.67,3.44,1538834515.9
21.67,3.42,1538834516.0
21.66,3.38,1538834516.1
21.65,3.35,1538834516.2
21.61,3.33,1538834516.3
21.58,3.31,1538834516.4
21.55,3.29,1538834516.5
21.51,3.26,1538834516.6
21.47,3.25,1538834516.7
21.44,3.24,1538834516.8
21.41,3.21,1538834516.9
21.40,3.20,1538834517.0
21.40,3.20,1538834517.1
21.40,3.20,1538834517.2
21.41,3.20,1538834517.3
21.40,3.19,1538834517.4
21.36,3.20,1538834517.5
21.30,3.17,1538834517.6
21.19,3.14,1538834517.7
21.05,3.11,1538834517.8
20.89,3.09,1538834517.9
20.75,3.03,1538834518.0
20.67,2.94,1538834518.1
20.62,2.91,1538834518.2
20.56,2.92,1538834518.3
20.49,2.89,1538834518.4
20.50,2.89,1538834518.5
20.55,2.93,1538834518.6
20.64,3.01,1538834518.7
20.74,3.07,1538834518.8
