Lat,Lng,Density
21.39005,-157.96606,35
21.39001,-157.9664,35
21.38998,-157.96681,35
21.38996,-157.96723,35
21.38996,-157.96762,35
21.38997,-157.96801,35
21.38998,-157.96836,35
21.39003,-157.96878,35
21.39008,-157.96918,35
21.39014,-157.96958,35
21.39024,-157.97,35
21.39033,-157.97038,35
21.39043,-157.97071,35
21.39053,-157.97105,35
21.39099,-157.97222,35
21.39347,-157.97855,35
21.39352,-157.97869,35
21.39388,-157.97961,35
21.3942,-157.98045,35
21.39489,-157.98213,35
21.39512,-157.98266,35
21.39541,-157.98329,35
21.39555,-157.98355,35
21.39572,-157.98383,35
21.3959,-157.98413,35
21.39641,-157.98485,35
21.39677,-157.98535,35
21.397,-157.9857,35
21.39721,-157.98608,35
21.3974,-157.98644,35
21.39752,-157.98671,35
21.39765,-157.98704,35
21.39773,-157.98725,35
21.39783,-157.98757,35
21.39792,-157.98789,35
21.39801,-157.98838,35
21.39805,-157.98867,35
21.39809,-157.98896,35
21.39811,-157.98927,35
21.39813,-157.9897,35
21.39812,-157.99016,35
21.3981,-157.9907,35
21.39807,-157.99107,35
21.39805,-157.99141,35
21.39799,-157.99203,35
21.39797,-157.99237,35
21.39797,-157.99271,35
21.39799,-157.99308,35
21.39802,-157.9934,35
21.3981,-157.99398,35
21.39823,-157.99461,35
21.39851,-157.99596,35
21.39885,-157.9976,35
21.39917,-157.99904,35
21.39927,-157.99955,35
21.39935,-158.00008,35
21.3994,-158.00062,35
21.39942,-158.00126,35
21.3994,-158.00194,35
21.39932,-158.00256,35
21.39923,-158.00312,35
21.39912,-158.00361,35
21.39889,-158.00448,35
21.39865,-158.00522,35
21.39829,-158.00614,35
21.39789,-158.00706,35
21.39751,-158.0078,35
21.39716,-158.0084,35
21.39652,-158.0094,35
21.39618,-158.00988,35
21.39564,-158.01065,35
21.39487,-158.01152,35
21.39422,-158.01226,35
21.39333,-158.01326,35
21.39276,-158.01393,35
21.39246,-158.0143,35
21.39213,-158.01482,35
21.39185,-158.01538,35
21.39164,-158.01591,35
21.39136,-158.01667,35
21.39062,-158.01898,35
21.39004,-158.02091,35
21.38969,-158.0218,35
21.38928,-158.02265,35
21.38902,-158.02314,35
21.38886,-158.02344,35
21.38716,-158.0264,35
21.38637,-158.02779,35
21.38571,-158.02897,35
21.38401,-158.03204,35
21.38379,-158.03245,35
21.38261,-158.03435,35
21.38041,-158.03834,35
21.37974,-158.03939,35
21.37927,-158.04025,35
21.3789,-158.04103,35
21.3786,-158.04171,35
21.37824,-158.04263,35
21.37787,-158.04356,35
21.37764,-158.04418,35
21.37612,-158.04807,35
21.37583,-158.0488,35
21.37561,-158.04927,35
21.3753,-158.04986,35
21.37487,-158.05055,35
21.37446,-158.05116,35
21.37402,-158.05173,35
21.3736,-158.05225,35
21.3732,-158.0527,35
21.36997,-158.05631,35
21.36651,-158.06015,35
21.3662,-158.06049,35
21.36608,-158.06063,35
21.36601,-158.06071,35
21.3656,-158.06117,35
21.36537,-158.06142,35
21.36518,-158.06163,35
21.36501,-158.0618,35
21.3648,-158.06197,35
21.3646,-158.06214,35
21.36441,-158.06229,35
21.36414,-158.06247,35
21.36389,-158.06263,35
21.36365,-158.06278,35
21.36311,-158.06301,35
21.3625,-158.06324,35
21.362,-158.06336,35
21.36139,-158.06348,35
21.35769,-158.06421,35
21.35705,-158.06438,35
21.35644,-158.06456,35
21.35573,-158.06482,35
21.35505,-158.06514,35
21.35447,-158.06544,35
21.35379,-158.06586,35
21.35322,-158.06622,35
21.35246,-158.06682,35
21.35186,-158.06739,35
21.34871,-158.07075,35
21.34558,-158.07415,35
21.34384,-158.07604,35
21.34233,-158.07765,35
21.34147,-158.07861,35
21.34084,-158.07921,35
21.34043,-158.07963,35
21.34025,-158.0798,35
21.33686,-158.08273,35
21.33606,-158.08341,35
21.33571,-158.08371,35
21.33562,-158.08379,35
21.33401,-158.08518,35
21.33361,-158.08561,35
21.33333,-158.08597,35
21.33313,-158.08628,35
21.33305,-158.08643,35
21.33283,-158.08684,35
21.33265,-158.08724,35
21.3325,-158.08765,35
21.33238,-158.08814,35
21.33231,-158.08849,35
21.33227,-158.08888,35
21.33226,-158.08899,35
21.33224,-158.08926,35
21.33225,-158.08966,35
21.33225,-158.08986,35
21.33226,-158.09017,35
21.33229,-158.09038,35
21.33235,-158.09078,35
21.3324,-158.09105,35
21.33249,-158.09135,35
21.33258,-158.0916,35
21.33272,-158.09193,35
21.33288,-158.09224,35
21.33312,-158.09264,35
21.33329,-158.0929,35
21.33346,-158.09313,35
21.33369,-158.09339,35
21.33424,-158.09388,35
21.33446,-158.09407,35
21.33523,-158.0947,35
21.33539,-158.09484,35
21.33552,-158.09495,35
21.33566,-158.09508,35
21.33581,-158.09523,35
21.33596,-158.0954,35
21.33614,-158.0956,35
21.33631,-158.09581,35
21.33643,-158.09595,35
21.33669,-158.09635,35
21.33697,-158.09678,35
21.3395,-158.10116,35
21.3409,-158.1036,35
21.34111,-158.10402,35
21.34121,-158.10428,35
21.34132,-158.10459,35
21.34138,-158.10477,35
21.34145,-158.10504,35
21.34158,-158.10555,35
21.34162,-158.10574,35
21.34164,-158.10586,35
21.34167,-158.1061,35
21.34175,-158.10675,35
21.34179,-158.10712,35
21.34194,-158.10842,35
21.34201,-158.10893,35
21.34206,-158.10924,35
21.34212,-158.10946,35
21.34219,-158.10968,35
21.34228,-158.10992,35
21.34236,-158.11011,35
21.34248,-158.11035,35
21.3426,-158.11055,35
21.34285,-158.11093,35
21.34302,-158.11119,35
21.34322,-158.11149,35
21.34336,-158.11172,35
21.34348,-158.11193,35
21.34367,-158.11231,35
21.34384,-158.1127,35
21.34392,-158.11299,35
21.34394,-158.11307,35
21.344,-158.11326,35
21.34404,-158.11348,35
21.34407,-158.11366,35
21.34409,-158.11388,35
21.34411,-158.11425,35
21.34412,-158.11461,35
21.34412,-158.11481,35
21.34418,-158.11792,35
21.34419,-158.11826,35
21.34421,-158.1188,35
21.34425,-158.11906,35
21.34428,-158.1193,35
21.34433,-158.11954,35
21.34438,-158.11974,35
21.34442,-158.1199,35
21.34451,-158.12016,35
21.34461,-158.1204,35
21.34473,-158.12069,35
21.34494,-158.12113,35
21.34557,-158.12233,35
21.34622,-158.12361,35
21.34672,-158.12455,35
21.34686,-158.12483,35
21.34729,-158.12563,35
21.34749,-158.12602,35
21.34778,-158.12656,35
21.34807,-158.12711,35
21.34834,-158.1276,35
21.34856,-158.12793,35
21.3487,-158.12811,35
21.3488,-158.12824,35
21.3492,-158.12862,35
21.34924,-158.12865,35
21.34961,-158.12893,35
21.35002,-158.12916,35
21.35023,-158.12926,35
21.35054,-158.12936,35
21.35073,-158.12941,35
21.35095,-158.12948,35
21.35161,-158.1296,35
21.35215,-158.12965,35
21.35278,-158.12966,35
21.35309,-158.12966,35
21.3543,-158.12956,35
21.35463,-158.12955,35
21.35515,-158.12956,35
21.35548,-158.12959,35
21.35572,-158.12963,35
21.35606,-158.12971,35
21.35681,-158.12995,35
21.3571,-158.13007,35
21.35797,-158.13042,35
21.35821,-158.1305,35
21.35868,-158.13068,35
21.3602,-158.13125,35
21.36107,-158.13159,35
21.36168,-158.13187,35
21.36207,-158.13206,35
21.36278,-158.13245,35
21.36526,-158.13391,35
21.36707,-158.13495,35
21.36739,-158.13508,35
21.36753,-158.13516,35
21.36787,-158.13528,35
21.36818,-158.13537,35
21.36897,-158.13563,35
21.36932,-158.13579,35
21.36947,-158.13585,35
21.36977,-158.13601,35
21.37011,-158.13622,35
21.37025,-158.1363,35
21.37037,-158.13637,35
21.37193,-158.13734,35
21.37259,-158.13775,35
21.37274,-158.13781,35
21.37283,-158.13785,35
21.37313,-158.13804,35
21.37332,-158.13815,35
21.37366,-158.13838,35
21.37418,-158.13872,35
21.37509,-158.13931,35
21.37571,-158.13973,35
21.37597,-158.13992,35
21.37672,-158.14053,35
21.37698,-158.14076,35
21.37756,-158.1413,35
21.37862,-158.14243,35
21.37942,-158.14329,35
21.37987,-158.14379,35
21.38069,-158.14465,35
21.38149,-158.14551,35
21.38164,-158.14567,35
21.38216,-158.14624,35
21.38233,-158.14644,35
21.38257,-158.14668,35
21.38292,-158.14704,35
21.38442,-158.14865,35
21.38546,-158.1498,35
21.38581,-158.15017,35
21.38661,-158.15104,35
21.38676,-158.15121,35
21.38711,-158.15158,35
21.38737,-158.15185,35
21.38757,-158.15206,35
21.38773,-158.15223,35
21.38868,-158.15327,35
21.38939,-158.15402,35
21.39014,-158.15487,35
21.39079,-158.15556,35
21.39115,-158.15598,35
21.39155,-158.15639,35
21.39226,-158.15715,35
21.39252,-158.15741,35
21.39296,-158.1579,35
21.39322,-158.15819,35
21.39353,-158.15852,35
21.39398,-158.15904,35
21.39421,-158.15936,35
21.3943,-158.15944,35
21.39441,-158.15956,35
21.39487,-158.16019,35
21.39519,-158.16063,35
21.39564,-158.16135,35
21.39601,-158.16201,35
21.39621,-158.1624,35
21.39656,-158.1632,35
21.39662,-158.1633,35
21.39668,-158.1634,35
21.39682,-158.16372,35
21.39692,-158.16391,35
21.39704,-158.16419,35
21.3973,-158.16497,35
21.39746,-158.16549,35
21.39753,-158.16575,35
21.39775,-158.16664,35
21.39782,-158.167,35
21.39791,-158.16756,35
21.39811,-158.16889,35
21.39819,-158.16945,35
21.3983,-158.17024,35
21.39837,-158.17064,35
21.39845,-158.17097,35
21.39851,-158.17121,35
21.39859,-158.17147,35
21.3987,-158.17177,35
21.39881,-158.17204,35
21.399,-158.1724,35
21.39929,-158.17287,35
21.39941,-158.17304,35
21.39952,-158.17318,35
21.39999,-158.17373,35
21.40129,-158.1753,35
21.40152,-158.17554,35
21.40184,-158.1758,35
21.40209,-158.17596,35
21.4024,-158.17615,35
21.40267,-158.17628,35
21.40296,-158.17639,35
21.40342,-158.17654,35
21.4038,-158.17662,35
21.40386,-158.17669,35
21.404,-158.17671,35
21.40424,-158.17677,35
21.40461,-158.17686,35
21.40487,-158.17696,35
21.40512,-158.17703,35
21.40525,-158.17704,35
21.40539,-158.17705,35
21.4057,-158.17713,35
21.40592,-158.1772,35
21.40644,-158.1773,35
21.40645,-158.1773,35
21.4067,-158.17732,35
21.40711,-158.17734,35
21.40718,-158.17734,35
21.40751,-158.17734,35
21.40801,-158.17728,35
21.40829,-158.17723,35
21.40842,-158.17719,35
21.4085,-158.17716,35
21.40882,-158.17712,35
21.40921,-158.17704,35
21.41015,-158.17687,35
21.41052,-158.1768,35
21.41162,-158.1766,35
21.41217,-158.17654,35
21.41282,-158.17651,35
21.4131,-158.17652,35
21.41387,-158.1766,35
21.41532,-158.17684,35
21.4154,-158.17684,35
21.41555,-158.17685,35
21.41609,-158.17695,35
21.41673,-158.17705,35
21.41738,-158.17716,35
21.41805,-158.17727,35
21.4187,-158.17736,35
21.41935,-158.17747,35
21.42,-158.17757,35
21.42066,-158.17767,35
21.42131,-158.17778,35
21.42196,-158.17788,35
21.42262,-158.17798,35
21.42327,-158.17809,35
21.42383,-158.17819,35
21.42393,-158.1782,35
21.42407,-158.17821,35
21.42458,-158.17829,35
21.42523,-158.1784,35
21.42588,-158.1785,35
21.42653,-158.1786,35
21.42692,-158.17868,35
21.42719,-158.17874,35
21.42747,-158.17885,35
21.42778,-158.179,35
21.42796,-158.1791,35
21.4282,-158.17928,35
21.42843,-158.17946,35
21.42881,-158.17984,35
21.42898,-158.18007,35
21.42917,-158.18033,35
21.4296,-158.18113,35
21.42995,-158.18177,35
21.43014,-158.18205,35
21.43034,-158.18231,35
21.43062,-158.18258,35
21.43082,-158.18274,35
21.4311,-158.18294,35
21.43134,-158.18307,35
21.43212,-158.18348,35
21.43254,-158.18367,35
21.43335,-158.18408,35
21.43394,-158.18431,35
21.43449,-158.18449,35
21.43475,-158.18458,35
21.43518,-158.18471,35
21.43609,-158.185,35
21.43721,-158.18537,35
21.4378,-158.18556,35
21.43933,-158.18604,35
21.4399,-158.18622,35
21.44021,-158.18632,35
21.4416,-158.18674,35
21.44271,-158.1871,35
21.44426,-158.1876,35
21.44509,-158.1879,35
21.4457,-158.18815,35
21.44591,-158.18825,35
21.4469,-158.18872,35
21.44744,-158.18903,35
21.44788,-158.18929,35
21.44817,-158.18949,35
21.44853,-158.18978,35
21.44901,-158.19017,35
21.44918,-158.19033,35
21.44976,-158.19095,35
21.44993,-158.19116,35
21.45069,-158.19221,35
21.45082,-158.19239,35
21.45101,-158.19266,35
21.45251,-158.19471,35
21.45302,-158.1954,35
21.45424,-158.19708,35
21.4548,-158.19786,35
21.45509,-158.19828,35
21.45543,-158.19803,35
21.45577,-158.19782,35
21.45606,-158.19774,35
21.45665,-158.19773,35
21.45693,-158.19778,35
21.45757,-158.19795,35
21.45792,-158.19802,35
21.45802,-158.19808,35
21.45811,-158.19815,35
21.45841,-158.19852,35
21.4605,-158.20118,35
21.46042,-158.20132,35
