Team,EngInsp,IndDsgn,Quality,Creativity,EngExlnce,Auton
frc246,2,0,1,3,1,0
frc247,2,0,1,2,1,0
frc248,0,0,0,0,0,0
frc249,0,0,0,0,0,0
frc250,2,1,0,2,0,0
frc252,0,0,0,0,0,0
frc253,0,0,0,0,0,0
frc254,1,9,12,0,1,1
frc255,0,0,0,0,0,0
frc256,0,0,0,0,0,0
frc257,0,0,0,0,0,0
frc258,0,0,0,0,0,0
frc259,0,0,0,0,0,0
frc260,0,0,0,0,0,0
frc261,0,0,0,0,0,0
frc263,0,1,1,1,1,0
frc264,0,0,0,0,0,0
frc265,0,0,0,0,0,0
frc266,0,0,0,0,0,0
frc267,0,1,1,1,0,0
frc268,0,0,0,0,0,0
frc269,0,0,0,2,0,0
frc270,0,0,0,0,0,0
frc271,0,2,4,2,2,0
frc272,2,2,2,2,1,0
frc274,0,0,0,0,0,0
frc276,0,0,0,0,0,0
frc277,0,0,0,0,0,0
frc278,0,0,0,0,0,0
frc279,0,2,0,2,0,0
frc280,0,0,2,1,0,0
frc281,2,0,2,2,0,1
frc282,0,0,0,0,0,0
frc283,0,0,0,1,1,0
frc284,0,0,0,1,0,0
frc287,0,1,1,1,1,0
frc288,2,1,1,1,0,0
frc290,0,0,0,0,0,0
frc291,0,1,4,0,0,0
frc292,0,0,1,1,0,0
frc293,0,4,3,7,4,0
frc294,2,4,2,3,0,0
frc295,0,1,0,0,1,0
frc296,1,0,0,1,0,0
frc297,0,0,0,0,0,0
frc298,0,0,0,0,0,0
frc299,0,0,0,0,0,0
frc300,1,0,0,0,0,0
frc301,0,0,0,1,0,0
frc302,2,2,2,1,2,0
frc303,1,4,4,2,1,1
frc304,0,0,0,0,0,0
frc306,0,0,0,0,0,0
frc308,0,1,3,2,1,0
frc309,0,0,0,1,0,0
frc311,1,0,0,1,0,0
frc312,0,0,1,1,0,0
frc313,0,0,0,0,0,0
frc314,1,1,3,0,2,0
frc315,0,0,0,0,0,0
frc316,0,2,3,1,0,0
frc317,0,0,0,1,0,0
frc319,1,1,1,2,0,0
frc321,4,0,0,1,0,0
frc322,0,1,2,0,0,0
frc323,0,2,0,0,0,0
frc326,0,0,0,3,0,0
frc329,5,0,1,2,2,0
frc330,0,13,3,4,5,1
frc331,0,0,0,0,0,0
frc333,0,0,0,1,2,0
frc334,3,2,0,2,0,0
frc335,0,1,0,0,0,0
frc337,7,0,1,1,1,0
frc338,0,0,0,0,0,0
frc339,2,3,2,2,1,0
frc340,3,1,2,1,3,0
frc341,5,4,0,0,1,0
frc342,3,2,1,0,0,0
frc343,2,5,1,5,0,0
frc345,0,0,0,0,0,0
frc346,1,1,2,1,4,1
frc348,0,0,2,0,1,0
frc349,0,0,0,0,0,0
frc350,0,0,0,0,0,0
frc351,0,0,0,0,0,0
frc352,0,0,0,0,0,0
frc353,1,0,2,1,0,0
frc354,0,1,2,1,0,0
frc356,0,0,0,1,0,0
frc357,4,1,1,3,1,0
frc358,0,1,1,1,2,0
frc359,1,3,9,0,5,0
frc360,0,1,3,2,0,0
frc361,0,0,0,0,0,0
frc362,1,0,0,0,0,0
frc364,1,0,3,0,1,0
frc365,3,0,5,2,1,0
frc367,0,0,0,0,0,0
frc368,0,3,1,0,1,0
frc369,0,2,0,0,0,0
frc371,0,0,0,0,0,0
frc372,0,0,0,1,0,0
frc373,0,0,0,0,0,0
frc374,2,0,0,0,0,0
frc375,1,1,1,3,0,0
frc376,0,0,0,0,0,0
frc378,0,1,1,1,0,0
frc379,6,1,2,0,1,0
frc380,0,0,0,0,0,0
frc381,0,0,0,1,0,0
frc382,0,0,0,0,0,0
frc383,0,3,1,0,2,0
frc384,2,5,2,1,2,0
frc386,0,0,0,2,2,0
frc388,1,0,0,0,0,0
frc391,0,0,0,0,0,0
frc393,0,1,0,1,0,0
frc394,0,0,0,0,0,0
frc395,2,1,0,2,0,0
frc397,0,0,0,0,0,0
frc398,0,0,0,0,0,0
frc399,4,3,2,2,4,0
frc400,0,0,0,0,0,0
frc401,2,0,3,0,0,0
frc402,0,0,0,0,0,0
frc404,0,0,0,0,0,0
frc405,0,0,0,1,0,0
frc406,0,0,0,0,0,0
frc407,0,0,0,0,0,0
frc408,0,0,0,0,0,0
frc409,0,0,0,0,0,0
frc410,0,0,0,0,0,0
frc411,0,0,0,0,0,0
frc413,0,0,0,0,0,0
frc414,0,0,0,0,0,0
frc415,0,0,0,1,0,0
frc416,0,0,0,0,0,0
frc417,0,1,1,0,0,0
frc418,4,0,0,2,1,0
frc419,0,0,0,0,0,0
frc420,0,0,0,0,0,0
frc421,0,0,0,0,0,0
frc422,2,2,1,0,0,0
frc423,0,0,0,0,0,0
frc424,0,0,0,0,0,0
frc425,0,0,1,0,0,0
frc433,6,0,1,2,1,0
frc434,0,0,0,0,0,0
frc435,0,1,1,3,1,0
frc437,0,0,0,1,0,0
frc438,0,0,0,0,0,0
frc440,2,0,0,0,0,0
frc441,0,0,0,0,0,0
frc442,0,1,0,0,0,0
frc443,0,0,0,0,0,0
frc444,0,0,0,0,0,0
frc446,0,0,1,0,0,0
frc447,1,0,0,5,1,0
frc448,0,0,0,0,0,0
frc449,1,0,0,1,1,0
frc451,0,1,0,1,0,0
frc453,0,0,0,0,0,0
frc456,0,3,4,3,2,0
frc457,0,0,0,0,0,0
frc459,0,0,0,0,0,0
frc460,0,0,0,0,0,0
frc461,6,0,0,2,1,0
frc462,0,0,0,0,0,0
frc463,0,0,0,0,0,0
frc464,0,0,0,0,0,0
frc465,0,0,0,0,0,0
frc466,0,0,0,0,0,0
frc467,3,1,0,3,0,0
frc468,0,0,0,0,0,0
frc469,0,5,3,4,7,0
frc470,3,0,0,1,0,0
frc471,0,0,0,0,0,0
frc473,0,1,1,1,0,0
frc475,0,0,0,0,0,0
frc476,1,1,1,1,1,0
frc478,0,0,0,0,0,0
frc480,0,0,0,0,0,0
frc481,3,0,0,0,0,0
frc484,0,2,1,1,0,0
frc486,0,3,0,0,0,0
frc487,0,0,0,0,0,0
frc488,3,3,0,0,2,0
frc491,0,0,0,0,0,0
frc492,1,2,0,1,0,0
frc493,0,0,0,0,0,0
frc494,1,3,7,2,1,0
frc495,0,0,0,0,0,0
