6806,14
50.85,2.36,1538840624.4
50.89,2.41,1538840624.5
50.93,2.45,1538840624.6
50.94,2.49,1538840624.7
50.99,2.57,1538840624.8
51.05,2.73,1538840624.9
51.15,2.91,1538840625.0
51.21,3.00,1538840625.1
51.25,3.01,1538840625.2
51.31,3.01,1538840625.3
51.36,3.05,1538840625.4
51.40,3.04,1538840625.5
51.39,3.04,1538840625.6
51.34,3.02,1538840625.7
51.32,3.02,1538840625.8
51.29,3.02,1538840625.9
51.28,3.03,1538840626.0
51.31,3.05,1538840626.1
51.36,3.05,1538840626.2
51.42,3.05,1538840626.3
51.43,3.02,1538840626.4
51.37,2.93,1538840626.5
51.21,2.76,1538840626.6
51.08,2.77,1538840626.7
50.94,2.77,1538840626.8
50.80,2.79,1538840626.9
50.66,2.81,1538840627.0
50.53,2.93,1538840627.1
50.39,3.16,1538840627.2
50.12,3.23,1538840627.3
49.78,3.29,1538840627.4
49.42,3.37,1538840627.5
49.02,3.50,1538840627.6
48.59,3.61,1538840627.7
48.17,3.66,1538840627.8
47.77,3.68,1538840627.9
47.37,3.77,1538840628.0
46.97,3.88,1538840628.1
46.55,3.97,1538840628.2
46.13,4.03,1538840628.3
45.74,4.06,1538840628.4
45.30,4.12,1538840628.5
44.89,4.14,1538840628.6
44.45,4.10,1538840628.7
44.04,4.05,1538840628.8
43.64,4.03,1538840628.9
43.24,4.04,1538840629.0
42.80,4.08,1538840629.1
42.36,4.18,1538840629.2
41.87,4.28,1538840629.3
41.40,4.36,1538840629.4
40.91,4.47,1538840629.5
40.44,4.56,1538840629.6
40.09,4.63,1538840629.7
39.79,4.66,1538840629.8
39.55,4.79,1538840629.9
39.37,4.93,1538840630.0
39.28,5.05,1538840630.1
39.23,5.20,1538840630.2
39.25,5.38,1538840630.3
39.27,5.52,1538840630.4
39.31,5.56,1538840630.5
39.33,5.63,1538840630.6
39.37,5.71,1538840630.7
39.39,5.76,1538840630.8
39.32,5.77,1538840630.9
39.32,5.83,1538840631.0
39.40,5.93,1538840631.1
39.47,6.01,1538840631.2
39.53,6.05,1538840631.3
39.58,6.06,1538840631.4
39.66,6.12,1538840631.5
39.67,6.16,1538840631.6
39.63,6.20,1538840631.7
39.58,6.22,1538840631.8
39.54,6.23,1538840631.9
39.50,6.25,1538840632.0
39.49,6.24,1538840632.1
39.49,6.20,1538840632.2
39.50,6.14,1538840632.3
39.52,6.12,1538840632.4
39.51,6.14,1538840632.5
39.52,6.16,1538840632.6
39.54,6.15,1538840632.7
39.54,6.16,1538840632.8
39.54,6.17,1538840632.9
39.55,6.17,1538840633.0
39.59,6.15,1538840633.1
39.62,6.12,1538840633.2
39.63,6.14,1538840633.3
39.62,6.14,1538840633.4
39.64,6.14,1538840633.5
39.65,6.14,1538840633.6
39.60,6.16,1538840633.7
39.57,6.16,1538840633.8
39.57,6.15,1538840633.9
