527,14
-0.94,23.74,1538840624.3
-0.90,23.72,1538840624.4
-0.92,23.78,1538840624.5
-0.89,23.78,1538840624.6
-0.85,23.78,1538840624.7
-0.81,23.81,1538840624.8
-0.81,23.81,1538840624.9
-0.81,23.78,1538840625.0
-0.79,23.78,1538840625.1
-0.80,23.79,1538840625.2
-0.82,23.76,1538840625.3
-0.84,23.70,1538840625.4
-0.79,23.69,1538840625.5
-0.73,23.69,1538840625.6
-0.68,23.71,1538840625.7
-0.63,23.74,1538840625.8
-0.65,23.80,1538840625.9
-0.65,23.86,1538840626.0
-0.69,23.90,1538840626.1
-0.73,23.89,1538840626.2
-0.79,23.87,1538840626.3
-0.86,23.86,1538840626.4
-0.89,23.86,1538840626.5
-0.94,23.85,1538840626.6
-0.96,23.83,1538840626.7
-1.01,23.84,1538840626.8
-1.03,23.84,1538840626.9
-1.06,23.83,1538840627.0
-1.05,23.81,1538840627.1
-1.04,23.78,1538840627.2
-1.04,23.77,1538840627.3
-1.05,23.75,1538840627.4
-1.06,23.73,1538840627.5
-1.05,23.72,1538840627.6
-0.99,23.72,1538840627.7
-0.98,23.69,1538840627.8
-0.96,23.68,1538840627.9
-0.96,23.66,1538840628.0
-0.95,23.64,1538840628.1
-0.93,23.63,1538840628.2
-0.98,23.61,1538840628.3
-1.00,23.58,1538840628.4
-1.04,23.57,1538840628.5
-1.03,23.58,1538840628.6
-1.02,23.57,1538840628.7
-1.01,23.59,1538840628.8
-1.02,23.62,1538840628.9
-1.01,23.69,1538840629.0
-0.99,23.73,1538840629.1
-1.02,23.75,1538840629.2
-1.05,23.78,1538840629.3
-1.11,23.80,1538840629.4
-1.11,23.83,1538840629.5
-1.10,23.85,1538840629.6
-1.07,23.89,1538840629.7
-1.02,23.91,1538840629.8
-0.99,23.91,1538840629.9
-0.97,23.90,1538840630.0
-0.93,23.87,1538840630.1
-0.91,23.82,1538840630.2
-0.93,23.77,1538840630.3
-0.90,23.69,1538840630.4
-0.85,23.64,1538840630.5
-0.79,23.59,1538840630.6
-0.76,23.55,1538840630.7
-0.74,23.56,1538840630.8
-0.70,23.60,1538840630.9
-0.68,23.69,1538840631.0
-0.68,23.76,1538840631.1
-0.69,23.83,1538840631.2
-0.71,23.82,1538840631.3
-0.71,23.81,1538840631.4
-0.68,23.82,1538840631.5
-0.69,23.84,1538840631.6
-0.68,23.90,1538840631.7
-0.59,23.91,1538840631.8
-0.44,23.99,1538840631.9
-0.29,24.08,1538840632.0
-0.16,24.16,1538840632.1
0.03,24.17,1538840632.2
0.26,24.14,1538840632.3
0.48,24.15,1538840632.4
0.71,24.14,1538840632.5
0.97,24.08,1538840632.6
1.28,23.96,1538840632.7
1.61,23.85,1538840632.8
1.95,23.74,1538840632.9
2.29,23.66,1538840633.0
2.63,23.63,1538840633.1
2.97,23.64,1538840633.2
3.28,23.68,1538840633.3
3.61,23.72,1538840633.4
3.94,23.77,1538840633.5
4.25,23.81,1538840633.6
4.55,23.83,1538840633.7
4.85,23.82,1538840633.8
5.20,23.81,1538840633.9
5.52,23.84,1538840634.0
5.81,23.86,1538840634.1
6.12,23.84,1538840634.2
6.42,23.82,1538840634.3
6.72,23.81,1538840634.4
7.02,23.80,1538840634.5
7.32,23.85,1538840634.6
7.59,23.97,1538840634.7
7.87,24.04,1538840634.8
8.17,24.12,1538840634.9
8.55,24.12,1538840635.0
8.88,24.23,1538840635.1
9.23,24.30,1538840635.2
9.63,24.31,1538840635.3
10.03,24.43,1538840635.4
10.44,24.53,1538840635.5
10.73,24.68,1538840635.6
11.02,24.75,1538840635.7
11.28,24.79,1538840635.8
11.51,24.75,1538840635.9
11.66,24.67,1538840636.0
11.79,24.52,1538840636.1
11.87,24.34,1538840636.2
11.92,24.12,1538840636.3
12.00,23.94,1538840636.4
12.09,23.83,1538840636.5
12.18,23.76,1538840636.6
12.26,23.74,1538840636.7
12.40,23.77,1538840636.8
12.55,23.81,1538840636.9
12.65,23.82,1538840637.0
12.74,23.80,1538840637.1
12.80,23.76,1538840637.2
12.84,23.73,1538840637.3
12.80,23.68,1538840637.4
12.77,23.63,1538840637.5
12.74,23.58,1538840637.6
12.71,23.56,1538840637.7
12.62,23.53,1538840637.8
12.56,23.50,1538840637.9
12.54,23.48,1538840638.0
12.54,23.50,1538840638.1
12.53,23.51,1538840638.2
12.52,23.50,1538840638.3
12.55,23.52,1538840638.4
12.59,23.56,1538840638.5
12.60,23.58,1538840638.6
12.60,23.57,1538840638.7
12.57,23.58,1538840638.8
12.55,23.61,1538840638.9
12.55,23.65,1538840639.0
12.58,23.66,1538840639.1
12.57,23.66,1538840639.2
12.53,23.64,1538840639.3
12.50,23.62,1538840639.4
12.43,23.61,1538840639.5
12.33,23.64,1538840639.6
12.24,23.70,1538840639.7
12.20,23.77,1538840639.8
12.21,23.79,1538840639.9
12.29,23.89,1538840640.0
12.37,23.96,1538840640.1
12.48,24.00,1538840640.2
12.54,24.02,1538840640.3
12.59,24.02,1538840640.4
12.58,24.06,1538840640.5
12.51,24.02,1538840640.6
12.46,23.97,1538840640.7
12.42,23.97,1538840640.8
12.42,23.85,1538840640.9
12.46,23.68,1538840641.0
12.51,23.56,1538840641.1
12.56,23.51,1538840641.2
12.63,23.50,1538840641.3
12.68,23.46,1538840641.4
12.66,23.53,1538840641.5
12.58,23.66,1538840641.6
12.50,23.77,1538840641.7
12.43,23.85,1538840641.8
12.36,23.89,1538840641.9
12.32,23.92,1538840642.0
12.32,23.95,1538840642.1
12.36,24.00,1538840642.2
12.41,24.06,1538840642.3
12.46,24.09,1538840642.4
12.49,24.03,1538840642.5
12.50,24.00,1538840642.6
12.50,24.00,1538840642.7
12.53,23.97,1538840642.8
12.54,23.94,1538840642.9
12.51,23.91,1538840643.0
12.51,23.99,1538840643.1
12.49,24.04,1538840643.2
12.47,24.07,1538840643.3
12.45,24.07,1538840643.4
12.44,24.08,1538840643.5
12.44,24.10,1538840643.6
12.44,24.09,1538840643.7
12.43,24.09,1538840643.8
12.44,24.10,1538840643.9
12.42,24.14,1538840644.0
12.41,24.15,1538840644.1
12.43,24.16,1538840644.2
12.43,24.18,1538840644.3
12.45,24.21,1538840644.4
12.46,24.19,1538840644.5
12.46,24.14,1538840644.6
12.45,24.15,1538840644.7
12.45,24.12,1538840644.8
12.45,24.09,1538840644.9
12.42,24.03,1538840645.0
12.45,24.03,1538840645.1
12.51,24.06,1538840645.2
12.56,24.04,1538840645.3
12.57,24.07,1538840645.4
12.60,24.07,1538840645.5
12.63,24.04,1538840645.6
12.56,24.01,1538840645.7
12.47,23.98,1538840645.8
12.40,23.94,1538840645.9
12.36,23.90,1538840646.0
12.34,23.93,1538840646.1
12.32,23.98,1538840646.2
12.36,24.01,1538840646.3
12.39,24.03,1538840646.4
12.42,24.10,1538840646.5
12.44,24.15,1538840646.6
12.44,24.09,1538840646.7
12.43,24.06,1538840646.8
12.45,24.07,1538840646.9
12.43,24.06,1538840647.0
12.37,24.00,1538840647.1
12.28,23.98,1538840647.2
12.15,24.02,1538840647.3
11.98,24.05,1538840647.4
11.72,24.03,1538840647.5
11.39,24.02,1538840647.6
11.08,24.08,1538840647.7
10.74,24.10,1538840647.8
10.44,24.10,1538840647.9
10.22,24.09,1538840648.0
10.08,24.10,1538840648.1
10.11,24.09,1538840648.2
10.19,23.97,1538840648.3
10.37,23.90,1538840648.4
10.63,23.89,1538840648.5
10.92,23.91,1538840648.6
11.29,23.91,1538840648.7
11.72,23.96,1538840648.8
12.22,24.07,1538840648.9
12.78,24.16,1538840649.0
13.40,24.17,1538840649.1
14.09,24.10,1538840649.2
14.81,24.00,1538840649.3
15.58,23.89,1538840649.4
16.38,23.74,1538840649.5
17.25,23.54,1538840649.6
18.20,23.31,1538840649.7
19.09,23.20,1538840649.8
19.95,23.16,1538840649.9
20.76,23.18,1538840650.0
21.47,23.33,1538840650.1
22.02,23.59,1538840650.2
22.44,23.99,1538840650.3
22.93,24.39,1538840650.4
23.31,24.72,1538840650.5
23.60,24.97,1538840650.6
23.80,25.08,1538840650.7
23.95,25.04,1538840650.8
24.00,24.88,1538840650.9
23.93,24.66,1538840651.0
23.86,24.41,1538840651.1
23.78,24.11,1538840651.2
23.72,23.88,1538840651.3
23.68,23.70,1538840651.4
23.63,23.54,1538840651.5
23.59,23.40,1538840651.6
23.59,23.36,1538840651.7
23.55,23.37,1538840651.8
23.46,23.44,1538840651.9
23.34,23.61,1538840652.0
23.19,23.88,1538840652.1
23.01,24.20,1538840652.2
22.64,24.47,1538840652.3
22.30,24.76,1538840652.4
22.01,25.03,1538840652.5
21.72,25.21,1538840652.6
21.39,25.30,1538840652.7
21.01,25.36,1538840652.8
20.75,25.48,1538840652.9
20.41,25.61,1538840653.0
20.00,25.69,1538840653.1
19.51,25.81,1538840653.2
19.01,25.98,1538840653.3
18.52,26.15,1538840653.4
18.05,26.29,1538840653.5
17.59,26.34,1538840653.6
17.17,26.38,1538840653.7
16.85,26.33,1538840653.8
16.70,26.28,1538840653.9
16.71,26.21,1538840654.0
16.82,26.19,1538840654.1
17.03,26.33,1538840654.2
17.34,26.61,1538840654.3
17.77,26.63,1538840654.4
18.14,26.60,1538840654.5
18.46,26.58,1538840654.6
18.77,26.50,1538840654.7
19.04,26.30,1538840654.8
19.27,25.96,1538840654.9
19.41,25.92,1538840655.0
19.52,25.87,1538840655.1
19.52,25.86,1538840655.2
19.44,25.89,1538840655.3
19.30,25.92,1538840655.4
19.10,25.99,1538840655.5
18.84,26.08,1538840655.6
18.52,26.18,1538840655.7
18.20,26.22,1538840655.8
17.85,26.22,1538840655.9
17.50,26.31,1538840656.0
17.17,26.42,1538840656.1
16.93,26.54,1538840656.2
16.85,26.68,1538840656.3
16.83,26.84,1538840656.4
16.88,27.01,1538840656.5
17.00,27.08,1538840656.6
17.16,27.06,1538840656.7
17.24,26.95,1538840656.8
17.24,26.76,1538840656.9
17.26,26.46,1538840657.0
17.27,26.13,1538840657.1
17.23,25.78,1538840657.2
17.20,25.48,1538840657.3
17.21,25.21,1538840657.4
17.24,24.96,1538840657.5
17.23,24.77,1538840657.6
17.26,24.58,1538840657.7
17.28,24.40,1538840657.8
17.33,24.15,1538840657.9
17.38,23.91,1538840658.0
17.41,23.72,1538840658.1
17.46,23.59,1538840658.2
17.47,23.55,1538840658.3
17.55,23.60,1538840658.4
17.61,23.79,1538840658.5
17.68,24.06,1538840658.6
17.80,24.31,1538840658.7
17.94,24.55,1538840658.8
18.02,24.85,1538840658.9
18.07,25.02,1538840659.0
18.14,25.04,1538840659.1
18.15,25.06,1538840659.2
18.07,25.12,1538840659.3
17.89,25.20,1538840659.4
17.80,25.21,1538840659.5
17.63,25.34,1538840659.6
17.37,25.53,1538840659.7
17.13,25.66,1538840659.8
16.88,25.73,1538840659.9
16.67,25.77,1538840660.0
16.42,25.84,1538840660.1
16.19,25.87,1538840660.2
16.02,25.90,1538840660.3
15.84,25.90,1538840660.4
15.65,25.95,1538840660.5
15.47,26.01,1538840660.6
15.21,26.03,1538840660.7
14.95,26.07,1538840660.8
14.59,26.11,1538840660.9
14.14,26.27,1538840661.0
13.72,26.43,1538840661.1
13.27,26.58,1538840661.2
12.84,26.70,1538840661.3
12.38,26.77,1538840661.4
12.02,26.85,1538840661.5
11.70,26.86,1538840661.6
11.37,26.83,1538840661.7
11.02,26.85,1538840661.8
10.65,26.89,1538840661.9
10.31,26.92,1538840662.0
9.98,26.96,1538840662.1
9.68,26.97,1538840662.2
9.41,26.87,1538840662.3
9.15,26.71,1538840662.4
8.96,26.54,1538840662.5
8.76,26.35,1538840662.6
8.55,26.15,1538840662.7
8.30,25.97,1538840662.8
7.99,25.90,1538840662.9
7.75,25.77,1538840663.0
7.55,25.59,1538840663.1
7.39,25.37,1538840663.2
7.24,25.19,1538840663.3
7.13,24.97,1538840663.4
7.07,24.75,1538840663.5
6.94,24.55,1538840663.6
6.77,24.42,1538840663.7
6.60,24.30,1538840663.8
6.49,24.09,1538840663.9
6.36,23.91,1538840664.0
6.26,23.71,1538840664.1
6.19,23.46,1538840664.2
6.14,23.20,1538840664.3
6.09,22.92,1538840664.4
5.95,22.69,1538840664.5
5.75,22.45,1538840664.6
5.45,22.25,1538840664.7
5.04,22.11,1538840664.8
4.51,21.93,1538840664.9
3.87,21.72,1538840665.0
3.23,21.47,1538840665.1
2.69,21.23,1538840665.2
2.28,21.02,1538840665.3
2.03,20.81,1538840665.4
