6806,2
51.03,17.33,1538832742.4
51.03,17.30,1538832742.5
51.04,17.29,1538832742.6
51.07,17.29,1538832742.7
51.08,17.29,1538832742.8
51.15,17.31,1538832742.9
51.23,17.31,1538832743.0
51.27,17.31,1538832743.1
51.31,17.32,1538832743.2
51.33,17.32,1538832743.3
51.36,17.33,1538832743.4
51.38,17.33,1538832743.5
51.38,17.37,1538832743.6
51.38,17.38,1538832743.7
51.39,17.40,1538832743.8
51.38,17.42,1538832743.9
51.37,17.42,1538832744.0
51.37,17.41,1538832744.1
51.36,17.38,1538832744.2
51.33,17.36,1538832744.3
51.29,17.33,1538832744.4
51.27,17.30,1538832744.5
51.28,17.26,1538832744.6
51.29,17.24,1538832744.7
51.27,17.23,1538832744.8
51.29,17.22,1538832744.9
51.33,17.24,1538832745.0
51.36,17.26,1538832745.1
51.34,17.26,1538832745.2
51.34,17.26,1538832745.3
51.37,17.24,1538832745.4
51.37,17.22,1538832745.5
51.34,17.18,1538832745.6
51.33,17.15,1538832745.7
51.30,17.18,1538832745.8
51.31,17.21,1538832745.9
51.32,17.24,1538832746.0
51.31,17.28,1538832746.1
51.36,17.32,1538832746.2
51.39,17.33,1538832746.3
51.46,17.31,1538832746.4
51.45,17.31,1538832746.5
51.44,17.36,1538832746.6
51.45,17.37,1538832746.7
51.41,17.39,1538832746.8
51.41,17.39,1538832746.9
51.38,17.40,1538832747.0
51.33,17.40,1538832747.1
51.27,17.36,1538832747.2
51.24,17.25,1538832747.3
51.14,17.11,1538832747.4
51.02,17.08,1538832747.5
50.82,17.07,1538832747.6
50.60,17.10,1538832747.7
50.35,17.18,1538832747.8
50.09,17.30,1538832747.9
49.88,17.46,1538832748.0
49.64,17.52,1538832748.1
49.38,17.60,1538832748.2
49.12,17.67,1538832748.3
48.87,17.72,1538832748.4
48.54,17.73,1538832748.5
48.19,17.73,1538832748.6
47.81,17.76,1538832748.7
47.52,17.79,1538832748.8
47.27,17.80,1538832748.9
47.00,17.82,1538832749.0
46.74,17.87,1538832749.1
46.55,17.98,1538832749.2
46.40,18.12,1538832749.3
46.20,18.20,1538832749.4
45.94,18.24,1538832749.5
45.66,18.29,1538832749.6
45.44,18.44,1538832749.7
45.20,18.56,1538832749.8
44.95,18.60,1538832749.9
44.72,18.67,1538832750.0
44.53,18.73,1538832750.1
44.39,18.75,1538832750.2
44.23,18.74,1538832750.3
44.01,18.68,1538832750.4
43.86,18.67,1538832750.5
43.76,18.66,1538832750.6
43.68,18.64,1538832750.7
43.62,18.62,1538832750.8
43.65,18.60,1538832750.9
43.71,18.60,1538832751.0
43.71,18.59,1538832751.1
43.73,18.59,1538832751.2
43.79,18.61,1538832751.3
43.85,18.62,1538832751.4
43.82,18.64,1538832751.5
43.77,18.65,1538832751.6
43.76,18.67,1538832751.7
43.74,18.68,1538832751.8
