263,2
-0.79,13.48,1538832742.2
-0.82,13.45,1538832742.3
-0.83,13.43,1538832742.4
-0.80,13.42,1538832742.5
-0.76,13.40,1538832742.6
-0.77,13.43,1538832742.7
-0.74,13.48,1538832742.8
-0.70,13.50,1538832742.9
-0.68,13.47,1538832743.0
-0.66,13.45,1538832743.1
-0.66,13.42,1538832743.2
-0.63,13.35,1538832743.3
-0.64,13.30,1538832743.4
-0.66,13.27,1538832743.5
-0.69,13.26,1538832743.6
-0.75,13.26,1538832743.7
-0.79,13.29,1538832743.8
-0.82,13.30,1538832743.9
-0.78,13.28,1538832744.0
-0.76,13.27,1538832744.1
-0.76,13.26,1538832744.2
-0.72,13.24,1538832744.3
-0.68,13.23,1538832744.4
-0.64,13.26,1538832744.5
-0.66,13.29,1538832744.6
-0.65,13.31,1538832744.7
-0.59,13.33,1538832744.8
-0.59,13.38,1538832744.9
-0.61,13.41,1538832745.0
-0.64,13.45,1538832745.1
-0.69,13.48,1538832745.2
-0.73,13.46,1538832745.3
-0.77,13.44,1538832745.4
-0.80,13.40,1538832745.5
-0.82,13.36,1538832745.6
-0.81,13.32,1538832745.7
-0.82,13.32,1538832745.8
-0.81,13.38,1538832745.9
-0.83,13.41,1538832746.0
-0.83,13.40,1538832746.1
-0.79,13.38,1538832746.2
-0.82,13.38,1538832746.3
-0.81,13.36,1538832746.4
-0.84,13.31,1538832746.5
-0.84,13.28,1538832746.6
-0.81,13.28,1538832746.7
-0.79,13.30,1538832746.8
-0.77,13.32,1538832746.9
-0.75,13.28,1538832747.0
-0.70,13.24,1538832747.1
-0.72,13.27,1538832747.2
-0.80,13.33,1538832747.3
-0.82,13.36,1538832747.4
-0.84,13.34,1538832747.5
-0.78,13.42,1538832747.6
-0.65,13.45,1538832747.7
-0.43,13.41,1538832747.8
-0.11,13.33,1538832747.9
0.25,13.27,1538832748.0
0.67,13.23,1538832748.1
1.01,13.13,1538832748.2
1.23,13.03,1538832748.3
1.56,12.96,1538832748.4
1.88,12.93,1538832748.5
2.09,12.91,1538832748.6
2.25,12.85,1538832748.7
2.39,12.76,1538832748.8
2.60,12.70,1538832748.9
2.63,12.67,1538832749.0
2.60,12.62,1538832749.1
2.61,12.58,1538832749.2
2.67,12.59,1538832749.3
2.79,12.63,1538832749.4
2.94,12.71,1538832749.5
3.06,12.73,1538832749.6
