3950,2
52.86,23.70,1538832763.7
52.87,23.71,1538832763.8
52.88,23.73,1538832763.9
52.89,23.73,1538832764.0
52.88,23.71,1538832764.1
52.87,23.72,1538832764.2
52.88,23.75,1538832764.3
52.91,23.75,1538832764.4
52.91,23.73,1538832764.5
52.91,23.74,1538832764.6
52.92,23.73,1538832764.7
52.94,23.74,1538832764.8
52.92,23.73,1538832764.9
52.87,23.75,1538832765.0
52.86,23.76,1538832765.1
52.86,23.72,1538832765.2
52.84,23.66,1538832765.3
52.84,23.61,1538832765.4
52.84,23.60,1538832765.5
52.83,23.60,1538832765.6
52.81,23.61,1538832765.7
52.80,23.67,1538832765.8
52.78,23.69,1538832765.9
52.76,23.69,1538832766.0
52.73,23.64,1538832766.1
52.74,23.60,1538832766.2
52.79,23.57,1538832766.3
52.82,23.56,1538832766.4
52.87,23.57,1538832766.5
52.90,23.57,1538832766.6
52.96,23.55,1538832766.7
52.98,23.52,1538832766.8
52.94,23.50,1538832766.9
52.94,23.47,1538832767.0
52.90,23.44,1538832767.1
52.86,23.44,1538832767.2
52.85,23.46,1538832767.3
52.87,23.48,1538832767.4
52.91,23.51,1538832767.5
52.92,23.53,1538832767.6
52.95,23.58,1538832767.7
52.98,23.60,1538832767.8
53.00,23.59,1538832767.9
52.96,23.57,1538832768.0
52.93,23.53,1538832768.1
52.90,23.51,1538832768.2
52.89,23.48,1538832768.3
52.90,23.46,1538832768.4
52.89,23.47,1538832768.5
52.89,23.50,1538832768.6
52.89,23.52,1538832768.7
52.91,23.52,1538832768.8
52.92,23.50,1538832768.9
52.92,23.48,1538832769.0
52.91,23.45,1538832769.1
52.86,23.42,1538832769.2
52.86,23.48,1538832769.3
52.83,23.53,1538832769.4
52.78,23.60,1538832769.5
52.75,23.67,1538832769.6
52.76,23.68,1538832769.7
52.79,23.70,1538832769.8
52.78,23.69,1538832769.9
52.78,23.65,1538832770.0
52.80,23.61,1538832770.1
52.81,23.59,1538832770.2
52.77,23.62,1538832770.3
52.76,23.61,1538832770.4
52.77,23.59,1538832770.5
52.81,23.58,1538832770.6
52.83,23.52,1538832770.7
52.86,23.45,1538832770.8
52.92,23.34,1538832770.9
52.96,23.30,1538832771.0
52.95,23.27,1538832771.1
52.89,23.29,1538832771.2
52.84,23.38,1538832771.3
52.81,23.48,1538832771.4
52.81,23.56,1538832771.5
52.81,23.59,1538832771.6
52.84,23.60,1538832771.7
52.90,23.58,1538832771.8
52.93,23.57,1538832771.9
52.95,23.58,1538832772.0
52.96,23.58,1538832772.1
52.95,23.60,1538832772.2
52.95,23.59,1538832772.3
52.93,23.59,1538832772.4
52.92,23.55,1538832772.5
52.91,23.49,1538832772.6
52.90,23.47,1538832772.7
52.90,23.46,1538832772.8
52.90,23.46,1538832772.9
52.92,23.42,1538832773.0
52.92,23.42,1538832773.1
52.93,23.43,1538832773.2
52.96,23.44,1538832773.3
52.98,23.44,1538832773.4
52.99,23.43,1538832773.5
52.99,23.44,1538832773.6
52.99,23.48,1538832773.7
52.98,23.54,1538832773.8
52.96,23.59,1538832773.9
52.94,23.64,1538832774.0
52.94,23.67,1538832774.1
52.97,23.70,1538832774.2
52.98,23.67,1538832774.3
53.00,23.57,1538832774.4
53.02,23.48,1538832774.5
53.02,23.43,1538832774.6
53.03,23.43,1538832774.7
53.01,23.44,1538832774.8
52.99,23.42,1538832774.9
52.92,23.44,1538832775.0
52.89,23.47,1538832775.1
52.89,23.50,1538832775.2
52.87,23.55,1538832775.3
52.83,23.60,1538832775.4
52.84,23.66,1538832775.5
52.88,23.70,1538832775.6
52.89,23.71,1538832775.7
52.91,23.70,1538832775.8
52.91,23.65,1538832775.9
52.95,23.64,1538832776.0
52.98,23.63,1538832776.1
52.98,23.64,1538832776.2
52.98,23.67,1538832776.3
52.94,23.68,1538832776.4
52.93,23.65,1538832776.5
52.92,23.60,1538832776.6
52.91,23.57,1538832776.7
52.92,23.53,1538832776.8
52.92,23.52,1538832776.9
52.95,23.53,1538832777.0
52.95,23.54,1538832777.1
52.94,23.54,1538832777.2
52.93,23.53,1538832777.3
52.89,23.53,1538832777.4
52.87,23.51,1538832777.5
52.86,23.50,1538832777.6
52.86,23.52,1538832777.7
52.86,23.56,1538832777.8
52.84,23.61,1538832777.9
52.84,23.60,1538832778.0
52.82,23.57,1538832778.1
52.81,23.55,1538832778.2
52.80,23.53,1538832778.3
52.81,23.51,1538832778.4
52.83,23.50,1538832778.5
52.83,23.54,1538832778.6
52.82,23.56,1538832778.7
52.81,23.57,1538832778.8
52.77,23.58,1538832778.9
52.74,23.58,1538832779.0
52.71,23.56,1538832779.1
52.75,23.54,1538832779.2
52.78,23.53,1538832779.3
52.79,23.54,1538832779.4
52.82,23.52,1538832779.5
52.86,23.49,1538832779.6
52.90,23.47,1538832779.7
52.89,23.46,1538832779.8
52.90,23.45,1538832779.9
52.92,23.46,1538832780.0
52.90,23.50,1538832780.1
52.88,23.51,1538832780.2
52.84,23.53,1538832780.3
52.83,23.54,1538832780.4
52.81,23.54,1538832780.5
52.82,23.50,1538832780.6
52.89,23.47,1538832780.7
52.91,23.50,1538832780.8
52.95,23.49,1538832780.9
52.97,23.51,1538832781.0
52.98,23.51,1538832781.1
52.95,23.53,1538832781.2
52.89,23.55,1538832781.3
52.85,23.55,1538832781.4
52.82,23.56,1538832781.5
52.82,23.57,1538832781.6
52.81,23.61,1538832781.7
52.84,23.64,1538832781.8
52.84,23.64,1538832781.9
52.84,23.64,1538832782.0
52.82,23.62,1538832782.1
52.79,23.60,1538832782.2
52.75,23.61,1538832782.3
52.72,23.59,1538832782.4
52.71,23.53,1538832782.5
52.72,23.51,1538832782.6
52.74,23.51,1538832782.7
52.75,23.52,1538832782.8
52.75,23.50,1538832782.9
52.77,23.56,1538832783.0
52.78,23.64,1538832783.1
52.76,23.69,1538832783.2
52.73,23.73,1538832783.3
52.70,23.75,1538832783.4
52.72,23.76,1538832783.5
52.71,23.75,1538832783.6
52.73,23.70,1538832783.7
52.74,23.67,1538832783.8
52.77,23.60,1538832783.9
52.83,23.56,1538832784.0
52.87,23.53,1538832784.1
52.90,23.52,1538832784.2
52.89,23.54,1538832784.3
52.88,23.55,1538832784.4
52.85,23.56,1538832784.5
52.79,23.56,1538832784.6
52.75,23.54,1538832784.7
52.76,23.49,1538832784.8
52.76,23.50,1538832784.9
52.76,23.50,1538832785.0
52.75,23.52,1538832785.1
52.79,23.54,1538832785.2
52.80,23.55,1538832785.3
52.82,23.52,1538832785.4
52.85,23.50,1538832785.5
52.89,23.51,1538832785.6
52.92,23.52,1538832785.7
52.93,23.52,1538832785.8
52.95,23.57,1538832785.9
52.92,23.60,1538832786.0
52.90,23.64,1538832786.1
52.87,23.66,1538832786.2
52.86,23.67,1538832786.3
52.84,23.67,1538832786.4
52.81,23.62,1538832786.5
52.81,23.59,1538832786.6
52.80,23.56,1538832786.7
52.81,23.52,1538832786.8
52.83,23.51,1538832786.9
52.86,23.52,1538832787.0
52.84,23.59,1538832787.1
52.83,23.65,1538832787.2
52.82,23.67,1538832787.3
52.79,23.68,1538832787.4
52.77,23.68,1538832787.5
52.74,23.69,1538832787.6
52.75,23.68,1538832787.7
52.77,23.67,1538832787.8
52.77,23.64,1538832787.9
52.76,23.61,1538832788.0
52.76,23.65,1538832788.1
52.78,23.66,1538832788.2
52.78,23.65,1538832788.3
52.77,23.62,1538832788.4
52.78,23.64,1538832788.5
52.80,23.68,1538832788.6
52.81,23.62,1538832788.7
52.81,23.55,1538832788.8
52.82,23.52,1538832788.9
52.82,23.49,1538832789.0
52.82,23.47,1538832789.1
52.79,23.44,1538832789.2
52.78,23.44,1538832789.3
52.77,23.45,1538832789.4
52.76,23.47,1538832789.5
52.76,23.53,1538832789.6
52.76,23.56,1538832789.7
52.78,23.62,1538832789.8
52.80,23.70,1538832789.9
52.84,23.73,1538832790.0
52.89,23.73,1538832790.1
52.95,23.71,1538832790.2
52.97,23.66,1538832790.3
52.96,23.59,1538832790.4
52.94,23.53,1538832790.5
52.91,23.50,1538832790.6
52.84,23.49,1538832790.7
52.80,23.48,1538832790.8
52.78,23.49,1538832790.9
52.79,23.50,1538832791.0
52.80,23.51,1538832791.1
52.82,23.49,1538832791.2
52.84,23.48,1538832791.3
52.82,23.46,1538832791.4
52.82,23.49,1538832791.5
52.84,23.52,1538832791.6
52.84,23.53,1538832791.7
52.83,23.55,1538832791.8
52.84,23.56,1538832791.9
52.89,23.56,1538832792.0
52.91,23.52,1538832792.1
52.90,23.52,1538832792.2
52.88,23.52,1538832792.3
52.86,23.53,1538832792.4
52.83,23.56,1538832792.5
52.81,23.58,1538832792.6
52.77,23.59,1538832792.7
52.75,23.58,1538832792.8
52.76,23.54,1538832792.9
52.80,23.55,1538832793.0
52.86,23.53,1538832793.1
52.88,23.52,1538832793.2
52.90,23.50,1538832793.3
52.92,23.48,1538832793.4
52.94,23.51,1538832793.5
52.93,23.51,1538832793.6
52.91,23.52,1538832793.7
52.90,23.57,1538832793.8
52.89,23.59,1538832793.9
52.88,23.64,1538832794.0
52.90,23.63,1538832794.1
52.89,23.63,1538832794.2
52.86,23.60,1538832794.3
52.87,23.59,1538832794.4
52.86,23.57,1538832794.5
52.89,23.56,1538832794.6
52.89,23.52,1538832794.7
52.91,23.52,1538832794.8
52.95,23.53,1538832794.9
52.99,23.52,1538832795.0
53.02,23.51,1538832795.1
53.02,23.48,1538832795.2
53.02,23.47,1538832795.3
53.01,23.47,1538832795.4
52.97,23.45,1538832795.5
52.94,23.43,1538832795.6
52.93,23.43,1538832795.7
52.91,23.42,1538832795.8
52.89,23.42,1538832795.9
52.91,23.45,1538832796.0
52.91,23.46,1538832796.1
52.89,23.45,1538832796.2
52.85,23.45,1538832796.3
52.87,23.50,1538832796.4
52.89,23.54,1538832796.5
52.89,23.53,1538832796.6
52.87,23.55,1538832796.7
52.88,23.54,1538832796.8
52.89,23.56,1538832796.9
52.89,23.58,1538832797.0
52.87,23.62,1538832797.1
52.84,23.65,1538832797.2
52.85,23.63,1538832797.3
52.87,23.66,1538832797.4
52.92,23.64,1538832797.5
52.92,23.61,1538832797.6
52.91,23.54,1538832797.7
52.93,23.53,1538832797.8
52.98,23.53,1538832797.9
52.99,23.55,1538832798.0
51.58,22.90,1538832798.1
51.48,22.88,1538832798.2
