358,3
52.23,4.58,1538833364.2
52.21,4.61,1538833364.3
52.20,4.62,1538833364.4
52.21,4.66,1538833364.5
52.21,4.66,1538833364.6
52.21,4.67,1538833364.7
52.23,4.65,1538833364.8
52.25,4.64,1538833364.9
52.24,4.62,1538833365.0
52.25,4.54,1538833365.1
52.25,4.51,1538833365.2
52.21,4.50,1538833365.3
52.16,4.52,1538833365.4
52.17,4.54,1538833365.5
52.24,4.53,1538833365.6
52.23,4.51,1538833365.7
52.23,4.51,1538833365.8
52.23,4.50,1538833365.9
52.24,4.45,1538833366.0
52.21,4.42,1538833366.1
52.16,4.41,1538833366.2
52.13,4.45,1538833366.3
52.10,4.47,1538833366.4
52.08,4.48,1538833366.5
52.06,4.55,1538833366.6
52.06,4.58,1538833366.7
52.08,4.59,1538833366.8
52.14,4.58,1538833366.9
52.19,4.56,1538833367.0
52.24,4.54,1538833367.1
52.29,4.50,1538833367.2
52.31,4.46,1538833367.3
52.30,4.42,1538833367.4
52.29,4.41,1538833367.5
52.29,4.41,1538833367.6
52.28,4.44,1538833367.7
52.27,4.46,1538833367.8
52.25,4.49,1538833367.9
52.24,4.53,1538833368.0
52.25,4.54,1538833368.1
52.28,4.53,1538833368.2
52.32,4.50,1538833368.3
52.34,4.50,1538833368.4
52.36,4.53,1538833368.5
52.37,4.53,1538833368.6
52.31,4.55,1538833368.7
52.26,4.58,1538833368.8
52.21,4.66,1538833368.9
52.17,4.71,1538833369.0
52.16,4.71,1538833369.1
52.16,4.73,1538833369.2
52.18,4.75,1538833369.3
52.22,4.80,1538833369.4
52.26,4.73,1538833369.5
52.27,4.67,1538833369.6
52.28,4.63,1538833369.7
52.28,4.60,1538833369.8
52.29,4.58,1538833369.9
52.27,4.52,1538833370.0
52.25,4.54,1538833370.1
52.26,4.55,1538833370.2
52.24,4.55,1538833370.3
52.20,4.54,1538833370.4
52.17,4.54,1538833370.5
52.13,4.55,1538833370.6
52.15,4.53,1538833370.7
52.15,4.51,1538833370.8
52.17,4.52,1538833370.9
52.26,4.49,1538833371.0
52.33,4.46,1538833371.1
52.38,4.44,1538833371.2
52.39,4.45,1538833371.3
52.42,4.44,1538833371.4
52.41,4.44,1538833371.5
52.36,4.46,1538833371.6
52.31,4.52,1538833371.7
52.26,4.56,1538833371.8
52.19,4.59,1538833371.9
52.14,4.63,1538833372.0
52.13,4.62,1538833372.1
52.13,4.62,1538833372.2
52.10,4.59,1538833372.3
52.11,4.56,1538833372.4
52.12,4.52,1538833372.5
52.15,4.51,1538833372.6
52.18,4.53,1538833372.7
52.22,4.52,1538833372.8
52.29,4.50,1538833372.9
52.31,4.48,1538833373.0
52.35,4.46,1538833373.1
52.35,4.47,1538833373.2
52.30,4.50,1538833373.3
52.30,4.49,1538833373.4
52.25,4.50,1538833373.5
52.22,4.54,1538833373.6
52.22,4.58,1538833373.7
52.23,4.55,1538833373.8
52.25,4.52,1538833373.9
52.26,4.50,1538833374.0
52.30,4.50,1538833374.1
52.31,4.49,1538833374.2
52.29,4.48,1538833374.3
52.27,4.47,1538833374.4
52.26,4.46,1538833374.5
52.24,4.46,1538833374.6
52.22,4.47,1538833374.7
52.22,4.45,1538833374.8
52.23,4.44,1538833374.9
52.27,4.43,1538833375.0
52.31,4.43,1538833375.1
52.32,4.43,1538833375.2
52.31,4.45,1538833375.3
52.28,4.47,1538833375.4
52.27,4.48,1538833375.5
52.22,4.49,1538833375.6
52.14,4.52,1538833375.7
52.07,4.55,1538833375.8
52.09,4.55,1538833375.9
52.14,4.53,1538833376.0
52.17,4.52,1538833376.1
52.16,4.51,1538833376.2
52.18,4.50,1538833376.3
52.23,4.47,1538833376.4
52.23,4.42,1538833376.5
52.21,4.39,1538833376.6
52.20,4.38,1538833376.7
52.24,4.37,1538833376.8
52.27,4.35,1538833376.9
52.29,4.35,1538833377.0
52.29,4.37,1538833377.1
52.29,4.38,1538833377.2
52.29,4.40,1538833377.3
52.28,4.38,1538833377.4
52.27,4.36,1538833377.5
52.25,4.35,1538833377.6
52.23,4.32,1538833377.7
52.20,4.30,1538833377.8
52.19,4.29,1538833377.9
52.16,4.32,1538833378.0
52.15,4.34,1538833378.1
52.18,4.37,1538833378.2
52.19,4.42,1538833378.3
52.18,4.45,1538833378.4
52.16,4.46,1538833378.5
52.14,4.46,1538833378.6
52.12,4.46,1538833378.7
52.04,4.43,1538833378.8
52.00,4.42,1538833378.9
51.98,4.45,1538833379.0
51.99,4.49,1538833379.1
52.01,4.52,1538833379.2
52.03,4.53,1538833379.3
52.06,4.54,1538833379.4
52.09,4.52,1538833379.5
52.08,4.45,1538833379.6
52.09,4.40,1538833379.7
52.09,4.33,1538833379.8
52.06,4.26,1538833379.9
52.05,4.21,1538833380.0
52.06,4.17,1538833380.1
52.10,4.17,1538833380.2
52.17,4.17,1538833380.3
52.16,4.21,1538833380.4
52.16,4.30,1538833380.5
52.14,4.37,1538833380.6
52.10,4.42,1538833380.7
52.07,4.43,1538833380.8
52.02,4.42,1538833380.9
52.04,4.39,1538833381.0
52.07,4.33,1538833381.1
52.15,4.32,1538833381.2
52.23,4.32,1538833381.3
52.25,4.34,1538833381.4
52.24,4.37,1538833381.5
52.22,4.39,1538833381.6
52.21,4.40,1538833381.7
52.14,4.39,1538833381.8
52.07,4.39,1538833381.9
52.07,4.41,1538833382.0
52.05,4.42,1538833382.1
52.04,4.48,1538833382.2
52.03,4.50,1538833382.3
52.04,4.51,1538833382.4
52.06,4.51,1538833382.5
52.05,4.46,1538833382.6
52.08,4.40,1538833382.7
52.09,4.33,1538833382.8
52.09,4.28,1538833382.9
52.10,4.24,1538833383.0
52.08,4.22,1538833383.1
52.06,4.24,1538833383.2
52.05,4.28,1538833383.3
52.03,4.31,1538833383.4
52.06,4.36,1538833383.5
52.07,4.40,1538833383.6
52.11,4.38,1538833383.7
52.11,4.39,1538833383.8
52.11,4.36,1538833383.9
52.14,4.30,1538833384.0
52.13,4.25,1538833384.1
52.09,4.25,1538833384.2
52.06,4.26,1538833384.3
52.07,4.23,1538833384.4
52.12,4.26,1538833384.5
52.14,4.32,1538833384.6
52.16,4.34,1538833384.7
52.20,4.32,1538833384.8
52.18,4.33,1538833384.9
52.14,4.35,1538833385.0
52.09,4.34,1538833385.1
52.03,4.33,1538833385.2
51.98,4.35,1538833385.3
51.96,4.39,1538833385.4
51.98,4.44,1538833385.5
52.01,4.47,1538833385.6
52.05,4.49,1538833385.7
52.09,4.49,1538833385.8
52.13,4.48,1538833385.9
52.16,4.46,1538833386.0
52.19,4.40,1538833386.1
52.18,4.39,1538833386.2
52.16,4.38,1538833386.3
52.13,4.37,1538833386.4
52.10,4.36,1538833386.5
52.04,4.35,1538833386.6
52.02,4.34,1538833386.7
52.01,4.29,1538833386.8
52.01,4.28,1538833386.9
51.98,4.29,1538833387.0
51.98,4.31,1538833387.1
51.98,4.32,1538833387.2
51.95,4.35,1538833387.3
51.96,4.40,1538833387.4
51.93,4.40,1538833387.5
51.93,4.38,1538833387.6
51.92,4.36,1538833387.7
51.93,4.35,1538833387.8
51.93,4.35,1538833387.9
51.88,4.35,1538833388.0
51.89,4.40,1538833388.1
51.90,4.44,1538833388.2
51.93,4.47,1538833388.3
51.91,4.53,1538833388.4
51.80,4.54,1538833388.5
51.60,4.57,1538833388.6
51.27,4.59,1538833388.7
50.81,4.59,1538833388.8
50.24,4.61,1538833388.9
49.61,4.59,1538833389.0
49.00,4.63,1538833389.1
48.42,4.69,1538833389.2
47.90,4.78,1538833389.3
47.43,4.87,1538833389.4
47.06,4.96,1538833389.5
46.79,5.06,1538833389.6
46.63,5.13,1538833389.7
46.52,5.16,1538833389.8
46.49,5.14,1538833389.9
46.58,5.09,1538833390.0
46.70,5.04,1538833390.1
46.82,5.00,1538833390.2
46.92,4.99,1538833390.3
47.05,4.97,1538833390.4
47.08,4.95,1538833390.5
46.96,4.97,1538833390.6
46.70,4.95,1538833390.7
46.32,4.91,1538833390.8
45.82,4.88,1538833390.9
45.19,4.83,1538833391.0
44.50,4.80,1538833391.1
43.82,4.80,1538833391.2
43.19,4.87,1538833391.3
42.64,4.94,1538833391.4
42.18,4.95,1538833391.5
41.87,4.96,1538833391.6
41.72,4.97,1538833391.7
41.65,4.96,1538833391.8
41.59,4.91,1538833391.9
41.49,4.83,1538833392.0
41.32,4.76,1538833392.1
41.00,4.68,1538833392.2
40.55,4.62,1538833392.3
39.95,4.51,1538833392.4
39.27,4.37,1538833392.5
38.55,4.20,1538833392.6
37.79,3.99,1538833392.7
37.09,3.78,1538833392.8
36.45,3.52,1538833392.9
35.94,3.20,1538833393.0
35.54,2.88,1538833393.1
35.27,2.61,1538833393.2
35.12,2.35,1538833393.3
35.03,2.15,1538833393.4
35.01,1.97,1538833393.5
35.02,1.85,1538833393.6
35.04,1.77,1538833393.7
35.05,1.73,1538833393.8
35.04,1.71,1538833393.9
35.04,1.69,1538833394.0
35.00,1.70,1538833394.1
34.95,1.75,1538833394.2
34.94,1.84,1538833394.3
34.93,1.94,1538833394.4
34.91,2.06,1538833394.5
34.87,2.21,1538833394.6
34.84,2.41,1538833394.7
34.78,2.56,1538833394.8
34.71,2.69,1538833394.9
34.69,2.81,1538833395.0
34.70,2.90,1538833395.1
34.72,2.94,1538833395.2
34.74,2.91,1538833395.3
34.80,2.96,1538833395.4
34.85,3.02,1538833395.5
34.87,3.05,1538833395.6
34.86,3.10,1538833395.7
34.87,3.23,1538833395.8
34.84,3.38,1538833395.9
34.80,3.43,1538833396.0
34.73,3.45,1538833396.1
34.67,3.48,1538833396.2
34.56,3.51,1538833396.3
34.44,3.46,1538833396.4
34.31,3.43,1538833396.5
34.14,3.49,1538833396.6
33.94,3.54,1538833396.7
33.68,3.60,1538833396.8
33.36,3.71,1538833396.9
33.00,3.84,1538833397.0
32.66,3.92,1538833397.1
32.35,4.00,1538833397.2
32.04,4.11,1538833397.3
31.77,4.23,1538833397.4
31.60,4.29,1538833397.5
31.51,4.39,1538833397.6
31.42,4.46,1538833397.7
31.29,4.47,1538833397.8
31.28,4.48,1538833397.9
31.23,4.49,1538833398.0
31.15,4.51,1538833398.1
31.01,4.53,1538833398.2
30.86,4.60,1538833398.3
30.76,4.70,1538833398.4
30.56,4.82,1538833398.5
30.40,4.92,1538833398.6
30.28,4.99,1538833398.7
30.16,5.00,1538833398.8
30.07,4.98,1538833398.9
30.01,4.96,1538833399.0
30.00,4.92,1538833399.1
29.98,4.86,1538833399.2
29.97,4.83,1538833399.3
29.99,4.83,1538833399.4
30.02,4.86,1538833399.5
30.03,4.85,1538833399.6
30.02,4.84,1538833399.7
30.00,4.86,1538833399.8
29.99,4.84,1538833399.9
29.96,4.82,1538833400.0
29.94,4.77,1538833400.1
29.93,4.78,1538833400.2
29.95,4.82,1538833400.3
