6806,3
2.46,3.83,1538833363.8
2.44,3.79,1538833363.9
2.39,3.76,1538833364.0
2.38,3.73,1538833364.1
2.38,3.72,1538833364.2
2.41,3.74,1538833364.3
2.47,3.78,1538833364.4
2.47,3.80,1538833364.5
2.50,3.80,1538833364.6
2.53,3.82,1538833364.7
2.54,3.81,1538833364.8
2.45,3.78,1538833364.9
2.38,3.77,1538833365.0
2.32,3.75,1538833365.1
2.29,3.70,1538833365.2
2.25,3.68,1538833365.3
2.22,3.69,1538833365.4
2.25,3.72,1538833365.5
2.28,3.76,1538833365.6
2.35,3.79,1538833365.7
2.41,3.83,1538833365.8
2.45,3.82,1538833365.9
2.49,3.76,1538833366.0
2.50,3.67,1538833366.1
2.48,3.59,1538833366.2
2.44,3.55,1538833366.3
2.43,3.50,1538833366.4
2.42,3.49,1538833366.5
2.39,3.54,1538833366.6
2.37,3.62,1538833366.7
2.41,3.69,1538833366.8
2.49,3.69,1538833366.9
2.56,3.70,1538833367.0
2.66,3.69,1538833367.1
2.82,3.68,1538833367.2
3.01,3.66,1538833367.3
3.18,3.64,1538833367.4
3.39,3.66,1538833367.5
3.65,3.67,1538833367.6
3.99,3.67,1538833367.7
4.41,3.58,1538833367.8
4.89,3.47,1538833367.9
5.39,3.34,1538833368.0
5.88,3.22,1538833368.1
6.38,3.14,1538833368.2
6.85,3.07,1538833368.3
7.26,3.03,1538833368.4
7.63,3.00,1538833368.5
7.98,2.98,1538833368.6
8.34,2.94,1538833368.7
8.71,2.84,1538833368.8
9.06,2.71,1538833368.9
9.44,2.58,1538833369.0
9.83,2.47,1538833369.1
10.24,2.32,1538833369.2
10.68,2.15,1538833369.3
11.10,2.02,1538833369.4
11.54,1.98,1538833369.5
11.98,1.97,1538833369.6
12.44,1.96,1538833369.7
12.88,2.03,1538833369.8
13.32,2.04,1538833369.9
13.73,2.10,1538833370.0
14.14,2.13,1538833370.1
14.49,2.12,1538833370.2
14.80,2.11,1538833370.3
15.10,2.04,1538833370.4
15.33,2.04,1538833370.5
15.51,2.05,1538833370.6
15.68,2.06,1538833370.7
15.85,2.08,1538833370.8
16.02,2.08,1538833370.9
16.19,2.09,1538833371.0
16.34,2.09,1538833371.1
16.49,2.05,1538833371.2
16.65,2.01,1538833371.3
16.76,1.98,1538833371.4
16.86,1.96,1538833371.5
16.88,1.96,1538833371.6
16.86,1.95,1538833371.7
16.84,1.95,1538833371.8
16.81,1.99,1538833371.9
16.79,1.98,1538833372.0
