2869,3
2.40,13.21,1538833363.7
2.42,13.20,1538833363.8
2.40,13.17,1538833363.9
2.37,13.16,1538833364.0
2.30,13.14,1538833364.1
2.22,13.11,1538833364.2
2.18,13.07,1538833364.3
2.19,13.08,1538833364.4
2.23,13.11,1538833364.5
2.28,13.16,1538833364.6
2.36,13.19,1538833364.7
2.44,13.19,1538833364.8
2.42,13.19,1538833364.9
2.38,13.17,1538833365.0
2.34,13.16,1538833365.1
2.32,13.13,1538833365.2
2.31,13.12,1538833365.3
2.29,13.13,1538833365.4
2.28,13.13,1538833365.5
2.29,13.12,1538833365.6
2.30,13.10,1538833365.7
2.34,13.07,1538833365.8
2.34,13.03,1538833365.9
2.34,13.00,1538833366.0
2.35,13.01,1538833366.1
2.36,13.00,1538833366.2
2.36,13.03,1538833366.3
2.34,13.07,1538833366.4
2.38,13.09,1538833366.5
2.40,13.09,1538833366.6
2.39,13.07,1538833366.7
2.40,13.07,1538833366.8
2.43,13.08,1538833366.9
2.45,13.07,1538833367.0
2.48,13.09,1538833367.1
2.55,13.13,1538833367.2
2.64,13.15,1538833367.3
2.80,13.10,1538833367.4
3.03,13.00,1538833367.5
3.32,12.87,1538833367.6
3.66,12.66,1538833367.7
4.09,12.32,1538833367.8
4.62,11.89,1538833367.9
5.20,11.40,1538833368.0
5.80,10.85,1538833368.1
6.45,10.26,1538833368.2
7.14,9.66,1538833368.3
7.82,9.14,1538833368.4
8.44,8.75,1538833368.5
8.99,8.48,1538833368.6
9.45,8.28,1538833368.7
9.81,8.14,1538833368.8
10.08,8.07,1538833368.9
10.26,8.06,1538833369.0
10.36,8.00,1538833369.1
10.40,7.94,1538833369.2
10.42,7.93,1538833369.3
10.41,7.91,1538833369.4
10.33,7.89,1538833369.5
10.15,7.90,1538833369.6
10.00,7.90,1538833369.7
9.78,7.93,1538833369.8
9.47,7.95,1538833369.9
9.10,8.03,1538833370.0
8.72,8.21,1538833370.1
8.38,8.49,1538833370.2
7.94,8.91,1538833370.3
7.50,9.38,1538833370.4
7.13,9.95,1538833370.5
6.80,10.58,1538833370.6
6.47,11.16,1538833370.7
6.15,11.70,1538833370.8
5.84,12.14,1538833370.9
5.53,12.50,1538833371.0
5.20,12.75,1538833371.1
4.94,12.95,1538833371.2
4.69,13.06,1538833371.3
4.50,13.10,1538833371.4
4.41,13.12,1538833371.5
4.42,13.15,1538833371.6
4.49,13.19,1538833371.7
4.55,13.20,1538833371.8
4.74,13.26,1538833371.9
4.97,13.29,1538833372.0
5.22,13.29,1538833372.1
5.54,13.30,1538833372.2
5.90,13.28,1538833372.3
6.28,13.28,1538833372.4
6.65,13.24,1538833372.5
6.99,13.24,1538833372.6
7.29,13.28,1538833372.7
7.45,13.27,1538833372.8
7.59,13.26,1538833372.9
7.68,13.22,1538833373.0
7.69,13.21,1538833373.1
7.67,13.22,1538833373.2
7.63,13.18,1538833373.3
7.56,13.17,1538833373.4
7.40,13.20,1538833373.5
7.14,13.24,1538833373.6
6.82,13.28,1538833373.7
6.42,13.27,1538833373.8
5.97,13.28,1538833373.9
5.50,13.28,1538833374.0
5.06,13.26,1538833374.1
4.72,13.18,1538833374.2
4.45,13.11,1538833374.3
4.25,13.05,1538833374.4
4.13,13.06,1538833374.5
4.09,13.06,1538833374.6
4.12,13.06,1538833374.7
4.16,13.08,1538833374.8
4.26,13.11,1538833374.9
4.43,13.13,1538833375.0
4.63,13.09,1538833375.1
4.92,13.00,1538833375.2
5.24,12.87,1538833375.3
5.58,12.66,1538833375.4
5.94,12.35,1538833375.5
6.32,11.93,1538833375.6
6.72,11.40,1538833375.7
7.07,10.81,1538833375.8
7.43,10.17,1538833375.9
7.78,9.47,1538833376.0
8.17,8.81,1538833376.1
8.60,8.25,1538833376.2
9.02,7.76,1538833376.3
9.42,7.33,1538833376.4
9.75,6.98,1538833376.5
9.99,6.72,1538833376.6
10.18,6.52,1538833376.7
10.28,6.37,1538833376.8
10.31,6.27,1538833376.9
10.32,6.23,1538833377.0
10.37,6.23,1538833377.1
10.36,6.23,1538833377.2
10.33,6.29,1538833377.3
10.24,6.35,1538833377.4
10.15,6.41,1538833377.5
9.98,6.49,1538833377.6
9.67,6.59,1538833377.7
9.38,6.74,1538833377.8
8.97,6.90,1538833377.9
8.57,7.18,1538833378.0
8.12,7.59,1538833378.1
7.64,8.11,1538833378.2
7.17,8.74,1538833378.3
6.66,9.45,1538833378.4
6.19,10.14,1538833378.5
5.77,10.75,1538833378.6
5.39,11.28,1538833378.7
5.09,11.68,1538833378.8
4.90,11.97,1538833378.9
4.84,12.14,1538833379.0
4.81,12.29,1538833379.1
4.80,12.39,1538833379.2
4.88,12.49,1538833379.3
4.99,12.57,1538833379.4
5.16,12.58,1538833379.5
5.41,12.57,1538833379.6
5.70,12.54,1538833379.7
6.05,12.51,1538833379.8
6.40,12.40,1538833379.9
6.78,12.29,1538833380.0
7.19,12.23,1538833380.1
7.52,12.22,1538833380.2
7.85,12.18,1538833380.3
8.08,12.17,1538833380.4
8.21,12.17,1538833380.5
8.26,12.18,1538833380.6
8.20,12.19,1538833380.7
8.06,12.16,1538833380.8
7.87,12.19,1538833380.9
7.62,12.21,1538833381.0
7.38,12.26,1538833381.1
7.10,12.33,1538833381.2
6.80,12.40,1538833381.3
6.46,12.47,1538833381.4
6.06,12.47,1538833381.5
5.74,12.47,1538833381.6
5.43,12.47,1538833381.7
5.11,12.40,1538833381.8
4.85,12.35,1538833381.9
4.69,12.32,1538833382.0
4.62,12.33,1538833382.1
4.56,12.34,1538833382.2
4.57,12.36,1538833382.3
4.62,12.39,1538833382.4
4.69,12.40,1538833382.5
4.76,12.38,1538833382.6
4.81,12.33,1538833382.7
4.82,12.30,1538833382.8
4.77,12.28,1538833382.9
4.75,12.27,1538833383.0
4.72,12.29,1538833383.1
4.67,12.33,1538833383.2
4.62,12.39,1538833383.3
4.61,12.42,1538833383.4
4.61,12.45,1538833383.5
4.59,12.43,1538833383.6
4.54,12.39,1538833383.7
4.51,12.35,1538833383.8
4.48,12.31,1538833383.9
4.45,12.28,1538833384.0
4.45,12.25,1538833384.1
4.47,12.26,1538833384.2
4.50,12.27,1538833384.3
4.51,12.28,1538833384.4
4.57,12.27,1538833384.5
4.59,12.25,1538833384.6
4.66,12.21,1538833384.7
4.66,12.23,1538833384.8
4.66,12.24,1538833384.9
4.66,12.25,1538833385.0
4.64,12.28,1538833385.1
4.65,12.29,1538833385.2
4.60,12.31,1538833385.3
4.60,12.31,1538833385.4
4.60,12.35,1538833385.5
4.58,12.41,1538833385.6
4.59,12.43,1538833385.7
4.59,12.47,1538833385.8
4.60,12.48,1538833385.9
4.65,12.44,1538833386.0
4.68,12.42,1538833386.1
4.70,12.40,1538833386.2
4.68,12.42,1538833386.3
4.64,12.46,1538833386.4
4.59,12.52,1538833386.5
4.56,12.59,1538833386.6
4.56,12.61,1538833386.7
4.56,12.59,1538833386.8
4.56,12.55,1538833386.9
4.59,12.48,1538833387.0
4.62,12.41,1538833387.1
4.61,12.35,1538833387.2
4.59,12.29,1538833387.3
4.58,12.23,1538833387.4
4.54,12.19,1538833387.5
4.53,12.10,1538833387.6
4.54,11.98,1538833387.7
4.62,11.79,1538833387.8
4.80,11.55,1538833387.9
5.09,11.22,1538833388.0
5.45,10.80,1538833388.1
5.80,10.37,1538833388.2
6.20,9.82,1538833388.3
6.59,9.26,1538833388.4
6.93,8.73,1538833388.5
7.22,8.28,1538833388.6
7.58,7.84,1538833388.7
7.98,7.43,1538833388.8
8.36,7.07,1538833388.9
8.77,6.73,1538833389.0
9.19,6.37,1538833389.1
9.60,6.09,1538833389.2
9.97,5.84,1538833389.3
10.26,5.62,1538833389.4
10.53,5.46,1538833389.5
10.72,5.35,1538833389.6
10.86,5.33,1538833389.7
10.95,5.25,1538833389.8
10.98,5.24,1538833389.9
11.00,5.26,1538833390.0
11.00,5.27,1538833390.1
11.05,5.26,1538833390.2
11.04,5.22,1538833390.3
11.01,5.23,1538833390.4
11.01,5.22,1538833390.5
11.04,5.20,1538833390.6
11.08,5.23,1538833390.7
11.08,5.27,1538833390.8
11.09,5.31,1538833390.9
11.13,5.29,1538833391.0
11.20,5.29,1538833391.1
11.22,5.28,1538833391.2
11.20,5.26,1538833391.3
11.18,5.26,1538833391.4
11.20,5.28,1538833391.5
11.19,5.30,1538833391.6
11.16,5.32,1538833391.7
11.09,5.31,1538833391.8
11.11,5.27,1538833391.9
11.13,5.22,1538833392.0
11.12,5.16,1538833392.1
11.14,5.16,1538833392.2
11.13,5.13,1538833392.3
11.21,5.14,1538833392.4
11.21,5.19,1538833392.5
11.19,5.20,1538833392.6
11.18,5.22,1538833392.7
11.16,5.28,1538833392.8
11.13,5.29,1538833392.9
11.10,5.24,1538833393.0
11.08,5.20,1538833393.1
11.10,5.27,1538833393.2
11.14,5.31,1538833393.3
11.11,5.27,1538833393.4
11.13,5.27,1538833393.5
11.12,5.33,1538833393.6
11.11,5.41,1538833393.7
11.07,5.40,1538833393.8
11.02,5.39,1538833393.9
11.02,5.40,1538833394.0
11.01,5.42,1538833394.1
11.03,5.43,1538833394.2
11.04,5.43,1538833394.3
11.06,5.42,1538833394.4
11.07,5.41,1538833394.5
11.09,5.41,1538833394.6
11.11,5.39,1538833394.7
11.10,5.40,1538833394.8
11.11,5.40,1538833394.9
11.11,5.40,1538833395.0
11.12,5.43,1538833395.1
11.09,5.48,1538833395.2
11.08,5.53,1538833395.3
11.07,5.54,1538833395.4
11.05,5.51,1538833395.5
11.04,5.47,1538833395.6
11.00,5.43,1538833395.7
10.98,5.39,1538833395.8
10.95,5.37,1538833395.9
10.94,5.37,1538833396.0
10.90,5.43,1538833396.1
10.84,5.49,1538833396.2
10.80,5.50,1538833396.3
10.75,5.47,1538833396.4
10.68,5.41,1538833396.5
10.64,5.36,1538833396.6
10.66,5.31,1538833396.7
10.66,5.28,1538833396.8
10.72,5.29,1538833396.9
10.80,5.30,1538833397.0
10.89,5.33,1538833397.1
10.96,5.33,1538833397.2
10.96,5.36,1538833397.3
10.99,5.38,1538833397.4
11.00,5.39,1538833397.5
11.01,5.41,1538833397.6
11.02,5.45,1538833397.7
11.01,5.48,1538833397.8
11.05,5.44,1538833397.9
11.08,5.41,1538833398.0
11.07,5.39,1538833398.1
11.03,5.39,1538833398.2
10.98,5.39,1538833398.3
10.95,5.38,1538833398.4
10.94,5.40,1538833398.5
10.96,5.44,1538833398.6
10.96,5.44,1538833398.7
10.99,5.42,1538833398.8
11.01,5.40,1538833398.9
11.01,5.39,1538833399.0
10.97,5.37,1538833399.1
10.93,5.29,1538833399.2
10.92,5.30,1538833399.3
10.91,5.34,1538833399.4
10.93,5.37,1538833399.5
10.94,5.39,1538833399.6
10.95,5.42,1538833399.7
10.92,5.47,1538833399.8
10.91,5.46,1538833399.9
10.93,5.44,1538833400.0
10.96,5.41,1538833400.1
10.99,5.39,1538833400.2
11.03,5.34,1538833400.3
11.06,5.33,1538833400.4
11.11,5.31,1538833400.5
11.07,5.33,1538833400.6
11.05,5.39,1538833400.7
11.03,5.41,1538833400.8
10.98,5.47,1538833400.9
10.94,5.47,1538833401.0
10.90,5.46,1538833401.1
10.93,5.43,1538833401.2
10.92,5.39,1538833401.3
10.91,5.37,1538833401.4
10.94,5.38,1538833401.5
10.98,5.42,1538833401.6
10.99,5.47,1538833401.7
10.96,5.48,1538833401.8
10.93,5.50,1538833401.9
10.91,5.49,1538833402.0
10.89,5.44,1538833402.1
10.87,5.39,1538833402.2
10.88,5.39,1538833402.3
10.94,5.41,1538833402.4
11.02,5.39,1538833402.5
11.08,5.38,1538833402.6
11.12,5.39,1538833402.7
11.13,5.41,1538833402.8
11.14,5.42,1538833402.9
11.08,5.41,1538833403.0
11.04,5.47,1538833403.1
11.02,5.53,1538833403.2
11.02,5.57,1538833403.3
11.05,5.61,1538833403.4
11.06,5.61,1538833403.5
11.09,5.61,1538833403.6
11.11,5.61,1538833403.7
11.09,5.59,1538833403.8
11.09,5.57,1538833403.9
11.06,5.53,1538833404.0
11.05,5.49,1538833404.1
11.06,5.45,1538833404.2
11.06,5.42,1538833404.3
11.09,5.43,1538833404.4
11.13,5.46,1538833404.5
11.16,5.50,1538833404.6
11.18,5.51,1538833404.7
11.19,5.51,1538833404.8
11.21,5.48,1538833404.9
11.21,5.42,1538833405.0
11.19,5.35,1538833405.1
11.15,5.32,1538833405.2
11.13,5.30,1538833405.3
11.12,5.28,1538833405.4
11.12,5.31,1538833405.5
11.12,5.35,1538833405.6
11.15,5.37,1538833405.7
11.19,5.35,1538833405.8
11.21,5.34,1538833405.9
11.22,5.37,1538833406.0
11.20,5.35,1538833406.1
11.17,5.33,1538833406.2
11.13,5.33,1538833406.3
11.10,5.37,1538833406.4
11.10,5.39,1538833406.5
11.12,5.38,1538833406.6
11.13,5.34,1538833406.7
11.17,5.31,1538833406.8
11.18,5.31,1538833406.9
11.18,5.32,1538833407.0
11.14,5.30,1538833407.1
11.10,5.31,1538833407.2
11.07,5.37,1538833407.3
11.03,5.43,1538833407.4
11.02,5.37,1538833407.5
11.05,5.23,1538833407.6
11.09,5.22,1538833407.7
11.13,5.22,1538833407.8
11.15,5.19,1538833407.9
11.18,5.16,1538833408.0
11.15,5.21,1538833408.1
11.12,5.33,1538833408.2
11.06,5.38,1538833408.3
11.04,5.42,1538833408.4
11.02,5.39,1538833408.5
11.02,5.37,1538833408.6
11.07,5.37,1538833408.7
11.10,5.39,1538833408.8
11.11,5.39,1538833408.9
11.09,5.41,1538833409.0
11.08,5.44,1538833409.1
11.04,5.48,1538833409.2
10.99,5.51,1538833409.3
11.00,5.50,1538833409.4
11.03,5.47,1538833409.5
11.05,5.45,1538833409.6
11.08,5.47,1538833409.7
11.11,5.49,1538833409.8
11.13,5.45,1538833409.9
11.13,5.44,1538833410.0
11.12,5.47,1538833410.1
11.09,5.50,1538833410.2
11.07,5.54,1538833410.3
11.05,5.55,1538833410.4
11.03,5.58,1538833410.5
11.01,5.59,1538833410.6
10.99,5.56,1538833410.7
11.00,5.54,1538833410.8
11.02,5.51,1538833410.9
11.05,5.49,1538833411.0
11.07,5.47,1538833411.1
11.08,5.46,1538833411.2
11.09,5.46,1538833411.3
11.06,5.41,1538833411.4
11.01,5.39,1538833411.5
10.97,5.36,1538833411.6
10.92,5.34,1538833411.7
10.92,5.35,1538833411.8
10.94,5.37,1538833411.9
10.99,5.42,1538833412.0
11.01,5.46,1538833412.1
11.01,5.49,1538833412.2
11.01,5.51,1538833412.3
11.03,5.53,1538833412.4
11.00,5.56,1538833412.5
10.97,5.55,1538833412.6
10.98,5.55,1538833412.7
11.02,5.55,1538833412.8
11.07,5.53,1538833412.9
11.07,5.49,1538833413.0
11.15,5.42,1538833413.1
11.33,5.36,1538833413.2
11.58,5.25,1538833413.3
11.90,5.12,1538833413.4
12.34,4.96,1538833413.5
12.89,4.79,1538833413.6
13.50,4.58,1538833413.7
14.12,4.42,1538833413.8
14.81,4.30,1538833413.9
15.61,4.22,1538833414.0
16.47,4.12,1538833414.1
