3171,11
1.91,2.11,1538838970.1
1.87,2.13,1538838970.2
1.85,2.15,1538838970.3
1.85,2.24,1538838970.4
1.90,2.33,1538838970.5
1.91,2.31,1538838970.6
1.91,2.35,1538838970.7
1.87,2.39,1538838970.8
1.92,2.30,1538838970.9
1.96,2.15,1538838971.0
1.96,2.12,1538838971.1
1.95,2.13,1538838971.2
1.96,2.17,1538838971.3
1.96,2.13,1538838971.4
1.92,2.09,1538838971.5
1.92,2.14,1538838971.6
1.93,2.12,1538838971.7
1.99,2.09,1538838971.8
2.06,2.06,1538838971.9
2.10,2.09,1538838972.0
2.07,2.22,1538838972.1
2.06,2.23,1538838972.2
2.07,2.21,1538838972.3
2.06,2.19,1538838972.4
2.01,2.17,1538838972.5
1.99,2.12,1538838972.6
2.00,2.03,1538838972.7
1.98,1.98,1538838972.8
1.92,2.09,1538838972.9
1.85,2.17,1538838973.0
1.73,2.27,1538838973.1
1.49,2.24,1538838973.2
1.33,2.21,1538838973.3
1.30,2.25,1538838973.4
1.28,2.23,1538838973.5
1.43,2.33,1538838973.6
1.78,2.40,1538838973.7
2.35,2.63,1538838973.8
2.91,2.83,1538838973.9
3.49,3.02,1538838974.0
4.06,3.07,1538838974.1
4.51,3.03,1538838974.2
5.16,3.17,1538838974.3
5.83,3.32,1538838974.4
6.54,3.57,1538838974.5
7.13,3.72,1538838974.6
7.87,3.95,1538838974.7
8.71,4.21,1538838974.8
9.32,4.26,1538838974.9
9.83,4.24,1538838975.0
10.21,4.14,1538838975.1
10.63,4.08,1538838975.2
10.99,4.02,1538838975.3
11.30,3.96,1538838975.4
11.46,3.95,1538838975.5
11.72,4.05,1538838975.6
12.00,4.23,1538838975.7
12.20,4.42,1538838975.8
12.29,4.55,1538838975.9
12.31,4.65,1538838976.0
12.41,4.77,1538838976.1
12.41,4.82,1538838976.2
12.40,4.87,1538838976.3
12.41,4.90,1538838976.4
12.42,4.96,1538838976.5
12.44,5.03,1538838976.6
12.43,5.04,1538838976.7
12.42,5.06,1538838976.8
12.39,5.07,1538838976.9
12.37,5.06,1538838977.0
12.36,5.05,1538838977.1
12.38,5.01,1538838977.2
12.43,4.99,1538838977.3
12.39,5.00,1538838977.4
12.35,4.98,1538838977.5
12.29,5.00,1538838977.6
12.29,5.01,1538838977.7
12.26,5.10,1538838977.8
12.21,5.18,1538838977.9
12.20,5.18,1538838978.0
12.28,5.21,1538838978.1
12.36,5.22,1538838978.2
12.42,5.20,1538838978.3
12.44,5.16,1538838978.4
12.41,5.08,1538838978.5
12.42,5.05,1538838978.6
12.38,5.00,1538838978.7
12.36,5.02,1538838978.8
12.39,5.04,1538838978.9
12.43,5.03,1538838979.0
12.52,5.00,1538838979.1
12.62,4.91,1538838979.2
12.72,4.79,1538838979.3
12.78,4.62,1538838979.4
12.80,4.43,1538838979.5
12.85,4.24,1538838979.6
12.89,4.04,1538838979.7
12.90,3.80,1538838979.8
12.91,3.56,1538838979.9
13.00,3.33,1538838980.0
13.18,3.09,1538838980.1
13.41,2.84,1538838980.2
13.55,2.50,1538838980.3
13.72,2.17,1538838980.4
13.93,1.84,1538838980.5
14.06,1.54,1538838980.6
14.15,1.29,1538838980.7
14.16,1.09,1538838980.8
14.24,1.02,1538838980.9
14.31,1.01,1538838981.0
14.30,1.07,1538838981.1
14.28,1.06,1538838981.2
14.17,0.95,1538838981.3
14.05,0.84,1538838981.4
14.03,0.89,1538838981.5
14.08,0.95,1538838981.6
14.14,1.03,1538838981.7
14.30,1.17,1538838981.8
14.56,1.41,1538838981.9
14.81,1.70,1538838982.0
14.95,1.87,1538838982.1
14.99,2.06,1538838982.2
15.05,2.23,1538838982.3
14.98,2.45,1538838982.4
14.82,2.67,1538838982.5
14.64,2.95,1538838982.6
14.49,3.23,1538838982.7
14.34,3.52,1538838982.8
14.22,3.81,1538838982.9
14.12,4.12,1538838983.0
14.06,4.40,1538838983.1
