358,11
2.27,22.10,1538838969.8
2.28,22.09,1538838969.9
2.26,22.06,1538838970.0
2.24,22.04,1538838970.1
2.24,22.05,1538838970.2
2.22,22.05,1538838970.3
2.17,22.05,1538838970.4
2.14,22.05,1538838970.5
2.15,22.06,1538838970.6
2.16,22.08,1538838970.7
2.15,22.09,1538838970.8
2.17,22.11,1538838970.9
2.23,22.13,1538838971.0
2.29,22.11,1538838971.1
2.31,22.12,1538838971.2
2.32,22.12,1538838971.3
2.31,22.11,1538838971.4
2.26,22.11,1538838971.5
2.20,22.09,1538838971.6
2.20,22.08,1538838971.7
2.20,22.07,1538838971.8
2.17,22.07,1538838971.9
2.19,22.07,1538838972.0
2.23,22.08,1538838972.1
2.27,22.11,1538838972.2
2.25,22.11,1538838972.3
2.22,22.08,1538838972.4
2.24,22.07,1538838972.5
2.20,22.08,1538838972.6
2.19,22.04,1538838972.7
2.14,22.01,1538838972.8
2.12,22.00,1538838972.9
2.14,22.00,1538838973.0
2.17,21.97,1538838973.1
2.23,21.91,1538838973.2
2.26,21.90,1538838973.3
2.30,21.90,1538838973.4
2.33,21.90,1538838973.5
2.36,21.89,1538838973.6
2.36,21.89,1538838973.7
2.34,21.92,1538838973.8
2.31,21.96,1538838973.9
2.27,21.98,1538838974.0
2.29,21.98,1538838974.1
2.28,22.00,1538838974.2
2.28,22.02,1538838974.3
2.24,22.02,1538838974.4
2.21,22.02,1538838974.5
2.23,22.05,1538838974.6
2.19,22.08,1538838974.7
2.16,22.11,1538838974.8
2.09,22.14,1538838974.9
2.07,22.16,1538838975.0
2.09,22.17,1538838975.1
2.11,22.16,1538838975.2
2.14,22.15,1538838975.3
2.15,22.11,1538838975.4
2.20,22.07,1538838975.5
2.26,22.04,1538838975.6
2.26,22.02,1538838975.7
2.25,22.00,1538838975.8
2.24,21.99,1538838975.9
2.26,22.00,1538838976.0
2.28,21.99,1538838976.1
2.29,21.97,1538838976.2
2.32,21.95,1538838976.3
2.30,21.99,1538838976.4
2.27,22.03,1538838976.5
2.24,22.03,1538838976.6
2.23,22.05,1538838976.7
2.22,22.13,1538838976.8
2.20,22.21,1538838976.9
2.21,22.21,1538838977.0
2.21,22.17,1538838977.1
2.19,22.17,1538838977.2
2.17,22.18,1538838977.3
2.16,22.16,1538838977.4
2.14,22.12,1538838977.5
2.17,22.13,1538838977.6
2.21,22.15,1538838977.7
2.27,22.16,1538838977.8
2.28,22.17,1538838977.9
2.32,22.13,1538838978.0
2.37,22.10,1538838978.1
2.37,22.06,1538838978.2
2.39,22.04,1538838978.3
2.41,22.03,1538838978.4
2.41,22.01,1538838978.5
2.41,22.01,1538838978.6
2.38,22.02,1538838978.7
2.34,22.03,1538838978.8
2.27,22.03,1538838978.9
2.22,22.03,1538838979.0
2.22,22.06,1538838979.1
2.21,22.12,1538838979.2
2.23,22.13,1538838979.3
2.28,22.15,1538838979.4
2.32,22.17,1538838979.5
2.33,22.21,1538838979.6
2.28,22.25,1538838979.7
2.24,22.24,1538838979.8
2.18,22.24,1538838979.9
2.13,22.25,1538838980.0
2.09,22.26,1538838980.1
2.11,22.24,1538838980.2
2.14,22.23,1538838980.3
2.15,22.21,1538838980.4
2.15,22.25,1538838980.5
2.16,22.25,1538838980.6
2.18,22.24,1538838980.7
2.18,22.24,1538838980.8
2.18,22.21,1538838980.9
2.21,22.19,1538838981.0
2.27,22.12,1538838981.1
2.31,22.07,1538838981.2
2.35,22.05,1538838981.3
2.38,22.03,1538838981.4
2.39,22.03,1538838981.5
2.36,22.04,1538838981.6
2.33,22.02,1538838981.7
2.33,22.05,1538838981.8
2.26,22.06,1538838981.9
2.20,22.07,1538838982.0
2.14,22.07,1538838982.1
2.18,22.06,1538838982.2
2.20,22.11,1538838982.3
2.19,22.14,1538838982.4
2.23,22.14,1538838982.5
2.28,22.13,1538838982.6
2.30,22.12,1538838982.7
2.28,22.11,1538838982.8
2.26,22.09,1538838982.9
2.24,22.04,1538838983.0
2.21,22.04,1538838983.1
2.21,22.03,1538838983.2
2.25,22.03,1538838983.3
2.29,22.04,1538838983.4
2.32,22.02,1538838983.5
2.34,22.00,1538838983.6
2.35,21.98,1538838983.7
2.35,21.97,1538838983.8
2.32,21.98,1538838983.9
2.27,21.97,1538838984.0
2.21,22.00,1538838984.1
2.19,22.02,1538838984.2
2.21,22.03,1538838984.3
2.23,22.03,1538838984.4
2.24,22.02,1538838984.5
2.26,22.05,1538838984.6
2.28,22.04,1538838984.7
2.29,22.05,1538838984.8
2.28,22.05,1538838984.9
2.24,22.03,1538838985.0
2.20,22.04,1538838985.1
2.17,22.04,1538838985.2
2.17,22.05,1538838985.3
2.19,22.03,1538838985.4
2.20,22.04,1538838985.5
2.21,22.06,1538838985.6
2.25,22.04,1538838985.7
2.30,21.99,1538838985.8
2.31,21.94,1538838985.9
2.28,21.96,1538838986.0
2.27,22.01,1538838986.1
2.26,22.04,1538838986.2
2.24,22.08,1538838986.3
2.25,22.11,1538838986.4
