2875,10
52.73,23.23,1538838326.3
52.72,23.24,1538838326.4
52.72,23.21,1538838326.5
52.70,23.22,1538838326.6
52.67,23.20,1538838326.7
52.64,23.19,1538838326.8
52.62,23.19,1538838326.9
52.60,23.19,1538838327.0
52.59,23.20,1538838327.1
52.59,23.19,1538838327.2
52.62,23.22,1538838327.3
52.66,23.19,1538838327.4
52.67,23.20,1538838327.5
52.71,23.26,1538838327.6
52.72,23.29,1538838327.7
52.72,23.30,1538838327.8
52.69,23.32,1538838327.9
52.67,23.38,1538838328.0
52.66,23.36,1538838328.1
52.60,23.28,1538838328.2
52.61,23.24,1538838328.3
52.59,23.18,1538838328.4
52.60,23.16,1538838328.5
52.61,23.14,1538838328.6
52.64,23.12,1538838328.7
52.70,23.15,1538838328.8
52.68,23.13,1538838328.9
52.69,23.15,1538838329.0
52.66,23.12,1538838329.1
52.60,23.14,1538838329.2
52.59,23.16,1538838329.3
52.58,23.22,1538838329.4
52.56,23.26,1538838329.5
52.56,23.26,1538838329.6
52.57,23.33,1538838329.7
52.61,23.37,1538838329.8
52.60,23.39,1538838329.9
52.60,23.32,1538838330.0
52.64,23.27,1538838330.1
52.64,23.27,1538838330.2
52.62,23.23,1538838330.3
52.61,23.19,1538838330.4
52.57,23.18,1538838330.5
52.51,23.21,1538838330.6
52.44,23.28,1538838330.7
52.46,23.32,1538838330.8
52.52,23.32,1538838330.9
52.54,23.34,1538838331.0
52.57,23.37,1538838331.1
52.61,23.41,1538838331.2
52.66,23.44,1538838331.3
52.65,23.48,1538838331.4
52.64,23.54,1538838331.5
52.63,23.58,1538838331.6
52.62,23.60,1538838331.7
52.65,23.57,1538838331.8
52.65,23.52,1538838331.9
52.63,23.47,1538838332.0
52.61,23.41,1538838332.1
52.61,23.32,1538838332.2
52.62,23.24,1538838332.3
52.57,23.23,1538838332.4
52.58,23.22,1538838332.5
52.59,23.26,1538838332.6
52.62,23.29,1538838332.7
52.62,23.31,1538838332.8
52.64,23.33,1538838332.9
52.69,23.33,1538838333.0
52.66,23.34,1538838333.1
52.66,23.31,1538838333.2
52.63,23.29,1538838333.3
52.62,23.30,1538838333.4
52.59,23.31,1538838333.5
52.58,23.32,1538838333.6
52.57,23.30,1538838333.7
52.58,23.28,1538838333.8
52.62,23.27,1538838333.9
52.67,23.27,1538838334.0
52.71,23.27,1538838334.1
52.72,23.27,1538838334.2
52.69,23.26,1538838334.3
52.58,23.26,1538838334.4
52.38,23.26,1538838334.5
52.15,23.27,1538838334.6
51.87,23.29,1538838334.7
51.52,23.31,1538838334.8
51.21,23.33,1538838334.9
50.90,23.34,1538838335.0
50.56,23.34,1538838335.1
50.16,23.34,1538838335.2
49.73,23.34,1538838335.3
49.30,23.34,1538838335.4
48.82,23.37,1538838335.5
48.33,23.43,1538838335.6
47.86,23.49,1538838335.7
47.40,23.54,1538838335.8
46.96,23.59,1538838335.9
46.58,23.65,1538838336.0
46.25,23.68,1538838336.1
45.98,23.69,1538838336.2
45.73,23.69,1538838336.3
45.56,23.73,1538838336.4
45.45,23.75,1538838336.5
45.40,23.75,1538838336.6
45.35,23.76,1538838336.7
45.32,23.78,1538838336.8
45.32,23.80,1538838336.9
45.34,23.79,1538838337.0
45.37,23.80,1538838337.1
45.37,23.79,1538838337.2
45.36,23.79,1538838337.3
45.37,23.76,1538838337.4
45.38,23.74,1538838337.5
45.37,23.73,1538838337.6
45.35,23.71,1538838337.7
45.32,23.71,1538838337.8
45.29,23.74,1538838337.9
45.24,23.78,1538838338.0
45.18,23.82,1538838338.1
45.13,23.85,1538838338.2
45.12,23.86,1538838338.3
45.10,23.88,1538838338.4
45.08,23.88,1538838338.5
45.09,23.88,1538838338.6
45.13,23.84,1538838338.7
45.15,23.82,1538838338.8
45.14,23.82,1538838338.9
45.14,23.82,1538838339.0
45.14,23.81,1538838339.1
45.14,23.79,1538838339.2
45.11,23.82,1538838339.3
45.08,23.82,1538838339.4
45.07,23.81,1538838339.5
45.05,23.78,1538838339.6
45.04,23.76,1538838339.7
45.07,23.75,1538838339.8
45.10,23.75,1538838339.9
45.11,23.77,1538838340.0
45.13,23.81,1538838340.1
45.18,23.84,1538838340.2
45.21,23.87,1538838340.3
45.23,23.91,1538838340.4
45.22,23.91,1538838340.5
45.25,23.89,1538838340.6
45.26,23.86,1538838340.7
45.26,23.85,1538838340.8
45.24,23.83,1538838340.9
45.21,23.80,1538838341.0
45.19,23.78,1538838341.1
45.16,23.76,1538838341.2
45.13,23.76,1538838341.3
45.11,23.77,1538838341.4
45.08,23.81,1538838341.5
45.04,23.86,1538838341.6
45.04,23.91,1538838341.7
45.04,23.98,1538838341.8
45.07,24.03,1538838341.9
45.12,24.02,1538838342.0
45.17,23.97,1538838342.1
45.18,23.90,1538838342.2
45.17,23.86,1538838342.3
45.18,23.80,1538838342.4
45.18,23.73,1538838342.5
45.18,23.73,1538838342.6
45.15,23.75,1538838342.7
45.17,23.76,1538838342.8
45.17,23.78,1538838342.9
45.16,23.80,1538838343.0
45.13,23.87,1538838343.1
45.12,23.81,1538838343.2
45.13,23.81,1538838343.3
45.15,23.85,1538838343.4
45.18,23.85,1538838343.5
45.20,23.86,1538838343.6
45.22,23.84,1538838343.7
45.19,23.89,1538838343.8
45.16,23.89,1538838343.9
45.11,23.87,1538838344.0
45.08,23.83,1538838344.1
45.06,23.78,1538838344.2
45.06,23.74,1538838344.3
45.07,23.75,1538838344.4
45.10,23.77,1538838344.5
45.13,23.78,1538838344.6
45.17,23.82,1538838344.7
45.18,23.84,1538838344.8
45.17,23.84,1538838344.9
45.15,23.81,1538838345.0
45.11,23.79,1538838345.1
45.11,23.74,1538838345.2
45.12,23.71,1538838345.3
45.10,23.69,1538838345.4
45.09,23.72,1538838345.5
45.12,23.73,1538838345.6
45.13,23.76,1538838345.7
45.08,23.80,1538838345.8
44.95,23.81,1538838345.9
44.75,23.87,1538838346.0
44.45,23.93,1538838346.1
44.01,23.98,1538838346.2
43.49,24.05,1538838346.3
42.90,24.14,1538838346.4
42.31,24.20,1538838346.5
41.75,24.23,1538838346.6
41.28,24.19,1538838346.7
40.89,24.08,1538838346.8
40.58,23.91,1538838346.9
40.30,23.70,1538838347.0
40.05,23.47,1538838347.1
39.81,23.25,1538838347.2
39.56,23.08,1538838347.3
39.32,22.96,1538838347.4
39.04,22.84,1538838347.5
38.76,22.71,1538838347.6
38.48,22.58,1538838347.7
38.18,22.42,1538838347.8
37.85,22.21,1538838347.9
37.46,21.98,1538838348.0
37.07,21.77,1538838348.1
36.69,21.57,1538838348.2
36.36,21.37,1538838348.3
36.11,21.18,1538838348.4
35.95,21.00,1538838348.5
35.85,20.81,1538838348.6
35.80,20.63,1538838348.7
35.77,20.43,1538838348.8
35.71,20.22,1538838348.9
35.63,20.00,1538838349.0
35.49,19.78,1538838349.1
35.41,19.54,1538838349.2
35.34,19.22,1538838349.3
35.31,18.91,1538838349.4
35.29,18.63,1538838349.5
35.28,18.31,1538838349.6
35.25,17.94,1538838349.7
35.14,17.53,1538838349.8
35.00,17.10,1538838349.9
34.82,16.64,1538838350.0
34.66,16.11,1538838350.1
34.49,15.56,1538838350.2
34.33,15.03,1538838350.3
34.24,14.53,1538838350.4
34.17,14.06,1538838350.5
34.06,13.66,1538838350.6
33.98,13.35,1538838350.7
33.95,13.08,1538838350.8
33.98,12.85,1538838350.9
33.98,12.68,1538838351.0
34.04,12.50,1538838351.1
34.16,12.25,1538838351.2
34.25,11.96,1538838351.3
34.28,11.61,1538838351.4
34.30,11.16,1538838351.5
34.30,10.66,1538838351.6
34.30,10.12,1538838351.7
34.28,9.55,1538838351.8
34.25,8.91,1538838351.9
34.21,8.29,1538838352.0
34.09,7.62,1538838352.1
33.92,6.91,1538838352.2
33.70,6.22,1538838352.3
33.42,5.65,1538838352.4
33.09,5.24,1538838352.5
32.78,4.92,1538838352.6
32.49,4.79,1538838352.7
32.23,4.81,1538838352.8
32.05,4.96,1538838352.9
31.99,5.08,1538838353.0
32.04,5.17,1538838353.1
32.16,5.24,1538838353.2
32.26,5.25,1538838353.3
32.37,5.23,1538838353.4
32.42,5.14,1538838353.5
32.37,5.06,1538838353.6
32.19,4.94,1538838353.7
31.93,4.79,1538838353.8
31.62,4.60,1538838353.9
31.27,4.35,1538838354.0
30.89,4.08,1538838354.1
30.53,3.74,1538838354.2
30.14,3.38,1538838354.3
29.75,3.04,1538838354.4
29.43,2.74,1538838354.5
29.19,2.44,1538838354.6
29.00,2.16,1538838354.7
28.86,1.94,1538838354.8
28.81,1.78,1538838354.9
28.80,1.64,1538838355.0
28.81,1.54,1538838355.1
28.82,1.45,1538838355.2
28.80,1.45,1538838355.3
28.76,1.48,1538838355.4
28.73,1.50,1538838355.5
28.71,1.50,1538838355.6
28.70,1.52,1538838355.7
28.65,1.57,1538838355.8
28.62,1.56,1538838355.9
28.61,1.51,1538838356.0
28.61,1.49,1538838356.1
28.58,1.50,1538838356.2
28.58,1.52,1538838356.3
28.60,1.56,1538838356.4
28.59,1.56,1538838356.5
28.56,1.60,1538838356.6
28.48,1.61,1538838356.7
28.44,1.59,1538838356.8
28.40,1.58,1538838356.9
28.38,1.59,1538838357.0
28.38,1.62,1538838357.1
28.40,1.60,1538838357.2
28.46,1.60,1538838357.3
28.49,1.66,1538838357.4
28.46,1.70,1538838357.5
28.39,1.71,1538838357.6
28.36,1.73,1538838357.7
