Rank,Event,Rookies,Total,% Rookies
1658,2016kybb,0,17,0
1659,2016mnri,0,35,0
1660,2016nhgrs,0,33,0
1661,2016nyhhh,0,24,0
1662,2016nyli,0,51,0
1663,2016nyro,0,49,0
1664,2016nyrr,0,35,0
1665,2016pagp,0,16,0
1666,2016wamou,0,35,0
1667,2016wvrox,0,24,0
1668,2017cmpmo,0,31,0
1669,2017code,0,48,0
1670,2017havoc,0,22,0
1671,2017ilpe,0,40,0
1672,2017iri,0,68,0
1673,2017kscup,0,24,0
1674,2017mibb,0,11,0
1675,2017mnemcc,0,26,0
1676,2017mnmn,0,36,0
1677,2017mnri,0,36,0
1678,2017mrcmp,0,60,0
1679,2017msbbb,0,12,0
1680,2017nhfoc,0,8,0
1681,2017njbri,0,38,0
1682,2017njfla,0,37,0
1683,2017njmm,0,34,0
1684,2017nyfs,0,12,0
1685,2017paphi,0,32,0
1686,2017vamars,0,9,0
1687,2017vapor,0,29,0
1688,2017varr,0,23,0
1689,2017wagg,0,36,0
1690,2017wamou,0,28,0
1691,2017waspo,0,30,0
1692,2017wiwi,0,24,0
1693,2017wmri,0,37,0
1694,2018caav,0,36,0
1695,2018cc,0,42,0
1696,2018cmpmi,0,34,0
1697,2018cmptx,0,33,0
1698,2018havoc,0,24,0
1699,2018ilrr,0,33,0
1700,2018lafwbb2,0,16,0
1701,2018mabri,0,40,0
1702,2018melew,0,40,0
1703,2018mibg,0,32,0
1704,2018mikk,0,44,0
1705,2018milsu,0,40,0
1706,2018mnsc,0,36,0
1707,2018mnwcw,0,14,0
1708,2018nhmm,0,23,0
1709,2018nhrr,0,29,0
1710,2018tnsci,0,9,0
1711,2018vagdc,0,38,0
1712,2018waamv,0,35,0
1713,2018wagg,0,37,0
1714,2018waspo,0,28,0
1715,2019cmpmi,0,33,0
1716,2019cmptx,0,11,0
1717,2019gush,0,1,0
1718,2019mabri,0,38,0
1719,2019melew,0,32,0
1720,2019mokc,0,36,0
1721,2019njtab,0,36,0
1722,2019nyrra,0,13,0
1723,2019orore,0,36,0
1724,2019pawch,0,34,0
1725,2019rismi,0,28,0
1726,2019shmi,0,1,0
1727,2019vahay,0,38,0
1728,2019waahs,0,33,0
1729,2019zhha,0,1,0
