City1,City2,AvgTime
Albuquerque,Albuquerque,22.001606781562987
Albuquerque,Anaheim,23.710891526814724
Albuquerque,Anchorage,42.42427076843196
Albuquerque,Arlington,18.555372089907223
Albuquerque,Atlanta,14.11650536796972
Albuquerque,Aurora,19.529381402204134
Albuquerque,Austin,19.481951612903227
Albuquerque,Bakersfield,23.82820102669748
Albuquerque,Baltimore,11.932060479683773
Albuquerque,BatonRouge,17.18604284326533
Albuquerque,Boise,22.421947710447846
Albuquerque,Boston,12.903768222624187
Albuquerque,Buffalo,11.575114485981297
Albuquerque,Chandler,23.113569197400597
Albuquerque,Charlotte,13.124492320704782
Albuquerque,Chesapeake,13.067790791545235
Albuquerque,Chicago,12.704271488627596
Albuquerque,ChulaVista,24.123481702006487
Albuquerque,Cincinnati,12.31691697651827
Albuquerque,Cleveland,11.591705456738005
Albuquerque,ColoradoSprings,19.913121143603664
Albuquerque,Columbus,11.82913631795799
Albuquerque,CorpusChristi,20.481927101128854
Albuquerque,Dallas,18.357291503366497
Albuquerque,Denver,19.554630874618972
Albuquerque,DesMoines,14.761776010786182
Albuquerque,Detroit,11.578513264998486
Albuquerque,Durham,12.95921342076173
Albuquerque,ElPaso,22.326125113053955
Albuquerque,FortWayne,12.00112768398485
Albuquerque,FortWorth,18.614023632465752
Albuquerque,Fremont,24.32104903192309
Albuquerque,Fresno,24.31833788061502
Albuquerque,Garland,18.341138754899013
Albuquerque,Gilbert,23.15490067162429
Albuquerque,Glendale,23.14706601514087
Albuquerque,Greensboro,12.889735704954271
Albuquerque,Henderson,22.752645387398253
Albuquerque,Hialeah,17.70512919137105
Albuquerque,Houston,18.909767075335807
Albuquerque,Indianapolis,12.55685023280742
Albuquerque,Irvine,23.794902924329204
Albuquerque,Irving,18.477470379861323
Albuquerque,Jacksonville,15.211944461193177
Albuquerque,JerseyCity,12.096671875523391
Albuquerque,KansasCity,15.84643352426891
Albuquerque,Laredo,20.931787131946543
Albuquerque,LasVegas,22.688976777878263
Albuquerque,Lexington,12.734191027702403
Albuquerque,Lincoln,16.181326550095452
Albuquerque,LongBeach,23.82561413425786
Albuquerque,LosAngeles,23.864484792148193
Albuquerque,Louisville,12.978863665293266
Albuquerque,Lubbock,20.335219609419486
Albuquerque,Madison,13.69211983720228
Albuquerque,Memphis,15.267160318895915
Albuquerque,Mesa,23.10244397547986
Albuquerque,Miami,17.698411960271994
Albuquerque,Milwaukee,13.2600627575118
Albuquerque,Minneapolis,15.023533807322542
Albuquerque,Nashville,13.74952570930894
Albuquerque,Newark,12.041058268850698
Albuquerque,NewOrleans,16.768080008709347
Albuquerque,NewYork,12.24495228285264
Albuquerque,Norfolk,12.96236427662211
Albuquerque,NorthLasVegas,22.620652689846914
Albuquerque,Oakland,24.14862290222088
Albuquerque,OklahomaCity,17.940296075771286
Albuquerque,Omaha,15.803754689645924
Albuquerque,Orlando,16.272923089806714
Albuquerque,Philadelphia,12.021035222590692
Albuquerque,Phoenix,23.124163333668303
Albuquerque,Pittsburgh,11.63240882825846
Albuquerque,Plano,18.409042206813393
Albuquerque,Portland,24.260073016112276
Albuquerque,Raleigh,13.067080318560949
Albuquerque,Reno,23.192870900746982
Albuquerque,Richmond,12.493455900579503
Albuquerque,Riverside,23.562798872810102
Albuquerque,Sacramento,23.668286545740813
Albuquerque,SaintPaul,14.943313611697313
Albuquerque,SanAntonio,19.994309625498264
Albuquerque,SanDiego,24.031720890697766
Albuquerque,SanFrancisco,24.655542901885916
Albuquerque,SanJose,24.455161600174186
Albuquerque,SantaAna,23.778917428734125
Albuquerque,Scottsdale,23.14209462198106
Albuquerque,Seattle,24.172190717850807
Albuquerque,StLouis,14.23912771748233
Albuquerque,Stockton,23.921222247345337
Albuquerque,StPetersburg,16.68347268281244
Albuquerque,Tampa,16.52674762167956
Albuquerque,Toledo,11.543556602351513
Albuquerque,Tucson,23.050927034133938
Albuquerque,Tulsa,17.103335125448023
Albuquerque,VirginiaBeach,13.102604562355541
Albuquerque,Washington,11.971433155796731
Albuquerque,Wichita,17.303921674538564
Albuquerque,WinstonSalem,12.885396048973298
Anaheim,Anaheim,29.49051952065118
Anaheim,Anchorage,45.60334653971124
Anaheim,Arlington,20.347205649348474
Anaheim,Atlanta,15.981903786889095
Anaheim,Aurora,21.759596757444797
Anaheim,Austin,21.317955892205145
Anaheim,Bakersfield,29.45359054366394
Anaheim,Baltimore,13.852315345191444
Anaheim,BatonRouge,19.02393417746959
Anaheim,Boise,26.466940608983993
Anaheim,Boston,14.825483284762003
Anaheim,Buffalo,13.49938826918567
Anaheim,Chandler,26.849085401802164
Anaheim,Charlotte,14.991544936857274
Anaheim,Chesapeake,14.915015727062613
Anaheim,Chicago,14.686221443406016
Anaheim,ChulaVista,29.42557209493182
Anaheim,Cincinnati,14.21936745888187
Anaheim,Cleveland,13.477007093089473
Anaheim,ColoradoSprings,22.061282727029102
Anaheim,Columbus,13.774214635045064
Anaheim,CorpusChristi,22.37164484306435
Anaheim,Dallas,20.155785934411945
Anaheim,Denver,21.78933377717481
