FIPS,lat,lng
1001,32.536382,-86.64449
1003,30.659218,-87.746067
1005,31.87067,-85.405456
1007,33.015893,-87.127148
1009,33.977448,-86.567246
1011,32.101759,-85.717261
1013,31.751667,-86.681969
1015,33.771706,-85.822513
1017,32.917943,-85.391812
1019,34.069515,-85.654242
1021,32.85406,-86.726628
1023,31.991008,-88.248887
1025,31.685521,-87.818624
1027,33.267809,-85.862051
1029,33.671981,-85.516109
1031,31.402183,-85.989201
1033,34.703112,-87.801457
1035,31.428293,-86.992029
1037,32.931445,-86.243482
1039,31.243987,-86.448721
1041,31.732826,-86.319222
1043,34.131923,-86.869267
1045,31.430654,-85.609476
1047,32.33354,-87.114356
1049,34.460929,-85.803992
1051,32.597229,-86.142739
1053,31.121748,-87.168429
1055,34.047638,-86.03442
1057,33.732249,-87.752049
1059,34.441988,-87.842815
1061,31.090866,-85.824346
1063,32.844497,-87.964201
1065,32.752796,-87.623061
1067,31.516978,-85.239971
1069,31.158193,-85.296398
1071,34.763522,-85.9774
1073,33.553444,-86.896536
1075,33.787085,-88.087431
1077,34.904122,-87.650997
1079,34.529776,-87.321865
1081,32.604064,-85.353048
1083,34.810239,-86.9814
1085,32.147888,-86.650586
1087,32.387027,-85.692887
1089,34.764238,-86.55108
1091,32.247591,-87.791091
1093,34.138219,-87.881551
1095,34.309564,-86.321668
1097,30.684573,-88.196568
1099,31.580332,-87.383266
1101,32.203651,-86.203831
1103,34.454484,-86.846402
1105,32.639005,-87.293827
1107,33.296809,-88.096878
1109,31.798726,-85.941997
1111,33.296475,-85.464068
1113,32.289811,-85.18698
1115,33.712963,-86.315663
1117,33.262937,-86.678104
1119,32.597481,-88.200057
1121,33.369277,-86.175805
1123,32.863369,-85.799553
1125,33.290202,-87.52286
1127,33.791571,-87.301092
1129,31.406974,-88.202078
1131,31.99033,-87.302205
1133,34.155888,-87.364147
2013,55.243722,-161.950749
2016,51.959447,178.338813
2020,61.177549,-149.274354
2050,60.928916,-160.15335
2060,58.731373,-156.986612
2068,63.682732,-150.026719
2070,59.824816,-158.602233
2090,64.690832,-146.599867
2100,59.099905,-135.578102
2105,58.076434,-135.1851
2110,58.3727,-134.178781
2122,60.366373,-152.321973
2130,55.449938,-131.106685
2150,57.553611,-153.630911
2164,58.205065,-156.705188
2170,62.182174,-149.407974
2180,64.783686,-164.188912
2185,69.449343,-153.47283
2188,67.005066,-160.021086
2195,56.639612,-133.527996
2198,55.415683,-132.875734
2220,57.142509,-135.332624
2230,59.575097,-135.335418
2240,63.864997,-143.218628
2261,61.34984,-145.023141
2270,62.283174,-163.19095
2275,56.279121,-132.040326
2282,59.999083,-140.239593
2290,65.376131,-151.576855
4001,35.385845,-109.493747
4003,31.881793,-109.75412
4005,35.829692,-111.773728
4007,33.789618,-110.81187
4009,32.931828,-109.87831
4011,33.238872,-109.242323
4012,33.727625,-114.038793
4013,33.346541,-112.495534
4015,35.717705,-113.749689
4017,35.390934,-110.320908
4019,32.128237,-111.783018
4021,32.91891,-111.367257
4023,31.525904,-110.84519
4025,34.630044,-112.573745
4027,32.773942,-113.910905
5001,34.289574,-91.376547
5003,33.190835,-91.772267
5005,36.28071,-92.330438
5007,36.337825,-94.256187
5009,36.304308,-93.079204
5011,33.463819,-92.168164
5013,33.56046,-92.513879
5015,36.337774,-93.541663
5017,33.267139,-91.297158
5019,34.053312,-93.176205
5021,36.367302,-90.418704
5023,35.566288,-92.059974
5025,33.893201,-92.188714
5027,33.21507,-93.226901
5029,35.265702,-92.689248
5031,35.828268,-90.630411
5033,35.583041,-94.236224
5035,35.211878,-90.315331
5037,35.291259,-90.773894
5039,33.967823,-92.653999
5041,33.828748,-91.244427
5043,33.587242,-91.722778
5045,35.146356,-92.324654
5047,35.508573,-93.887672
5049,36.383443,-91.819239
5051,34.578861,-93.146915
5053,34.288063,-92.423984
5055,36.119922,-90.565241
5057,33.728611,-93.665809
5059,34.315177,-92.944147
5061,34.083179,-93.990988
5063,35.737499,-91.559942
5065,36.094879,-91.913625
5067,35.596605,-91.223178
5069,34.277696,-91.930701
5071,35.573359,-93.466322
5073,33.24066,-93.611643
5075,36.041098,-91.101153
5077,34.77975,-90.779288
5079,33.957665,-91.727624
5081,33.699497,-94.229774
5083,35.21855,-93.720563
5085,34.755114,-91.894132
5087,36.012545,-93.724053
5089,36.266656,-92.678588
5091,33.305505,-93.901509
5093,35.766943,-90.052209
5095,34.679513,-91.203314
5097,34.545652,-93.664147
5099,33.666699,-93.305072
5101,35.910063,-93.215084
5103,33.591158,-92.878418
5105,34.946363,-92.926877
5107,34.425842,-90.848386
5109,34.158191,-93.658659
5111,35.568981,-90.680595
5113,34.490915,-94.230884
5115,35.455297,-93.031535
5117,34.828225,-91.5572
5119,34.773988,-92.316515
5121,36.341299,-91.028441
5123,35.014438,-90.742199
5125,34.648525,-92.674463
5127,34.858869,-94.063641
5129,35.90966,-92.699351
5131,35.196981,-94.274989
5133,33.994608,-94.24329
5135,36.173399,-91.471069
5137,35.856989,-92.140494
5139,33.168219,-92.598145
5141,35.582959,-92.515977
5143,35.971209,-94.218417
5145,35.254722,-91.753158
5147,35.189071,-91.244418
5149,34.997713,-93.408303
6001,37.648081,-121.913304
6003,38.61761,-119.798999
6005,38.44355,-120.653856
6007,39.665959,-121.601919
6009,38.187844,-120.555115
6011,39.177739,-122.237563
6013,37.919479,-121.951543
6015,41.749903,-123.980998
6017,38.785532,-120.534398
6019,36.761006,-119.655019
6021,39.602546,-122.4017
6023,40.706673,-123.925818
6025,33.040816,-115.355395
6027,36.561977,-117.403927
6029,35.346629,-118.729506
6031,36.072478,-119.81553
6033,39.094802,-122.746757
6035,40.721089,-120.629931
6037,34.196398,-118.261862
6039,37.210039,-119.749852
6041,38.051817,-122.745974
6043,37.570034,-119.91286
6045,39.432388,-123.442881
6047,37.194806,-120.722802
6049,41.592919,-120.71837
6051,37.915836,-118.875167
6053,36.240107,-121.315573
6055,38.507351,-122.325995
6057,39.295191,-120.773446
6059,33.675687,-117.777207
6061,39.062032,-120.722718
6063,39.99517,-120.829516
6065,33.729828,-116.002239
6067,38.450011,-121.340441
