358,12
52.25,22.55,1538839518.1
52.25,22.52,1538839518.2
52.26,22.50,1538839518.3
52.29,22.51,1538839518.4
52.33,22.48,1538839518.5
52.33,22.50,1538839518.6
52.34,22.51,1538839518.7
52.35,22.53,1538839518.8
52.34,22.53,1538839518.9
52.32,22.50,1538839519.0
52.28,22.51,1538839519.1
52.28,22.46,1538839519.2
52.28,22.42,1538839519.3
52.28,22.38,1538839519.4
52.26,22.36,1538839519.5
52.22,22.37,1538839519.6
52.22,22.37,1538839519.7
52.22,22.40,1538839519.8
52.18,22.43,1538839519.9
52.13,22.45,1538839520.0
52.12,22.47,1538839520.1
52.14,22.46,1538839520.2
52.10,22.46,1538839520.3
52.10,22.48,1538839520.4
52.14,22.50,1538839520.5
52.17,22.52,1538839520.6
52.22,22.53,1538839520.7
52.25,22.55,1538839520.8
52.28,22.57,1538839520.9
52.28,22.55,1538839521.0
52.30,22.53,1538839521.1
52.33,22.54,1538839521.2
52.31,22.55,1538839521.3
52.32,22.51,1538839521.4
52.30,22.50,1538839521.5
52.27,22.50,1538839521.6
52.24,22.48,1538839521.7
52.23,22.42,1538839521.8
52.25,22.40,1538839521.9
52.26,22.39,1538839522.0
52.27,22.38,1538839522.1
52.29,22.38,1538839522.2
52.29,22.39,1538839522.3
52.27,22.43,1538839522.4
52.24,22.45,1538839522.5
52.21,22.49,1538839522.6
52.21,22.49,1538839522.7
52.24,22.44,1538839522.8
52.26,22.43,1538839522.9
52.27,22.44,1538839523.0
52.27,22.44,1538839523.1
52.27,22.45,1538839523.2
52.27,22.48,1538839523.3
52.23,22.54,1538839523.4
52.26,22.51,1538839523.5
52.26,22.46,1538839523.6
52.28,22.42,1538839523.7
52.30,22.38,1538839523.8
52.33,22.33,1538839523.9
52.36,22.30,1538839524.0
52.33,22.31,1538839524.1
52.34,22.32,1538839524.2
52.29,22.32,1538839524.3
52.26,22.32,1538839524.4
52.21,22.32,1538839524.5
52.18,22.28,1538839524.6
52.16,22.22,1538839524.7
52.15,22.21,1538839524.8
52.16,22.17,1538839524.9
52.16,22.17,1538839525.0
52.18,22.17,1538839525.1
52.18,22.20,1538839525.2
52.15,22.26,1538839525.3
52.13,22.31,1538839525.4
52.12,22.36,1538839525.5
52.11,22.38,1538839525.6
52.09,22.42,1538839525.7
52.07,22.45,1538839525.8
52.07,22.45,1538839525.9
52.08,22.44,1538839526.0
52.09,22.45,1538839526.1
52.12,22.44,1538839526.2
52.17,22.42,1538839526.3
52.20,22.41,1538839526.4
52.20,22.41,1538839526.5
52.23,22.43,1538839526.6
52.28,22.46,1538839526.7
52.29,22.45,1538839526.8
52.27,22.47,1538839526.9
52.29,22.47,1538839527.0
52.31,22.49,1538839527.1
52.32,22.51,1538839527.2
52.31,22.50,1538839527.3
52.33,22.54,1538839527.4
52.34,22.54,1538839527.5
52.35,22.52,1538839527.6
52.35,22.46,1538839527.7
52.31,22.44,1538839527.8
52.31,22.38,1538839527.9
52.31,22.30,1538839528.0
52.29,22.25,1538839528.1
52.31,22.21,1538839528.2
52.30,22.22,1538839528.3
52.30,22.17,1538839528.4
52.28,22.18,1538839528.5
52.27,22.18,1538839528.6
52.28,22.17,1538839528.7
52.26,22.20,1538839528.8
52.25,22.22,1538839528.9
52.26,22.23,1538839529.0
52.24,22.25,1538839529.1
52.21,22.28,1538839529.2
52.17,22.28,1538839529.3
52.13,22.31,1538839529.4
52.14,22.35,1538839529.5
52.17,22.36,1538839529.6
52.18,22.39,1538839529.7
52.20,22.43,1538839529.8
52.23,22.48,1538839529.9
52.24,22.49,1538839530.0
52.23,22.45,1538839530.1
52.20,22.45,1538839530.2
52.18,22.43,1538839530.3
52.16,22.39,1538839530.4
52.12,22.37,1538839530.5
52.12,22.37,1538839530.6
52.12,22.36,1538839530.7
52.11,22.34,1538839530.8
52.12,22.37,1538839530.9
52.17,22.41,1538839531.0
52.22,22.39,1538839531.1
52.25,22.39,1538839531.2
52.24,22.43,1538839531.3
52.24,22.43,1538839531.4
52.26,22.37,1538839531.5
52.25,22.35,1538839531.6
52.21,22.35,1538839531.7
52.19,22.33,1538839531.8
52.20,22.29,1538839531.9
52.18,22.29,1538839532.0
52.15,22.34,1538839532.1
52.13,22.36,1538839532.2
52.13,22.38,1538839532.3
52.10,22.40,1538839532.4
52.08,22.42,1538839532.5
52.07,22.42,1538839532.6
52.05,22.40,1538839532.7
52.04,22.38,1538839532.8
52.01,22.38,1538839532.9
52.01,22.37,1538839533.0
52.02,22.39,1538839533.1
52.02,22.40,1538839533.2
52.02,22.40,1538839533.3
52.02,22.41,1538839533.4
52.03,22.43,1538839533.5
52.04,22.42,1538839533.6
52.05,22.43,1538839533.7
52.08,22.43,1538839533.8
52.13,22.44,1538839533.9
52.17,22.44,1538839534.0
52.20,22.47,1538839534.1
52.21,22.49,1538839534.2
52.21,22.50,1538839534.3
52.21,22.50,1538839534.4
52.20,22.47,1538839534.5
52.20,22.45,1538839534.6
52.19,22.39,1538839534.7
52.19,22.30,1538839534.8
52.21,22.23,1538839534.9
52.22,22.18,1538839535.0
52.24,22.17,1538839535.1
52.25,22.19,1538839535.2
52.26,22.21,1538839535.3
52.25,22.23,1538839535.4
52.27,22.28,1538839535.5
52.26,22.35,1538839535.6
52.23,22.39,1538839535.7
52.21,22.37,1538839535.8
52.22,22.34,1538839535.9
52.25,22.33,1538839536.0
52.24,22.30,1538839536.1
52.25,22.27,1538839536.2
52.27,22.23,1538839536.3
52.27,22.25,1538839536.4
52.25,22.28,1538839536.5
52.24,22.30,1538839536.6
52.22,22.31,1538839536.7
52.20,22.28,1538839536.8
52.18,22.26,1538839536.9
52.16,22.24,1538839537.0
52.14,22.23,1538839537.1
52.12,22.23,1538839537.2
52.09,22.22,1538839537.3
52.08,22.27,1538839537.4
52.09,22.32,1538839537.5
52.14,22.34,1538839537.6
52.22,22.31,1538839537.7
52.27,22.30,1538839537.8
52.32,22.29,1538839537.9
52.31,22.28,1538839538.0
52.30,22.27,1538839538.1
52.23,22.26,1538839538.2
52.17,22.29,1538839538.3
52.15,22.32,1538839538.4
52.15,22.32,1538839538.5
52.20,22.29,1538839538.6
52.23,22.24,1538839538.7
52.27,22.22,1538839538.8
52.30,22.20,1538839538.9
52.29,22.17,1538839539.0
52.27,22.16,1538839539.1
52.35,22.16,1538839539.2
52.45,22.17,1538839539.3
52.50,22.19,1538839539.4
52.50,22.21,1538839539.5
52.51,22.24,1538839539.6
52.51,22.26,1538839539.7
52.39,22.30,1538839539.8
52.24,22.33,1538839539.9
52.15,22.35,1538839540.0
52.11,22.35,1538839540.1
52.11,22.34,1538839540.2
52.10,22.35,1538839540.3
52.11,22.33,1538839540.4
52.16,22.34,1538839540.5
52.22,22.34,1538839540.6
52.27,22.34,1538839540.7
52.29,22.32,1538839540.8
52.25,22.32,1538839540.9
52.13,22.31,1538839541.0
51.93,22.29,1538839541.1
51.59,22.28,1538839541.2
51.12,22.28,1538839541.3
50.52,22.32,1538839541.4
49.82,22.32,1538839541.5
49.05,22.31,1538839541.6
48.19,22.29,1538839541.7
47.28,22.26,1538839541.8
46.33,22.20,1538839541.9
45.32,22.15,1538839542.0
44.28,22.11,1538839542.1
43.26,22.11,1538839542.2
42.18,22.13,1538839542.3
41.08,22.15,1538839542.4
39.92,22.19,1538839542.5
38.84,22.20,1538839542.6
37.84,22.16,1538839542.7
36.86,22.06,1538839542.8
36.02,21.93,1538839542.9
35.34,21.82,1538839543.0
