2875,1
52.25,22.84,1538831681.9
52.27,22.84,1538831682.0
52.30,22.84,1538831682.1
52.38,22.85,1538831682.2
52.41,22.86,1538831682.3
52.38,22.87,1538831682.4
52.40,22.87,1538831682.5
52.45,22.86,1538831682.6
52.46,22.85,1538831682.7
52.42,22.86,1538831682.8
52.43,22.86,1538831682.9
52.42,22.86,1538831683.0
52.43,22.85,1538831683.1
52.41,22.84,1538831683.2
52.44,22.83,1538831683.3
52.45,22.81,1538831683.4
52.46,22.80,1538831683.5
52.48,22.81,1538831683.6
52.45,22.84,1538831683.7
52.45,22.87,1538831683.8
52.46,22.90,1538831683.9
52.49,22.90,1538831684.0
52.47,22.89,1538831684.1
52.48,22.85,1538831684.2
52.49,22.84,1538831684.3
52.51,22.83,1538831684.4
52.51,22.82,1538831684.5
52.49,22.82,1538831684.6
52.48,22.82,1538831684.7
52.48,22.82,1538831684.8
52.48,22.80,1538831684.9
52.47,22.80,1538831685.0
52.46,22.79,1538831685.1
52.45,22.77,1538831685.2
52.44,22.77,1538831685.3
52.45,22.79,1538831685.4
52.46,22.79,1538831685.5
52.46,22.81,1538831685.6
52.47,22.84,1538831685.7
52.48,22.86,1538831685.8
52.49,22.86,1538831685.9
52.52,22.88,1538831686.0
52.52,22.89,1538831686.1
52.52,22.89,1538831686.2
52.48,22.87,1538831686.3
52.51,22.86,1538831686.4
52.54,22.86,1538831686.5
52.50,22.84,1538831686.6
52.47,22.82,1538831686.7
52.47,22.80,1538831686.8
52.51,22.78,1538831686.9
52.51,22.77,1538831687.0
52.53,22.76,1538831687.1
52.61,22.76,1538831687.2
52.67,22.75,1538831687.3
52.68,22.74,1538831687.4
52.65,22.74,1538831687.5
52.60,22.74,1538831687.6
52.53,22.74,1538831687.7
52.47,22.79,1538831687.8
52.42,22.80,1538831687.9
52.40,22.81,1538831688.0
52.43,22.83,1538831688.1
52.44,22.84,1538831688.2
52.45,22.85,1538831688.3
52.42,22.82,1538831688.4
52.43,22.82,1538831688.5
52.49,22.81,1538831688.6
52.52,22.80,1538831688.7
52.57,22.79,1538831688.8
52.60,22.76,1538831688.9
52.68,22.75,1538831689.0
52.73,22.77,1538831689.1
52.72,22.79,1538831689.2
52.72,22.80,1538831689.3
52.74,22.83,1538831689.4
52.71,22.87,1538831689.5
52.65,22.89,1538831689.6
52.60,22.88,1538831689.7
52.54,22.89,1538831689.8
52.47,22.89,1538831689.9
52.39,22.86,1538831690.0
52.35,22.84,1538831690.1
52.34,22.86,1538831690.2
52.32,22.88,1538831690.3
52.30,22.93,1538831690.4
52.34,22.96,1538831690.5
52.36,22.97,1538831690.6
52.35,22.99,1538831690.7
52.33,22.97,1538831690.8
52.34,22.94,1538831690.9
52.37,22.89,1538831691.0
52.37,22.86,1538831691.1
52.40,22.86,1538831691.2
52.44,22.86,1538831691.3
52.47,22.86,1538831691.4
52.49,22.84,1538831691.5
52.47,22.82,1538831691.6
52.44,22.83,1538831691.7
52.40,22.81,1538831691.8
52.40,22.82,1538831691.9
52.41,22.86,1538831692.0
52.44,22.88,1538831692.1
52.49,22.91,1538831692.2
52.51,22.90,1538831692.3
52.54,22.92,1538831692.4
52.51,22.93,1538831692.5
52.50,22.91,1538831692.6
52.44,22.86,1538831692.7
52.35,22.82,1538831692.8
52.29,22.83,1538831692.9
52.24,22.81,1538831693.0
52.24,22.80,1538831693.1
52.21,22.79,1538831693.2
52.22,22.81,1538831693.3
52.25,22.83,1538831693.4
52.27,22.84,1538831693.5
52.29,22.84,1538831693.6
52.31,22.85,1538831693.7
52.33,22.86,1538831693.8
52.36,22.87,1538831693.9
52.38,22.88,1538831694.0
52.40,22.89,1538831694.1
52.43,22.91,1538831694.2
52.46,22.88,1538831694.3
52.43,22.86,1538831694.4
52.45,22.89,1538831694.5
52.44,22.91,1538831694.6
52.43,22.93,1538831694.7
52.40,22.92,1538831694.8
52.34,22.94,1538831694.9
