2872,1
52.27,6.19,1538831681.9
52.31,6.18,1538831682.0
52.36,6.14,1538831682.1
52.42,6.12,1538831682.2
52.46,6.11,1538831682.3
52.51,6.08,1538831682.4
52.51,6.04,1538831682.5
52.48,6.02,1538831682.6
52.43,6.02,1538831682.7
52.35,5.99,1538831682.8
52.37,5.94,1538831682.9
52.37,5.89,1538831683.0
52.34,5.88,1538831683.1
52.34,5.87,1538831683.2
52.37,5.86,1538831683.3
52.44,5.86,1538831683.4
52.41,5.86,1538831683.5
52.42,5.90,1538831683.6
52.46,5.90,1538831683.7
52.49,5.89,1538831683.8
52.49,5.87,1538831683.9
52.45,5.82,1538831684.0
52.43,5.76,1538831684.1
52.37,5.68,1538831684.2
52.31,5.62,1538831684.3
52.27,5.56,1538831684.4
52.25,5.53,1538831684.5
52.27,5.54,1538831684.6
52.28,5.56,1538831684.7
52.31,5.58,1538831684.8
52.36,5.62,1538831684.9
52.41,5.69,1538831685.0
52.44,5.78,1538831685.1
52.46,5.82,1538831685.2
52.48,5.88,1538831685.3
52.50,5.92,1538831685.4
52.49,5.94,1538831685.5
52.48,5.91,1538831685.6
52.46,5.84,1538831685.7
52.43,5.80,1538831685.8
52.40,5.77,1538831685.9
52.35,5.77,1538831686.0
52.32,5.76,1538831686.1
52.30,5.77,1538831686.2
52.30,5.79,1538831686.3
52.32,5.77,1538831686.4
52.32,5.75,1538831686.5
52.32,5.70,1538831686.6
52.32,5.67,1538831686.7
52.31,5.66,1538831686.8
52.32,5.64,1538831686.9
52.33,5.64,1538831687.0
52.35,5.66,1538831687.1
52.41,5.70,1538831687.2
52.53,5.72,1538831687.3
52.57,5.76,1538831687.4
52.59,5.82,1538831687.5
52.59,5.89,1538831687.6
52.58,5.90,1538831687.7
52.53,5.89,1538831687.8
52.45,5.92,1538831687.9
52.44,5.90,1538831688.0
52.45,5.86,1538831688.1
52.48,5.83,1538831688.2
52.51,5.84,1538831688.3
52.52,5.84,1538831688.4
52.50,5.80,1538831688.5
52.49,5.78,1538831688.6
52.50,5.80,1538831688.7
52.50,5.77,1538831688.8
52.48,5.74,1538831688.9
52.49,5.74,1538831689.0
52.53,5.82,1538831689.1
52.56,5.89,1538831689.2
52.55,5.94,1538831689.3
52.56,5.98,1538831689.4
52.59,5.98,1538831689.5
52.60,5.97,1538831689.6
52.56,5.94,1538831689.7
52.54,5.89,1538831689.8
52.53,5.84,1538831689.9
52.53,5.84,1538831690.0
52.49,5.83,1538831690.1
52.39,5.80,1538831690.2
52.28,5.73,1538831690.3
52.12,5.67,1538831690.4
51.88,5.64,1538831690.5
51.59,5.59,1538831690.6
51.28,5.54,1538831690.7
51.00,5.48,1538831690.8
50.78,5.45,1538831690.9
