City,Avg Duration,Lat,Lng
Seattle,3.408315900383141,47.6032,-122.3303
Portland,4.08002302130898,45.5200,-122.6819
Detroit,4.204923235294118,42.3329,-83.0478
Miami Beach,4.41081220657277,25.8130,-80.1341
Grand Rapids,4.457189252645502,42.9655,-85.6702
New York,4.642277057316683,40.7130,-74.0072
Hartford,4.65198017736046,41.7658,-72.6734
Los Angeles,4.675758846426042,34.0522,-118.2433
San Jose,4.798259582256676,37.3333,-121.9000
Boston,4.8415847019464735,42.3581,-71.0636
Anaheim,4.8574661181882535,33.8345,-117.9156
Austin,5.136111342592593,30.2650,-97.7466
Denver,5.1430146825396825,39.7392,-104.9903
Philadelphia,5.215406131574958,39.9500,-75.1667
Houston,5.259088289534348,29.7628,-95.3831
San Francisco,5.313162743850721,37.7749,-122.4194
Atlantic City,5.409330679678137,39.3606,-74.4319
Dallas,5.615529892349097,32.7758,-96.7967
San Antonio,5.653690786465479,29.4167,-98.5000
Chicago,5.797830861111109,41.8832,-87.6324
San Diego,5.869702432824982,32.7150,-117.1625
Rosemont,5.897837972449911,41.9908,-87.8739
Atlanta,5.907602403343784,33.7485,-84.3915
Tampa,6.005389676910955,27.9474,-82.4588
Las Vegas,6.0150072059507185,36.1691,-115.1406
Indianapolis,6.052085183129856,39.7910,-86.1480
Salt Lake City,6.078900664251207,40.7500,-111.8833
Orlando,6.090644612794613,28.5383,-81.3789
Cleveland,6.09772076962283,41.4822,-81.6697
Charlotte,6.194283573649989,35.2238,-80.8411
Baltimore,6.22373473712091,39.2833,-76.6167
Phoenix,6.262892149191444,33.4500,-112.0667
Milwaukee,6.279191174673019,43.0500,-87.9500
Ocean City,6.312470552773141,38.3914,-75.0697
Raleigh,6.326286970899475,35.7806,-78.6389
Reno,6.33252025462963,39.5272,-119.8219
Columbus,6.435312348028334,39.9833,-82.9833
Washington,6.440699334664009,38.9072,-77.0369
Jacksonville,6.584717069892468,30.3369,-81.6614
Pittsburgh,6.715532665070819,40.4422,-79.9950
Kansas City,6.997571624314902,39.0997,-94.5783
Louisville,7.052944795657725,38.2500,-85.7667
Nashville,7.2896813304721,36.1667,-86.7833
St. Louis,7.343919332000667,38.6270,-90.1994
Omaha,7.36215578908555,41.2500,-96.0000
New Orleans,7.542794491525425,29.9518,-90.0746
