City,Teams In Limits,Lat,Lng
Pittsburgh,1114,40.4422,-79.9950
Cleveland,1090,41.4822,-81.6697
Columbus,1051,39.9833,-82.9833
Chicago,1000,41.8832,-87.6324
Rosemont,976,41.9908,-87.8739
Milwaukee,909,43.0500,-87.9500
Indianapolis,901,39.7910,-86.1480
Louisville,870,38.2500,-85.7667
Detroit,850,42.3329,-83.0478
Grand Rapids,840,42.9655,-85.6702
Baltimore,839,39.2833,-76.6167
Washington,835,38.9072,-77.0369
Philadelphia,733,39.9500,-75.1667
New York,694,40.7130,-74.0072
St. Louis,667,38.6270,-90.1994
Atlantic City,649,39.3606,-74.4319
Hartford,639,41.7658,-72.6734
Ocean City,599,38.3914,-75.0697
Boston,548,42.3581,-71.0636
Nashville,466,36.1667,-86.7833
Omaha,452,41.2500,-96.0000
Kansas City,446,39.0997,-94.5783
Raleigh,420,35.7806,-78.6389
Charlotte,393,35.2238,-80.8411
Atlanta,319,33.7485,-84.3915
Anaheim,314,33.8345,-117.9156
Los Angeles,314,34.0522,-118.2433
San Diego,306,32.7150,-117.1625
Dallas,289,32.7758,-96.7967
San Francisco,262,37.7749,-122.4194
San Jose,258,37.3333,-121.9000
Jacksonville,248,30.3369,-81.6614
San Antonio,243,29.4167,-98.5000
Houston,241,29.7628,-95.3831
Austin,240,30.2650,-97.7466
Las Vegas,239,36.1691,-115.1406
New Orleans,236,29.9518,-90.0746
Phoenix,213,33.4500,-112.0667
Reno,192,39.5272,-119.8219
Orlando,165,28.5383,-81.3789
Portland,146,45.5200,-122.6819
Seattle,145,47.6032,-122.3303
Tampa,141,27.9474,-82.4588
Salt Lake City,92,40.7500,-111.8833
Miami Beach,71,25.8130,-80.1341
Denver,70,39.7392,-104.9903
