FIPS,Lng,Lat,Duration,Density
26125,-83.38421,42.660452,11.387611111111111,28
6037,-118.261862,34.196398,39.86519444444445,66
6081,-122.371542,37.414664,44.364361111111116,29
34027,-74.547427,40.858581,8.420416666666666,5
5005,-92.330438,36.28071,14.83863888888889,2
36093,-74.043583,42.817542,10.634611111111111,2
12117,-81.13198,28.690079,9.12861111111111,2
25023,-70.741942,41.987196,12.074444444444444,4
34023,-74.407585,40.439593,7.688472222222222,6
36103,-72.692218,40.943554,9.753055555555555,15
40143,-95.941731,36.120121,17.671083333333335,10
1083,-86.9814,34.810239,9.530138888888889,1
34035,-74.61993,40.565522,8.008416666666667,9
18067,-86.114118,40.483537,10.675694444444444,3
39155,-80.767656,41.308936,9.203527777777778,4
23005,-70.330375,43.808348,13.362333333333334,7
12086,-80.499045,25.610494,12.707416666666665,5
4015,-113.749689,35.717705,34.746361111111106,1
44007,-71.578242,41.870488,11.10763888888889,7
42049,-80.096386,42.117952,9.798638888888888,4
26161,-83.844634,42.252327,10.888416666666668,20
25025,-71.020173,42.33196,11.733722222222223,21
26049,-83.706372,43.021077,11.58836111111111,32
18089,-87.374337,41.472239,12.141416666666666,3
26159,-86.305697,42.283986,12.732972222222221,12
44005,-71.284063,41.502732,11.333277777777779,2
12103,-82.739518,27.903122,10.540083333333333,2
17177,-89.665994,42.349726,14.804916666666665,1
26081,-85.547446,43.032497,12.766611111111112,26
12031,-81.648113,30.335245,7.008055555555556,2
34005,-74.663006,39.875786,7.3206388888888885,3
55087,-88.464988,44.418226,16.122611111111112,1
26163,-83.261953,42.284664,10.870666666666667,48
50027,-72.591515,43.588143,12.692638888888888,1
17031,-87.645455,41.894294,12.903611111111111,17
42017,-75.10706,40.336887,7.406305555555556,4
12011,-80.476658,26.19352,12.090250000000001,16
17043,-88.086038,41.852058,13.144416666666666,4
6087,-122.007205,37.012488,43.62533333333334,21
51600,-77.299025,38.853183,4.458833333333333,5
42003,-79.98092,40.46892,8.105083333333333,11
48167,-94.894865,29.228706,19.03838888888889,1
39035,-81.724217,41.760392,9.110444444444443,4
51650,-76.297149,37.04803,3.2994444444444446,2
Windsor CAN,-83.026772,42.317432,11.075,62
25027,-71.940282,42.311693,11.10061111111111,8
39049,-83.008258,39.969447,7.710527777777778,13
33011,-71.723101,42.911643,12.248111111111111,13
18141,-86.288159,41.617699,11.7965,9
34039,-74.308696,40.659871,7.9143888888888885,6
26139,-86.655342,42.942346,13.265305555555555,5
39061,-84.544187,39.196927,8.562611111111112,4
36017,-75.604905,42.489732,9.765444444444444,1
48231,-96.083807,33.123438,17.851,1
25017,-71.396507,42.479477,11.674861111111111,21
9003,-72.732916,41.806053,10.265194444444443,17
8069,-105.482131,40.663091,27.199277777777777,3
19103,-91.588812,41.668737,15.752527777777777,1
55043,-90.695368,42.870062,16.24533333333333,1
9013,-72.340977,41.858076,10.41325,3
36067,-76.196117,43.00653,10.258777777777777,1
25013,-72.635648,42.136198,10.60188888888889,4
12099,-80.448673,26.645763,11.801472222222223,6
12085,-80.398211,27.079954,11.285388888888889,1
Pickering CAN,-79.086761,43.838413,13.23936111111111,3
36055,-77.664656,43.464475,10.769694444444445,9
26099,-82.910869,42.671467,11.52063888888889,15
34007,-74.961251,39.802352,7.014638888888889,5
33005,-72.248217,42.925455,11.84436111111111,5
34041,-75.009542,40.853524,8.239444444444445,3
42131,-76.00878,41.525137,8.493972222222222,1
34031,-74.300308,41.033763,8.508111111111111,2
42133,-76.728446,39.921839,6.090194444444444,1
9009,-72.900204,41.349717,9.673194444444444,9
36089,-75.074311,44.488113,12.575888888888889,1
48201,-95.393037,29.857273,18.583833333333335,17
12009,-80.700384,28.298276,9.392722222222224,4
18097,-86.135794,39.782976,9.925138888888888,6
9007,-72.524227,41.434525,10.265138888888888,5
9005,-73.235428,41.791897,10.154,6
26115,-83.487106,41.916097,10.456055555555556,5
36001,-73.974014,42.588271,10.473638888888889,4
6085,-121.690622,37.220777,43.44819444444445,14
55133,-88.306707,43.019308,14.657861111111112,20
36059,-73.589384,40.729687,8.857083333333334,31
42091,-75.370201,40.209999,7.148777777777777,4
39095,-83.468867,41.682321,10.138444444444445,6
45045,-82.372077,34.892645,4.19125,5
34021,-74.703724,40.282503,7.409333333333333,15
6067,-121.340441,38.450011,43.05458333333333,12
Longueuil CAN,-73.510712,45.536945,13.707388888888888,23
34033,-75.357356,39.573828,6.639722222222222,1
33001,-71.425366,43.519109,13.034972222222223,4
42101,-75.133346,40.009376,7.038055555555555,13
36047,-73.950777,40.635133,8.429,10
54045,-81.940853,37.830591,5.563972222222222,1
51179,-77.459043,38.418933,3.767388888888889,1
36051,-77.76978,42.727485,10.07775,2
45019,-79.94248,32.800458,4.360972222222222,5
45073,-83.061522,34.748759,5.194222222222223,1
51041,-77.585847,37.378434,2.712,2
53053,-122.144709,47.040716,44.38025,16
28047,-89.083376,30.416536,12.390222222222222,3
10003,-75.644132,39.575915,6.308277777777778,3
36085,-74.137063,40.563855,7.961083333333334,4
36063,-78.792143,43.456731,11.54111111111111,2
51087,-77.300333,37.437521,2.595,4
36005,-73.852939,40.848711,8.523833333333332,12
51121,-80.387314,37.174885,3.5917499999999998,1
48453,-97.69127,30.239513,20.982194444444442,9
51760,-77.476009,37.531399,2.751611111111111,5
37183,-78.650624,35.789846,0.11399999999999999,11
1089,-86.55108,34.764238,8.896416666666667,5
18095,-85.722454,40.166203,10.044833333333333,1
11001,-77.017094,38.904149,4.588722222222223,15
28149,-90.851791,32.357005,12.837444444444445,1
