FIPS,Duration,Density
51075,17818.4,1
16021,144736.5,1
55035,60274.4,1
12127,55111.9,1
29037,64114.5,2
40147,71135.8,1
29147,66647.6,1
27139,67981.7,6
27163,64928,8
27003,66765.3,5
22089,70823.1,3
28035,63900.8,1
55039,52053.5,1
24013,9593.7,1
6001,158921.1,6
27037,65522.2,9
26137,44688.5,2
39077,27345.9,1
17093,45214.4,2
40125,77680.7,3
40123,78498.2,1
40137,82903.7,1
51700,20477.3,2
50021,20313.2,1
40015,81696.4,1
40021,72737.9,1
51059,11048.4,1
29177,62194.9,1
49035,118207.8,18
4005,131391.2,1
6059,150868.9,44
27137,73525.4,4
27035,74369.2,3
27085,69164.7,2
55031,67532.4,5
27083,74433.1,1
41039,160936.8,1
53061,159389.3,9
50005,24942.2,1
27109,62383.7,2
24510,7805.2,2
27149,75265.8,1
42075,6098.4,1
6041,159774.8,2
12091,64632,2
42043,7311.8,1
48005,83135.9,2
16027,135385.6,1
26147,35238.5,15
53029,158600,4
26075,34769.2,8
48109,113002.2,1
54061,18962.4,1
26111,39552.8,9
50019,26510.2,6
37157,26907.6,1
37147,26208.2,2
23011,27894.6,8
27135,86550,3
35029,118125.7,1
36045,18549,4
48215,106334.7,14
40027,78783.4,1
21185,37034.4,1
36083,15487.4,3
48139,84744.1,2
53011,158634.2,3
55139,54331.9,1
55079,48389.9,2
27091,68538.5,1
21067,36025.9,1
27157,62724.8,1
48473,90456,2
27077,83517.8,1
51550,19444,1
48309,88533.7,3
51013,10640.7,1
12061,59880.6,1
53077,151381.5,1
8119,97738.1,2
27047,65197.8,2
55063,58373.3,7
51043,12856.9,1
41047,161938,1
49005,118846.3,1
21111,38136.2,3
39117,28261.9,1
27079,67317.1,1
27141,68818.3,5
41029,161243,2
27019,68057.4,6
48355,99938.1,1
27061,81150.2,4
48183,78729,1
27025,67518.2,1
48141,114895.2,6
36091,16626.2,2
27031,76146.7,1
27099,63381.4,1
27171,68908.3,4
51197,26874.4,1
27169,60817,2
27057,78029.2,3
36119,8800.6,3
27103,68359.2,1
39113,30968.8,3
1015,49001.5,1
47105,38292.1,1
16055,137074.1,2
40089,76488.4,1
40041,69498.1,1
40111,73130.2,2
20169,72852.3,1
18063,38102.9,4
40097,70071.3,2
6017,154121.1,1
39099,21225.3,3
37097,30467.8,2
27023,73645.3,1
30063,131916.4,1
49057,118063.7,1
12083,55979.8,4
27009,70525.9,3
6115,152781.3,1
39135,32248,1
27075,74116.5,2
51660,16765.5,1
27067,72227.9,4
27113,82807.2,1
27005,78218.2,4
29029,59849,1
56035,114283.2,1
27151,74734.2,1
27051,75207.8,1
27021,76738.6,2
27111,76480,1
27117,74659.8,1
27011,77284.9,1
27041,73404.7,1
13039,47827.4,1
37133,29884.5,1
22033,72393.2,8
13113,48205.2,1
17007,47534.1,1
51740,19201.5,1
51790,18001.2,1
48353,95599.4,1
16081,122215.8,2
50013,25819.2,11
55117,51369.9,4
24045,10471.5,1
37027,32645.9,1
49049,120267.4,2
23031,23582.7,2
40031,81916.5,1
40017,78647.3,1
22073,69822.9,1
39159,28593.7,1
17197,43694.5,3
45035,39010.5,2
54079,27976.4,1
18105,39821.1,1
37119,32830.7,3
42129,16598.5,3
6083,158262.6,3
48505,106891.7,9
26093,34456.8,7
26031,47027.9,4
12023,52417.1,1
18037,42480.6,1
26057,38582.2,2
13247,47168.6,1
53047,149016.2,2
13285,49981.7,1
26041,55456.4,2
26133,43122.3,2
5143,70560.9,3
22055,75689,3
26103,59058.1,3
26047,48361.4,3
12115,65138,1
13153,50051.5,1
34019,4547.4,1
24017,12941.9,1
26025,36165.4,7
37007,32801.2,1
6099,158090.4,2
41007,163601.9,2
48209,96207.6,2
27131,66018.1,2
55105,49688.8,1
53059,158506.6,1
41061,142962.4,1
24033,10043.7,2
27045,62642.1,1
37191,25848.1,1
39085,25679.9,17
55093,63886.8,2
27007,80344.8,5
27093,70321.2,2
